GEN.1.1	Könakönahiŋe Anutunöŋ Suep aka gölme miwikŋaim etkiyök. 
GEN.1.2	Miwikŋaim etkiiga gölme mi gwamönŋi aka kizik-kazukŋambuk ahöyök. Ahöiga o diginŋambuk mi söŋaupnöŋ turuiga tarök. Mewö tariga Anutugö Uŋa Töröŋan o mieŋgö qakŋine anda kaba malök. 
GEN.1.3	Mewö maliga Anutunöŋ kewö jim kutuyök: “Asakŋan mönö asuhum tiŋgitma.” Mewö jim kutuiga miri mönö asariyök. 
GEN.1.4	Asarii ehi miaŋön mönö ölöwahiga asakŋi pandamanöhök mendeŋ etkiyök. 
GEN.1.5	Asakŋaŋgö qetŋi wehön asakŋi aka pandamangö qetŋi suŋgem mewö etkoholök. Mewö etkoholiga wehön mutukŋi teköiga miri söŋauba giaŋiyök.
GEN.1.6	Giaŋiiga Anutunöŋ kewö jim kutuyök: “Mönö o sutŋine suepkö jabö köhöikŋi asuhuba o mendeŋniga euke aka emuke ahömahot.” 
GEN.1.7	Mewö jim kutuba suepkö jabö köhöikŋi miwikŋaiba miaŋön o mendeŋniga tiŋgita jabö qakŋe euke aka jabö bapŋe emuke ahöyohot. Mewö asuhuiga 
GEN.1.8	suepkö jabö köhöikŋi eukeaŋgö qetŋi suep qerök. Mewö qeriga wehön yahötŋi teköiga miri kunbuk söŋauba giaŋiyök.
GEN.1.9	Giaŋiiga Anutunöŋ kewö jim kutuyök: “O suep bapŋe ahözei, mi mönö qezakögetka kambu mohot aiga gölme örönŋi asuhuma.” Mewö jim kutuiga mönö mewö asuhuyök. 
GEN.1.10	Mewö asuhuiga örönŋaŋgö qetŋi gölme qeta o kambu tokogeri, miaŋgö qetŋi köwet etkoholök. Etkohola etkehiga miaŋön mönö ölöwahök. 
GEN.1.11	Ölöwahiga kewö jim kutuyök: “Gölme qakŋe mönö yuai görökŋi (töŋgönŋi) pakpak kewö asuhuba wahötme: Gwözözak yuai kötŋinambuk mi mönö asuhuba wahöta kötŋini kuŋguba söhömakŋe. Ip kösö tandökŋini könaŋi könaŋi mönö gölmenöŋ asuhuba ölŋini kötŋinambuk kuŋguba söhömakŋe.” Mewö jim kutuiga mönö kewö asuhuyök: 
GEN.1.12	Gölme qakŋe yuai görökŋi (töŋgönŋi) pakpak asuhuba wahötket. Gwözözak yuai kötŋinambuk tandökŋini könaŋi könaŋi mi asuhuget. Ip kösö tandökŋini könaŋi könaŋi mi gölmenöŋ asuhuba ölŋini kötŋinambuk kuŋgum söhöget. Mewö asuhuiga Anutunöŋ eŋgehiga miaŋön mönö ölöwahök. 
GEN.1.13	Wehön karöbutŋi teköiga miri kunbuk söŋauba giaŋiyök.
GEN.1.14	Giaŋiiga Anutunöŋ kewö jim kutuyök: “Suepkö jabö köhöikŋe mönö asakŋi asakŋi asuhuba wehön aka suŋgem mi mendeŋ etkiba kinda (yara) yambu, kömunjaŋ kie nalö aka wehön nalö, gwani nalö aka silim mohot mohotkö aiwesökŋina ahöme. 
GEN.1.15	Mieŋön mönö suepkö jabö köhöikŋi miaŋgöreŋ asakŋi asakŋi aka gölme mem asarime.” Mewö jim kutuiga mönö kewö asuhuget: 
GEN.1.16	Anutunöŋ asakŋi ketaŋi yahöt miwikŋaim etkiyök: Asakŋaŋgö galömŋi wehön jeŋi kiniga miaŋgö eretŋi köiŋ mi suŋgemgö galömŋa kinda ahöm öŋgömahot. Seŋgelau mi mewöŋanök miwikŋaim eŋgiyök. 
GEN.1.17	Anutunöŋ mi suepkö jabö köhöikŋe miaŋgöreŋ gölme mem asarimegöra al eŋgiyök. 
