MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
MAT.1.2	Abalayama abota Isaka. Isaka abota Yakobo. Yakobo abota Yuda na bananango. 
MAT.1.3	Yuda abota na Tamala; abota Pɛlɛsɛ na Jala. Pɛlɛsɛ abota Eseloma. Eseloma abota Alama. 
MAT.1.4	Alama abota Aminadaba. Aminadaba abota Nasona. 
MAT.1.5	Nasona abota Salamo. Salamo abotana Laba; abota Boasa, Boasa abota na Luta; abota Obede. Obede abota Yisai. 
MAT.1.6	Yisai abota Dawidi, kumu.
MAT.1.7	Dawidi abota na mwali oUlia; abota Sɔlɔmɔ. Sɔlɔmɔ abota Leoboama. Leoboama abota Abia. Abia abota Asa. 
MAT.1.8	Asa abota Yosapata. Yosapata abota Yolama. Yolama abota Osia. 
MAT.1.9	Osia abota Yotama. Yotama abota Aka. Aka abota Hesekia, 
MAT.1.10	Hesekia abota Manase. Manase abota Amona. Amona abota Josia. 
MAT.1.11	Josia abota Yekonia na bananango a ehole ekɛ bo masungu a Babilo.
MAT.1.12	Ama bo kɛ masungu a Babilo, Yekonia ami bota oko Salatiele. Salatiele abota Selubabela. 
MAT.1.13	Selubabela abota Abiuda. Abiuda abota Eliakima. Eliakima abota Asola. 
MAT.1.14	Asola abota Sadoka. Sadoka abota Akimi. Akimi abota Eliuda. 
MAT.1.15	Eliuda abota Matana. Matana abota Yakobo. 
MAT.1.16	Yakobo abota Yosepa muma ’Malia, na Yesu yona odi na kombe Masiya abotama na nde.
MAT.1.17	Oko boa, bilulu bisusu a sibano eAbalayama na Dawidi bidi bilulu domi-na-binɛi. Bilulu bisusu a sibano eDawidi na ehole ekɛ bo masungu a Babilo, bidi bilulu domi-na-binɛi. Na bilulu bisusu a sibano eehole eke bo masungu a Babilo, oko ai Masiya, bidi bilulu domi-na-binɛi.
MAT.1.18	Bobotama boYesu Masiya boda a njea ye. Yesu apanda Malia nange eYesu, lyo ko aboloa na demi dimolwaja Mwembo Mosenɔke, oko bapetakini da momi na mwali. 
MAT.1.19	Yosepa, muma’nde, adaka moto oyongi, na aipala bo amokejae sɔni a miso mabato. Akana bo asiejae mojɔ monde na bowi. 
MAT.1.20	Yana alɛkɛ yo boa, obwɛnji oKumu adoa ai yo a njɔti, na abala bo, Wɛ Yosepa mwana ’Dawidi, pɛ bobanga bosɔ mwali owɛ Malia, mojɔ bo demi dilwai yo lidi mojɔ moMwembo Mosɛnɔke. 
MAT.1.21	Iyo adi bobota mwana-momi, na odi bomobakea kombe Yesu, mojɔ bo âheleja bato bande a jibe jibu. 
MAT.1.22	Mojɔ mu mosusu modaka boa a bongameja ekenge ema bala Kumu na motɔndɔi bo,
MAT.1.23	Ikani; moseka yona ojebeanakini na momi âlwa demi.
