GEN.1.1	I begynnelsen skapade Gud himmel och jord.
GEN.1.2	 Jorden var öde och tom, och mörker var över djupet. Och Guds Ande svävade över vattnet. 
GEN.1.3	Gud sade: "Varde ljus!" Och det blev ljus. 
GEN.1.4	 Gud såg att ljuset var gott, och han skilde ljuset från mörkret. 
GEN.1.5	 Gud kallade ljuset dag, och mörkret kallade han natt. Och det blev afton och det blev morgon. Det var den första dagen. 
GEN.1.6	Gud sade: "Varde mitt i vattnet ett valv som skiljer vatten från vatten!" 
GEN.1.7	 Gud gjorde valvet och skilde vattnet under valvet från vattnet ovan valvet. Och det skedde så. 
GEN.1.8	 Gud kallade valvet himmel. Och det blev afton och det blev morgon. Det var den andra dagen. 
GEN.1.9	Gud sade: "Vattnet under himlen skall samlas till en enda plats så att det torra blir synligt." Och det skedde så. 
GEN.1.10	 Gud kallade det torra land, och vattensamlingen kallade han hav. Och Gud såg att det var gott. 
GEN.1.11	 Gud sade: "Jorden skall frambringa grönska och fröbärande örter. Fruktträd, som efter sina slag bär frukt med frö i sig, skall växa upp på jorden." Och det skedde så. 
GEN.1.12	 Jorden frambringade grönska, fröbärande örter efter sina slag och träd som efter sina slag bär frukt med frö i sig. Och Gud såg att det var gott. 
GEN.1.13	 Och det blev afton och det blev morgon. Det var den tredje dagen. 
GEN.1.14	Gud sade: "Varde på himlavalvet ljus som skiljer dagen från natten!" De skall vara tecken som utmärker särskilda tider, dagar och år, 
GEN.1.15	 och de skall vara ljus på himlavalvet som lyser över jorden." Och det skedde så. 
GEN.1.16	 Gud gjorde de två stora ljusen, det större att härska över dagen och det mindre att härska över natten, likaså stjärnorna. 
GEN.1.17	 Han satte dem på himlavalvet till att lysa över jorden, 
GEN.1.18	 till att härska över dagen och natten och till att skilja ljuset från mörkret. Och Gud såg att det var gott. 
GEN.1.19	 Och det blev afton och det blev morgon. Det var den fjärde dagen. 
GEN.1.20	Gud sade: "Vattnet skall vimla av levande varelser, och fåglar skall flyga över jorden under himlavalvet." 
GEN.1.21	 Och Gud skapade de stora havsdjuren och alla levande varelser som rör sig i vattnet och som vattnet vimlar av, alla efter deras slag, likaså alla bevingade fåglar efter deras slag. Och Gud såg att det var gott. 
GEN.1.22	 Gud välsignade dem och sade: "Var fruktsamma och föröka er och uppfyll vattnet i haven. Också fåglarna skall föröka sig på jorden." 
GEN.1.23	 Och det blev afton och det blev morgon. Det var den femte dagen. 
GEN.1.24	Gud sade: "Jorden skall frambringa levande varelser efter deras slag, boskapsdjur, kräldjur och jordens vilda djur efter deras slag." Och det skedde så. 
GEN.1.25	 Gud gjorde jordens vilda djur efter deras slag, boskapsdjuren efter deras slag och alla kräldjur på marken efter deras slag. Och Gud såg att det var gott. 
GEN.1.26	Gud sade: "Låt oss göra människor till vår avbild, till att vara lika oss. De skall råda över fiskarna i havet och över fåglarna under himlen, över boskapsdjuren och över hela jorden och över alla kräldjur som rör sig på jorden." 
GEN.1.27	 Och Gud skapade människan till sin avbild, till Guds avbild skapade han henne, till man och kvinna skapade han dem. 
GEN.1.28	 Gud välsignade dem och sade till dem: "Var fruktsamma och föröka er och uppfyll jorden! Lägg den under er och råd över fiskarna i havet, över fåglarna under himlen och över alla djur som rör sig på jorden!" 
GEN.1.29	 Och Gud sade: "Se, jag ger er alla fröbärande örter på hela jorden och alla träd med frukt som har frö. Detta skall ni ha till föda. 
GEN.1.30	 Men åt alla djur på jorden, åt alla fåglar under himlen och åt allt som krälar på jorden, åt allt som har liv ger jag alla gröna örter till föda." Och det skedde så. 
GEN.1.31	 Gud såg på allt som han hade gjort, och se, det var mycket gott. Och det blev afton och det blev morgon. Det var den sjätte dagen. 
GEN.2.1	Så fullbordades himlen och jorden med hela sin härskara. 
GEN.2.2	 På sjunde dagen hade Gud fullbordat sitt skapelseverk. Han vilade på sjunde dagen från hela det verk som han hade gjort. 
GEN.2.3	 Gud välsignade den sjunde dagen och helgade den, ty på den dagen vilade han från allt sitt verk som han hade skapat och gjort. 
GEN.2.4	Detta är himlens och jordens fortsatta historia
GEN.2.5	Det växte ännu ingen buske på jorden och ingen ört hade ännu skjutit upp ur marken. Ty 
GEN.2.6	 Men en dimma steg upp från jorden och vattnade hela marken. 
GEN.2.7	 Och 
GEN.2.8	 Gud planterade en lustgård i Eden, österut, och satte där människan som han hade format. 
GEN.2.9	 Och 
GEN.2.10	 Från Eden gick en flod ut som vattnade lustgården och som sedan delade sig i fyra huvudgrenar. 
GEN.2.11	 Den första heter Pison. Det är den som flyter runt hela landet Havila, där det finns guld. 
GEN.2.12	 Guldet i det landet är gott och där finns också bdelliumharts och onyxsten. 
GEN.2.13	 Den andra floden heter Gihon. Det är den som flyter runt hela landet Kush. 
GEN.2.14	 Den tredje floden heter Hiddekel. Det är den som flyter öster om Assur. Den fjärde floden är Eufrat. 
GEN.2.15	 Gud tog mannen och satte honom i Edens lustgård för att han skulle odla och bevara den. 
GEN.2.16	 Och 
GEN.2.17	 men av trädet med kunskap om gott och ont skall du inte äta, ty den dag du äter av det skall du döden dö." 
GEN.2.18	 Gud sade: "Det är inte bra för mannen att vara ensam. Jag skall göra en medhjälpare åt honom, en som är hans like." 
GEN.2.20	 Och mannen gav namn åt alla boskapsdjur, åt himlens fåglar och åt alla markens vilda djur. Men åt mannen fanns ingen medhjälpare som var hans like. 
GEN.2.21	Då lät 
GEN.2.22	 Och 
GEN.2.23	 Mannen sade: 
GEN.2.23	"Denna är nu ben av mina ben
GEN.2.23	och kött av mitt kött.
GEN.2.23	Hon skall heta kvinna,
GEN.2.23	ty av man
GEN.2.24	Därför skall en man lämna sin far och sin mor och hålla sig till sin hustru, och de skall bli ett kött. 
GEN.2.25	 Och mannen och hans hustru var båda nakna utan att blygas för varandra. 
GEN.3.1	Men ormen var listigare än alla markens djur som 
GEN.3.2	 Kvinnan svarade ormen: "Vi får äta av frukten från träden i lustgården, 
GEN.3.3	 men om frukten på det träd som står mitt i lustgården har Gud sagt: Ät inte av den och rör inte vid den, ty då kommer ni att dö." 
GEN.3.4	 Då sade ormen till kvinnan: "Ni skall visst inte dö! 
GEN.3.5	 Men Gud vet att den dag ni äter av den skall era ögon öppnas, så att ni blir som Gud med kunskap om gott och ont." 
GEN.3.6	 Och kvinnan såg att trädet var gott att äta av och en fröjd för ögat. Trädet var lockande eftersom man fick förstånd av det, och hon tog av frukten och åt. Hon gav också till sin man som var med henne, och han åt. 
GEN.3.7	 Då öppnades ögonen på dem båda, och de märkte att de var nakna. Och de fäste ihop fikonlöv och gjorde höftskynken åt sig. 
GEN.3.8	Vid kvällsbrisen hörde de 
GEN.3.9	 Men 
GEN.3.10	 Han svarade: "Jag hörde ljudet av dig i lustgården och blev förskräckt eftersom jag är naken. Därför gömde jag mig." 
GEN.3.11	 Då sade han: "Vem har berättat för dig att du är naken? Har du ätit av det träd som jag förbjöd dig att äta av?" 
GEN.3.12	 Mannen svarade: "Kvinnan som du har satt vid min sida, hon gav mig av trädet, och jag åt." 
GEN.3.13	 Då sade 
GEN.3.14	Då sade 
GEN.3.14	"Eftersom du har gjort detta,
GEN.3.14	skall du vara förbannad
GEN.3.14	bland alla boskapsdjur och vilda djur.
GEN.3.14	På din buk skall du gå,
GEN.3.14	och jord skall du äta så länge du lever.
GEN.3.15	Jag skall sätta fiendskap
GEN.3.15	mellan dig och kvinnan
GEN.3.15	och mellan din avkomma
GEN.3.15	och hennes avkomma.
GEN.3.15	Han skall krossa ditt huvud
GEN.3.15	och du skall hugga honom i hälen."
GEN.3.16	Till kvinnan sade han:
GEN.3.16	"Jag skall göra din möda stor
GEN.3.16	när du blir havande.
GEN.3.16	Med smärta skall du föda dina barn.
GEN.3.16	Till din man skall din lust vara,
GEN.3.16	och han skall råda över dig."
GEN.3.17	Till Adam sade han:
GEN.3.17	"Du lyssnade på din hustru
GEN.3.17	och åt av det träd
GEN.3.17	om vilket jag befallt dig:
GEN.3.17	Du skall inte äta av det.
GEN.3.17	Därför skall marken vara
GEN.3.17	förbannad för din skull.
GEN.3.17	Med möda skall du livnära dig av den
GEN.3.17	så länge du lever.
GEN.3.18	Törne och tistel skall den bära åt dig
GEN.3.18	och du skall äta av markens örter.
GEN.3.19	I ditt anletes svett
GEN.3.19	skall du äta ditt bröd
GEN.3.19	till dess du vänder åter till jorden,
GEN.3.19	ty av den har du tagits.
GEN.3.19	Jord är du,
GEN.3.19	och jord skall du åter bli."
GEN.3.20	Mannen gav sin hustru namnet Eva,
GEN.3.21	 Och 
GEN.3.22	 Gud sade: "Se, människan har blivit som en av oss med kunskap om gott och ont. Hon får nu inte räcka ut handen och även ta av livets träd och så äta och leva för evigt." 
GEN.3.23	 Och 
GEN.3.24	 Han drev ut människan, och öster om Edens lustgård satte han keruberna och det flammande svärdets lågor för att bevaka vägen till livets träd. 
GEN.4.1	Mannen kände
GEN.4.2	Hon födde ännu en son, Abel, Kains bror. Abel blev herde och Kain blev åkerbrukare. 
GEN.4.3	Efter en tid hände sig att Kain bar fram en offergåva åt 
GEN.4.4	 Även Abel bar fram sin gåva av det förstfödda i sin hjord, av djurens fett. Och 
GEN.4.5	 men till Kain och hans offer såg han inte. Då blev Kain mycket vred och hans blick blev mörk. 
GEN.4.6	 Och 
GEN.4.7	 Är det inte så att om du gör det som är gott, ser du frimodigt upp, men om du inte gör det som är gott, då lurar synden vid dörren. Den har begär till dig, men du skall råda över den." 
GEN.4.8	Kain talade med sin bror Abel,
GEN.4.9	 Och 
GEN.4.10	 Då sade han: "Vad har du gjort? Hör, din brors blod ropar till mig från marken! 
GEN.4.11	 Nu är du förbannad mer än den jord som har öppnat sin mun för att ta emot din brors blod av din hand. 
GEN.4.12	 När du brukar jorden skall den inte längre ge dig sin gröda. Kringflackande och hemlös skall du vara på jorden." 
GEN.4.13	 Kain sade då till 
GEN.4.14	Se, i dag driver du mig bort från åkerjorden, och jag är dold för ditt ansikte. Kringflackande och hemlös kommer jag att vara på jorden, så att vem som helst som träffar på mig kan döda mig." 
GEN.4.15	 Men 
GEN.4.16	 Så gick Kain bort från 
GEN.4.17	Kain kände sin hustru och hon blev havande och födde Hanok. Och Kain byggde en stad och kallade den Hanok efter sin son. 
GEN.4.18	Åt Hanok föddes Irad, och Irad blev far till Mehujael. Mehujael blev far till Metusael, och Metusael blev far till Lemek. 
GEN.4.19	Lemek tog sig två hustrur, den ena hette Ada och den andra Silla. 
GEN.4.20	 Ada födde Jabal. Han blev stamfader till dem som bor i tält och är boskapsskötare. 
GEN.4.21	Hans bror hette Jubal. Han blev stamfader till alla dem som spelar harpa och flöjt. 
GEN.4.22	Silla födde också en son, Tubal-Kain. Han var smed och gjorde alla slags redskap av koppar och järn. Tubal-Kains syster hette Naama. 
GEN.4.23	Lemek sade till sina hustrur:
GEN.4.23	"Ada och Silla,
GEN.4.23	hör på mig!
GEN.4.23	Ni Lemeks hustrur,
GEN.4.23	lyssna till mina ord:
GEN.4.23	En man har jag dödat för varje sår
GEN.4.23	och en ung man för varje blåmärke.
GEN.4.24	Ja, sju gånger blir Kain hämnad,
GEN.4.24	men Lemek sjuttiosju gånger."
GEN.4.25	Adam kände åter sin hustru, och hon födde en son som hon gav namnet Set. Hon sade: "Gud har gett mig en annan avkomling i stället för Abel, eftersom Kain dödade honom." 
GEN.4.26	Också Set fick en son och han gav honom namnet Enos. Vid den tiden började man åkalla 
GEN.5.1	Detta är boken om Adams fortsatta historia. När Gud skapade människor gjorde han dem lika Gud. 
GEN.5.2	 Till man och kvinna skapade han dem. Han välsignade dem och gav dem namnet människa den dag de skapades. 
GEN.5.3	När Adam var 130 år fick han en son som var lik honom, hans avbild. Han gav honom namnet Set. 
GEN.5.4	 Sedan Adam fått Set, levde han 800 år och fick söner och döttrar. 
GEN.5.5	 Adams hela ålder - den tid han levde
GEN.5.6	När Set var 105 år blev han far till Enos. 
GEN.5.7	 Sedan Set hade fått Enos levde han 807 år och fick söner och döttrar. 
GEN.5.8	 Sets hela ålder blev alltså 912 år. Därefter dog han. 
GEN.5.9	När Enos var 90 år blev han far till Kenan. 
GEN.5.10	 Sedan Enos hade fått Kenan levde han 815 år och fick söner och döttrar. 
GEN.5.11	 Enos hela ålder blev alltså 905 år. Därefter dog han. 
GEN.5.12	När Kenan var 70 år blev han far till Mahalalel. 
GEN.5.13	 Sedan Kenan hade fått Mahalalel levde han 840 år och fick söner och döttrar. 
GEN.5.14	 Kenans hela ålder blev alltså 910 år. Därefter dog han. 
GEN.5.15	När Mahalalel var 65 år blev han far till Jered. 
GEN.5.16	 Sedan Mahalalel hade fått Jered levde han 830 år och fick söner och döttrar. 
GEN.5.17	 Mahalalels hela ålder blev alltså 895 år. Därefter dog han. 
GEN.5.18	När Jered var 162 år blev han far till Hanok. 
GEN.5.19	 Sedan Jered hade fått Hanok levde han 800 år och fick söner och döttrar. 
