GEN.1.1	I begynnelsen skapade Gud himmel och jord.
GEN.1.2	Jorden var öde och tom, djupet täcktes av mörker och en gudsvind svepte fram över vattnet. 
GEN.1.3	Gud sade: »Ljus, bli till!« Och ljuset blev till. 
GEN.1.4	Gud såg att ljuset var gott, och han skilde ljuset från mörkret. 
GEN.1.5	Gud kallade ljuset dag, och mörkret kallade han natt. Det blev kväll och det blev morgon. Det var den första dagen.
GEN.1.6	Gud sade: »I vattnet skall ett valv bli till, och det skall skilja vatten från vatten.« Och det blev så. 
GEN.1.7	Gud gjorde valvet och skilde vattnet under valvet från vattnet ovanför valvet. 
GEN.1.8	Gud kallade valvet himmel. Det blev kväll och det blev morgon. Det var den andra dagen.
GEN.1.9	Gud sade: »Vattnet under himlen skall samlas till en enda plats, så att land blir synligt.« Och det blev så. 
GEN.1.10	Gud kallade det torra landet jord, och vattenmassan kallade han hav. Och Gud såg att det var gott. 
GEN.1.11	Gud sade: »Jorden skall ge grönska: fröbärande örter och olika arter av fruktträd med frö i sin frukt skall växa på jorden.« Och det blev så. 
GEN.1.12	Jorden frambringade grönska: olika arter av fröbärande örter och olika arter av träd med frö i sin frukt. Och Gud såg att det var gott. 
GEN.1.13	Det blev kväll och det blev morgon. Det var den tredje dagen.
GEN.1.14	Gud sade: »På himlavalvet skall ljus bli till, och de skall skilja dagen från natten och utmärka högtider, dagar och år. 
GEN.1.15	De skall vara ljus på himlavalvet och lysa över jorden.« Och det blev så. 
GEN.1.16	Gud gjorde de två stora ljusen, det större ljuset till att härska över dagen och det mindre till att härska över natten, och han gjorde stjärnorna. 
GEN.1.17	Han satte ljusen på himlavalvet att lysa över jorden, 
GEN.1.18	att härska över dag och natt och att skilja ljus från mörker. Och Gud såg att det var gott. 
GEN.1.19	Det blev kväll och det blev morgon. Det var den fjärde dagen.
GEN.1.20	Gud sade: »Vattnet skall vimla av levande varelser, och fåglar skall flyga över jorden, under himlavalvet.« 
GEN.1.21	Gud skapade de stora havsdjuren och alla olika arter av levande varelser som vattnet myllrar och vimlar av och alla olika arter av fåglar. Och Gud såg att det var gott. 
GEN.1.22	Gud välsignade dem och sade: »Var fruktsamma och föröka er och uppfyll sjöar och hav. Och på jorden skall fåglarna föröka sig.« 
GEN.1.23	Det blev kväll och det blev morgon. Det var den femte dagen.
GEN.1.24	Gud sade: »Jorden skall frambringa olika arter av levande varelser: boskap, kräldjur och vilda djur av olika arter.« Och det blev så. 
GEN.1.25	Gud gjorde de olika arterna av vilda djur, boskap och markens kräldjur. Och Gud såg att det var gott.
GEN.1.26	Gud sade: »Vi skall göra människor som är vår avbild, lika oss. De skall härska över havets fiskar, himlens fåglar, boskapen, alla vilda djur och alla kräldjur som finns på jorden.« 
GEN.1.27	Gud skapade människan till sin avbild, till Guds avbild skapade han henne. Som man och kvinna skapade han dem. 
GEN.1.28	Gud välsignade dem och sade till dem: »Var fruktsamma och föröka er, uppfyll jorden och lägg den under er. Härska över havets fiskar och himlens fåglar och över alla djur som myllrar på jorden.«
GEN.1.29	Gud sade: »Jag ger er alla fröbärande örter på hela jorden och alla träd med frö i sin frukt; detta skall ni ha att äta. 
GEN.1.30	Åt markens djur, åt himlens fåglar och åt dem som krälar på jorden, allt som har liv i sig, ger jag alla gröna örter att äta.« Och det blev så. 
GEN.1.31	Gud såg att allt som han hade gjort var mycket gott. Det blev kväll och det blev morgon. Det var den sjätte dagen.
GEN.2.1	Så fullbordades himlen och jorden och allt vad där finns. 
GEN.2.2	Den sjunde dagen hade Gud fullbordat sitt verk, och han vilade på den sjunde dagen efter allt han hade gjort. 
GEN.2.3	Gud välsignade den sjunde dagen och gjorde den till en helig dag, ty på den dagen vilade Gud sedan han utfört sitt skapelseverk.
GEN.2.4	Detta är berättelsen om hur himmel och jord skapades.
GEN.2.4	När Herren Gud gjorde jord och himmel, 
GEN.2.5	när ingen buske fanns på marken och ingen ört hade spirat, eftersom Herren Gud inte hade låtit något regn falla på jorden och ingen människa fanns som kunde odla den — 
GEN.2.6	men ett flöde vällde fram ur jorden och vattnade marken — 
GEN.2.7	då formade Herren Gud människan av jord från marken och blåste in liv genom hennes näsborrar, så att hon blev en levande varelse. 
GEN.2.8	Och Herren Gud planterade en trädgård österut, i Eden, och satte där människan som han hade format. 
GEN.2.9	Herren Gud lät alla slags träd växa upp ur marken, sådana som var ljuvliga att se på och goda att äta av. Mitt i trädgården stod livets träd och trädet som ger kunskap om gott och ont.
GEN.2.10	En flod rinner upp i Eden och bevattnar trädgården. Sedan delar den sig i fyra armar. 
GEN.2.11	Den första heter Pishon, den flyter kring Havila, ett land där det finns guld. 
GEN.2.12	Guldet i det landet är fint, och där finns också bdelliumharts och onyxsten. 
GEN.2.13	Den andra floden heter Gichon, den flyter kring Kush. 
GEN.2.14	Den tredje floden heter Tigris, den rinner öster om Assyrien. Den fjärde floden är Eufrat.
GEN.2.15	Herren Gud tog människan och satte henne i Edens trädgård att bruka och vårda den. 
GEN.2.16	Herren Gud gav detta bud: »Du får äta av alla träd i trädgården 
GEN.2.17	utom av trädet som ger kunskap om gott och ont. Den dag du äter av det trädet skall du dö.«
GEN.2.18	Herren Gud sade: »Det är inte bra att mannen är ensam. Jag skall ge honom någon som kan vara honom till hjälp.« 
GEN.2.19	Så formade Herren Gud av jord alla markens djur och alla himlens fåglar och förde fram dem till mannen för att se vad han skulle kalla dem. Varje levande varelse fick det namn som mannen gav den. 
GEN.2.20	Mannen gav namn åt all boskap, alla himlens fåglar och alla vilda djur. Men han fann inte någon som kunde vara honom till hjälp. 
GEN.2.21	Då försänkte Herren Gud mannen i dvala, och när han sov tog Gud ett av hans revben och fyllde igen hålet med kött. 
GEN.2.22	Av revbenet som han hade tagit från mannen byggde Herren Gud en kvinna och förde fram henne till mannen. 
GEN.2.23	Då sade mannen:
GEN.2.23	»Den här gången är det ben av mina ben,
GEN.2.23	kött av mitt kött.
