MAT.1.1	Livre d' la généalogie d' Jésus‐Christ, fis Dâvi, fis Abĕrham.
MAT.1.2	Abĕrham engèndrit Isas. Isas engèndrit Jâcob. Jâcob engèndrit Juda et ses fréres.
MAT.1.3	Juda engèndrit, de Thamar, Pharès et Zara. Pharès engèndrit Esron. Esron engèndrit Aram.
MAT.1.4	Aram engèndrit Aminadab. Aminadab engèndrit Naasson. Naasson engèndrit Salmon.
MAT.1.5	Salmon engèndrit Booz, de Rahab. Booz engèndrit Obed, de Ruth. Obed engèndrit Jessé. Et Jessé engèndrit Dâvi, qui fut roué.
MAT.1.6	L' roué Dâvi engèndrit Salomon, d' chelle qui' avait étaï fâme d' Urie.
MAT.1.7	Salomon engèndrit Roboam. Roboam engèndrit Abias. Abias engèndrit Asa.
MAT.1.8	Asa engèndrit Josaphat. Josaphat engèndrit Joram. Joram engèndrit Ozias.
MAT.1.9	Ozias engèndrit Joathan. Joathan engèndrit Achaz. Achaz engèndrit Ezéchias.
MAT.1.10	Ezéchias engèndrit Manassé. Manassé engèndrit Amon. Amon engèndrit Jôsias.
MAT.1.11	Jôsias engèndrit Jéchonias et ses fréres, viers le temps où les Juîs furent trànsportaïs à Babylône.
MAT.1.12	Et d'pîs qu' i furent trànsportaïs à Babylône, Jéchonias engèndrit Salathiel. Salathiel engèndrit Zorobâbel.
MAT.1.13	Zorobâbel engèndrit Abiud. Abiud engèndrit Eillacim. Eillacim engèndrit Azor.
MAT.1.14	Azor engèndrit Sadoc. Sadoc engèndrit Achim. Achim engèndrit Eillud.
MAT.1.15	Eillud engèndrit Eillâzar. Eillâzar engèndrit Mathan. Mathan engèndrit Jâcob.
MAT.1.16	Et Jâcob engèndrit Jôseph, l' houmme de Marie, chelle de qui fut naï Jésus, dit Christ.
MAT.1.17	Ill y' a don, tout comptaï, d'pîs Abĕrham jusqu' à Dâvi, quatorze générâtions; d'pîs Dâvi jusqu' à tànt qu' les Juîs furent trànsportaïs à Babylône, quatorze générâtions; et d'pîs qu' i furent trànsportaïs à Babylône jusqu' à Jésus‐Christ, quatorze générâtions.
MAT.1.18	Pour chu qui' est d' la naîssànce de Jésus‐Christ, v'chìn coumme alle avìnt. Coumme Marie sa mére avait étaï fiànchie à Jôseph, a' s' trouvit enchâinte, parç qu'alle avait conchu en ielle, par la vertu du Sâint‐Esprit, d'vànt qu' il aeussent étaï ensemblle.
MAT.1.19	Ho Jôseph, sĕn houmme, parç' qu' il 'tait juste et qu' i n' voulait pas l' escllàndraïr, résolut d' la rènvyaïr en d'muchon.
MAT.1.20	Mais, coumme il ŷ pensait, ùn ànge du Signeur lli' apparut en songe, et lli dît: Jôseph, fis d' Dâvi, n' cragniz pas d' prendre ôve vous Marie vote fâme, car chu qui' est naï en ielle a étaï formaï par le Sâint‐Esprit.
MAT.1.21	Et a' mettra au monde ùn fiss, à qui vous doûraïz l' nom d' Jésus, chu qui sinifie Saûveur; car che s'ra li qui saûv'ra sen peuplle, et qui l' déliver'ra d' ses péchês.
MAT.1.22	Ho tout chun'na s' fît pour accompllìr chu que l' Signeur avait dit par le prophéte, de qui v'chìn les mots:
MAT.1.23	Une vierge conchevra, et a' mettra au monde ùn fiss, à qui nou doûra l' nom d' Emmanuel, chu qui sinifie, Gyu ôve nous.
MAT.1.24	Jôseph don, s' étànt révilli, fît chu qu' l' ànge du Signeur lli' avait ordounnaï, et prìnt sa fâme ôve li.
MAT.1.25	Et i n' avait pas appĕrchi d' elle quànd a' mît au monde sen fis prumier‐naï, à qui i dounnit l' nom d' Jésus.
MAT.2.1	Ho quànd Jésus fut naï en Bethléhem ville d' la tribu d' Juda, du temps du roué Hérode, des mages vinrent de l' orient à Jérusâlem,
MAT.2.2	Et i d'màndirent: Où' est qui' est l' roué des Juîs qui vient d' v'nir au monde? car j' avons veue s'n ételle en orient, et j' simes venus l' adoraïr.
MAT.2.3	L' roué Hérode, quànd il aeut oui chun'na, en troubllit, et toute la ville de Jérusâlem ôve li.
