MAT.1.1	Guijtz ni rusule' laj retoxpeṉgoldoo xten Jesucrist xi'n toDavid, xi'n toAbraham.
MAT.1.2	Abraham gujc xtad Isaac, Isaac gujc xtad Jacob, Jacob gujc xtad Judá con rebejtzni. 
MAT.1.3	Judá con Tamar gujc xcuzajn Fares con Zara. Fares gujc xtad Esrom, Esrom gujc xtad Aram. 
MAT.1.4	Aram gujc xtad Aminadab. Aminadab gujc xtad Naasón. Naasón gujc xtad Salmón. 
MAT.1.5	Salmón con Rahab gujc xcuzajn Booz. Booz con Rut gujc xcuzajn Obed. Obed gujc xtad Isaí. 
MAT.1.6	Isaí gujc xtad ṟeii David. David con nani gujc chääl Urías gujc xcuzajn Salomón.
MAT.1.7	Salomón gujc xtad Roboam. Roboam gujc xtad Abías. Abías gujc xtad Asa. 
MAT.1.8	Asa gujc xtad Josafat. Josafat gujc xtad Joram. Joram gujc xtad Uzías. 
MAT.1.9	Uzías gujc xtad Jotam. Jotam gujc xtad Acaz. Acaz gujc xtad Ezequías. 
MAT.1.10	Ezequías gujc xtad Manasés. Manasés gujc xtad Amón. Amón gujc xtad Josías. 
MAT.1.11	Josías gujc xtad Jeconías con rebetzni cheni huij rebeṉ Israel pres lo guedx Babilonia.
MAT.1.12	Che gudejd huij rebejṉga pres Babilonia, dxejc guyu' xi'n Jeconías, Salatiel. Salatiel gujc xtad Zorobabel. 
MAT.1.13	Zorobabel gujc xtad Abiud. Abiud gujc xtad Eliaquim. Eliaquim gujc xtad Azor. 
MAT.1.14	Azor gujc xtad Sadoc. Sadoc gujc xtad Aquim. Aquim gujc xtad Eliud. 
MAT.1.15	Eliud gujc xtad Eleazar. Eleazar gujc xtad Matán. Matán gujc xtad Jacob. 
MAT.1.16	Jacob gujc xtad José chääl Marii nani gujc xnan Jesús ni birilaj Crist.
MAT.1.17	Ni'cni gujc tzudaj xfamiḻ reni agudejd gubi'reni lo guedxliujre che gubajṉli toAbram cheni gubajṉliza toṟeii David. Tzudajza rexagdoo najc reni gudejd cheni gubajṉli toDavid cheni huijli rebeṉ Israel pres Babilonia. Stzudaj rexagdoo najc reni gudejd cheni biriilireni pres Babilonia che gojlli Crist.
MAT.1.18	Scree gujc cheni gojl Jesucrist. Abia'n xnanni, Marii, diidx guchṉaani José ni gac chäälni. Per ansde xca' sa'reni, Marii agac nuxi'nni sa'csi biääd Sprit Dxan xten Dios lojni. 
MAT.1.19	José com najcni te beṉsa'c, di rlajzni nuṟo'nni Marii nez loj rebejṉ te niacbeereni, ni'c bejnni xhigab Guṟonxhiga'tzni Marii. 
MAT.1.20	Xhigabga cayujnni cheni baluiloj te xangl Dios lojni, lo bacaḻ räjpni lojni:
MAT.1.20	―José xajg toDavid, na'c guidxejblu xca'lu Marii gacni chäällu sa'csi xi'nni nani chu najc xten Sprit Dxan xten Dios. 
MAT.1.21	Che gaal xi'nni cuälajluni Jesús sa'csi laani gusḻaani rexpejṉni lo rextojḻreni.
MAT.1.22	Guiraa redee gujc si'c te guzojb diidx ni gunii tej ni bacuaa xtidx Dios. Räjpni:
MAT.1.23	Suu te dxapxteeb bäz, sajl te xingaanni nani guirilaj: Emanuel, (lajni säloj Dios nabajṉ con nuure).
MAT.1.24	Che gubajṉ José lo bacaḻ, bejnni si'cni räjp xangl Dad lojni. Cua'ni Marii gujc chäälni. 
MAT.1.25	Luxh dini niembeeni si'c chäälni dxejli cheni gudejd gojl xingangalojni ni gulälajni Jesús.
MAT.2.1	Cheni gojl Jesús neṉ guedx Belén xten guedx Judea, najc Herodes ṟeii xten guedx Judea. Dxejc bidzujṉ rebeṉnajn ni najc remagos, siäädreni nejz cadro rliejn gubijdx, bidzujṉreni guedx Jerusalén. 
MAT.2.2	Rniabdiidxreni:
MAT.2.2	―¿Con ṟeii xten rebeṉ Israel nani golgaj, ä? Nurnu abihuiinu xpajlni laadxlinu, ni'cni siopdoṉnuni.
MAT.2.3	Che biejn diajg ṟeii Herodes diidxga, guyuduxhni yärsia' näjza guiraa rebeṉ Jerusalén. 
MAT.2.4	Dxejcti batie'ni guiraa rebixhojzro ni rnibee loj rebixhojz, näjza guiraa renani ruluii xleii Moisés lo rebejṉ te gunabdiidxni lojreni:
MAT.2.4	―¿Caro gaal Crist?
MAT.2.5	Laareni räjpreni:
MAT.2.5	―Neṉ guedx Belén xten guedx Judea sa'csi si'c gunii niguii ni bacuaa xtidx Dios che räjpni:
MAT.2.6	Luj guedx Belén xten guedx Judea, dilu gajc maazru huin loj reguedxro xten guedx Judea sa'csi neṉ guejdxre guirii tej nani guinibee, te ni ga'p rexpeṉä Israel.
MAT.2.7	Dxejcti guredx-xhiga'tz Herodes remagos te gunabdiidxni gucti biricaj bajl nani bahuiireni. 
MAT.2.8	Dxejcti baxhaḻnireni guedx Belén, räjpni lojreni:
MAT.2.8	―Coḻchäj ro'c, coḻnabdiidxsa'c xcuent biuuxga te che abidxältuni jiädniitu loä te näjza narä chagaṉäni.
MAT.2.9	Che biejn diajgreni xtidx ṟeii, sä'tireni. Bajl nani bahuiireni lagajc lajdxreni laḻtis nijdni lojreni. Che bidzujṉlireni cadro yu' bäzga, dxejcru guzobdxi bajlga. 
MAT.2.10	Che bahuii remagos loj bajlga, rbalazduxhreni. 
MAT.2.11	Si'c bidzujṉreni. Che biu'reni neṉ yu', bahuiireni lo bäzga con xnanni Marii. Dxejcti bazuxhijbreni, gojṉreni bäzga, baxhalreni rexcäḻnasa'creni bazalajzreni oor, näjza yaal näjza yalnejxh. 
MAT.2.12	Che agojl guibi'reni, gunixcäḻreni, räjp Dios lojreni:
MAT.2.12	―Na'c guibi'tu nez loj Herodes.
MAT.2.12	Dxejcti gunaazreni garenca nez yuj, gubi'reni lajdxreni.
MAT.2.13	Che sii remagos lajdxreni, biääd te xangl Dios baluilojni lo José lo bacaḻ, räjpni:
MAT.2.13	―Huistie, cua' biuxe're näjza xnanni, huinäreni Egipto. Ro'c guläjz che guiniäli lojlu. Siguiil Herodes biuxe're sa'csi rlajzni ju'tnini.
MAT.2.14	Dxejc huistiegajc José, cua'ni biuxe're näjza xnanni, lagajc yäälga biriireni, siireni nez Egipto. 
MAT.2.15	Ro'c guyu'reni cheni gujtli Herodes. Guiraa dee guzajc te guzojb diidx ni bacuaa niguii ni gunii xtidx Dios che räjpni: “Egiptoli guredxä xi'nä.”
MAT.2.16	Che gucbee Herodes abasguee remagosni, bidxechduxhni. Gunibeeni guet guiraa rebiuxniguii ni yu' tio'p ijz näjza rebiuxe' ni yu' guxiiru dxej, guideb neṉ guedx Belén näjza reguejdx ni re' gabiga, si'cti redxej ni räjp remagos lojni. 
MAT.2.17	Dxejc guzojb diidx ni bacuaa Jeremías ni gunii xtidx Dios che räjpni:
MAT.2.18	Biejn xse' bejṉ neṉ guedx Ramá, te yäḻhuinduxh, te yäḻrbedxdij, yäḻrbedxneṉ:
MAT.2.18	laa Raquel ni roon yejc rexi'nni.
MAT.2.18	Naaddini jiäjḻ lajzni sa'csi agujt rexi'nni.
MAT.2.19	Cheni gujt Herodes, dxejc lo te bacaḻ huiluiloj xangl Dios loj José neṉ Egipto. 
MAT.2.20	Räjpni:
MAT.2.20	―Huistie, cua' biuxe're näjza xnanni, gubisac nez Israel sa'csi agujt renani rlajz ju't biuxe're.
MAT.2.21	Dxejcti huistie José, cua'ni biuxe' näjza xnanni. Gubi'reni Israel. 
MAT.2.22	Luxh che biejn diajgni rnibee Arquelao guejdx Judea lacuaa Herodes, xtadni, bidxejbni nuiini ro'c. Dxejc gunisac Dios lojni loj te bacaḻ, ni'c huijni lo reguejdx xten Galilee. 
MAT.2.23	Dxejc biädläjzni neṉ guejdx ni laa Nazare't te si'c guzojb diidx ni bacuaa niguii ni gunii xtidx Dios cheni räjpni: “Sirilajni nazareṉ.”
MAT.3.1	Neṉ redxejga biääd Juan Bautist lo reyubijdz xten guedx Judea, ro'c cagulijdxni, 
MAT.3.2	cayäjpni:
