MAT.1.1	Ulu lwe lukoono ulwa ulukolo lwa Yesu Kilisito umwisukulu va Daudi, umwisukulu va Abulahamu:
MAT.1.2	Abulahamu amwege Isaki, neke Isaki amwegale Yakobo, neke Yakobo amwegale Yuda na avayagwe, 
MAT.1.3	neke Yuda amwegale Pelesi na Sela, kwa mwayuva Tamali, neke Pelesi amwegale Hesiloni, Hesiloni, amwegale Lamu, 
MAT.1.4	Lamu amwegale Aminadabu, Aminadabu amwegale Nahisoni, Nahisoni amwegale Salimone, 
MAT.1.5	Salimone amwegale Boasi uyuve ee Lahabu, Boasi amwegale Obedi kwa mwayuva Luti, Obedi amwegale Yese, 
MAT.1.6	neke Yese amwegale Daudi Umutwa va Vaisilaeli. Nave Daudi amwegale Solomoni uyuve ee mukina Uliya.
MAT.1.7	Solomoni amwegale Lehoboamu, Lehoboamu amwegale Abiya, Abiya amwegale Asa, 
MAT.1.8	Asa amwegale Yosofati, Yosofati amwegale Yolamu, Yolamu amwegale Usiya, 
MAT.1.9	Usiya amwegale Yotamu, Yotamu amwegale Hesekia. 
MAT.1.10	Hesekia amwegale Manase, Manase amwegale Amosi, Amosi amwegale Yosiya, 
MAT.1.11	Yosiya amwegale Yekoniya na vanakwave, palusika ulwa kusindikwa ava Isilaeli kuwunyawingi ku Babiloni.
MAT.1.12	Napevali kuwunyawingi ku Babiloni: Yekoniya amwegale Salatieli, Salatieli amwegale Selubabeli, 
MAT.1.13	Selubabeli amwegale Abiudi, Abiudi amwegale Eliakimu, Eliakimu amwegale Asoli. 
MAT.1.14	Asoli amwegale Sadoki, Sadoki amwegale Akimu, Akimu amwegale Eliudi, 
MAT.1.15	Eliudi amwegale Eliesali, Eliesali amwegale Matani, Matani amwegale Yakobo, 
MAT.1.16	Yakobo amwegale Yosefu umutegula Maliya umwegala Yesu ye atambuligwe Kilisito.
MAT.1.17	Lino imbegalo mbesili uluhuma kwa Abulahamu mbaka kwa Daudi nyichumi nasitayi neke uluhuma kwa Daudi mbaka kuwunyawingi ku Babiloni se mbegalo nyichumi nasitayi, neke kangi, uluhuma kuwunyawingi ku Babiloni mbaka kwa Kilisito se mbegalo nyichumi nasitayi.
MAT.1.18	Ukwegalwa kwa Yesu Kilisito kwekwide: Uyuve Maliya pe amwendite Yosefu wesialagaluswa awonike inafilo kwa uludali lwa Umuhe Umwelu; 
MAT.1.19	Neke uvakwe Yosefu, emunu munyandolo sawendigi ukumuhongela inyoni, asakige amuleke kinyele. 
MAT.1.20	Lino peali mumahosa igo, ndawe munyivaha va Nguluvi amusilige mumaloto, itigila, “Yosefu, ve Mwana va Daudi, ulogopa ukumutegula Maliya ave munu vako, pakuva ifilo fye inafyo fya Umuhe Umwelu. 
MAT.1.21	Egala umwana na umupela ilitawa lyakwe Yesu, pakuva umwene avapoka avanu vakwe uluhuma mu nzanangifu sawo.” 
MAT.1.22	Isi mbesili saave de sambi lukwile ulukani ululonge na umutwa numulomo gwa umuvisi: 
MAT.1.23	“Mulavage Umwigani umutuunafu avanafilo egala umwana mukwamisi, nave saatambulwa Imanueli” (kwekutigila, “Nguluvi pamwi na hwehwe.”) 
MAT.1.24	Nave, Yosefu pealamwike uluhuma mutulo apigite ndawe lweemulagile na munyivaha va Nguluvi swe akumutegula Maliya. 
MAT.1.25	Siagenzili nave mbaka Maliya pakwegala umwana. Ndawe amupelige ilitawa lya Yesu.
MAT.2.1	Neke Yesu pe awonike ku Betelehemu, iya ku Yudaya, pa imisika ija Helode Umutwa, ndawe vasige ku Yelusalemu avanu avasisele ing'eng'esi ukuhuma kumihago vitigila, 
MAT.2.2	“Kumbi alikwi yeawonike Umutwa va Avayudaya? Pakuva tuyiwene ing'eng'esi yakwe kumihago, ino tusile tumusunyalile.” 
MAT.2.3	Neke Helode umutwa peapulike ulu ahuguve, na vanu mbevali mu Yelusalemu. 
MAT.2.4	Neke, akong'ase avatambisi avavina mbevali, na avigisi va indagilo, ndawe avawusige, “Kwekwiyaga kwe awoneka Kilisito?” 
MAT.2.5	Ndawe vamulongelige, “ku Betelehemu ya ku Yudaya; pakuva lwandike na umuvisi:
MAT.2.6	‘Nayuveve ve Betelehemu mung'i ya mu Yudaya,
MAT.2.6	siwimudodo nda muvatambule va mu Yudaya;
MAT.2.6	pakuva ukuhuma kwa veve
MAT.2.6	awoneka Mutwa
MAT.2.6	yeavakwamila avanu vangu Isilaeli.’”
MAT.2.7	Ndawe, Helode avakemelige kinyele avanyaluhala avasisele ing'eng'esi swe akuvawusa wunofu, panili ing'eng'esi peyikawonike. 
MAT.2.8	Ndawe avatumige ku Betelehemu, itigila, “Mubite mukawuse wunofu ulwa umwana uyo. Nape mumuwene musage mundongele sambi nayinene mbite ngamusunyalile.” 
MAT.2.9	Peye vamupulikise umutwa, vawukite swe vibitaga. Swe Ing'eng'esi yevayiwonige kumihago yikuvalongolela, nape yifisile apono pala sweno yikwima peepwali Umwana. 
MAT.2.10	Vave viwona ing'eng'esi yila yimile vahekelye hilo. 
MAT.2.11	Nape vinje mukaye, vamuwene Umwana nayuyuve Maliya; swe vifugama, neke vamusunyalile. Sweno viwopola ififundo fyawo, swe vakumupela ifipelwa: isahabu, Uwufumba na imanemane.
MAT.2.12	Neke peviwuya ukwawo vakwete ing'asi yingi pakuva vevafunde na Nguluvi mumaloto gawo ulwa valakola kwa Helode.
MAT.2.13	Avagenzi vala pevahesile, ndawe munyivaha amusilige Yosefu mumaloto neke amutigile, “Wuke uvategule Umwana na yuyuve, mukimbilile ku Misili. Mukikale kuko mbaka pesandivalongela, pakuva Helode ahele isaka ukumuwulaga Umwana.” 
MAT.2.14	Ndawe alamukige nu kumutegula Umwana na yuyuve kikilo kicho, ndawe vabitige ku Misili. 
MAT.2.15	Ndawe vikalige kuko mbaka Helode pe afwe. Sambi lukwile ulukani ulwa lonzilwe na Umutwa nu mulomo gwa umuvisi: “Ndamukemelye mwanangu ukuhuma ku Misili.”
MAT.2.16	Nave Helode pe alukagwe ukutigila avagenzi avahuma kumihago vamusanzile, avifile hilo. Ndawe alagilige ukuta avana avakwamisi mbevali ku Betelehemu na muwipi avali ni myaka givili na ukupiluka kumbele vawulagwagwe, apigite ulu ndawe eapulike uluhuma kuvagenzi avakumihago. 
MAT.2.17	Wesave pakukwila ing'ani isalindoge numulomo gwa umuvisi Yelemiya.
MAT.2.18	“Iliswi lyapulise uluhuma ku Lama,
MAT.2.18	Iliswi lya ingoolo ya ikivembo.
MAT.2.18	Laheli ivembela avanakwe; alema ukuleka
MAT.2.18	vamukatuse, pakuva avanakwe vafwe.”
MAT.2.19	Neke pe afwe Helode, ndawe munyivaha va Umutwa aasile kwa Yosefu mumaloto ku Misili neke amutigilage, 
MAT.2.20	“Wuke! Mutegule Umwana na yuyuve, mubite kangi kung'i ya Isilaeli, pakuva vala avakasakige vamuwulage umwana yevakafwe.” 
MAT.2.21	Ndawe awukige, neke amutegule umwana na yuyuve neke vabite kung'i iya ku Isilaeli.
MAT.2.22	Lino Yosefu peapulike ulwa Alikelao umwana va Helode atemite mu Yudaya, ogwipe ukubita uko, pakuva ye e mufunde mumaloto, swe ibita ku Galilaya, 
MAT.2.23	ndawe abitige nu kwikala muboma iyatambuligwe Nasaleti. Sambi lukwile, lwelwelulonge na umuvisi, “Saatambulwa Munasalene.”
MAT.3.1	Imitalo gila ekwali Yohane umunyakubatisa, neke avange ukudalika mubalali iya ku Yudaya, 
MAT.3.2	idalika itigila, “Mupelage, pakuva uwutwa uwa kuchanya wuhegelye.” 
MAT.3.3	Uyu yemwene yeemulonge nu muvisi Yesaya itigila,
MAT.3.3	“Iliswi lya umunu lyapulise mubalali:
MAT.3.3	Muwuyapage ing'asi iya Mutwa
MAT.3.3	ifikolo mbefili figolokage.”
MAT.3.4	Umwene Yohane afwalige umwenda umutive na ulubahila ulwa ingamiya, neke na umusipi ugwa ing'ingo Mukigudi. Neke ikilyo che alisige saali manzi na uwuuki wa inzuki. 
MAT.3.5	Avanu mbevali vaasile kwa Yohane uluhuma ku Yelusalemu, ku Yudaya na vahuma mung'i isilimwipi na mumukoga ugwa Yolodani, 
MAT.3.6	swe vipela inzanangifu sawo, neke avabatise mu Yolodani.
