MRK.1.1	O glanapen o Evangeliester Jezus Kristusester o Devlester čaveste. 
MRK.1.2	Her hi čindo ani profeteske Jzajas: Dikehe, me bičevaua miro našepaskeres glane tute, ta kerela tuke o drom šuker. 
MRK.1.3	I rakermasker‐bašo ani fulelo phub: Kerene o Devlesker drom, kerene šuker lesker tikne droma! 
MRK.1.4	Johanes boldes ani fulelo phub ta rakerdeslo mišto vaške o mekepen lenger došienge. 
MRK.1.5	Ta o celo them Judea, ta hake džene Jeruzalemester gejen pen lehe vri, ta mekenele ta boldeslo len ani pani Jordan, ta phukerdenle lenger došia. 
MRK.1.6	Johanes has kole e balenca ta i morceno girtlo drana lesker trupo, ta chaslo haišreki ta gvin. 
MRK.1.7	Job rakerdes ta phendeslo: Kana vela jek pala mande, kova hi zoreleder her me. Me hom ger kučo ta peraua tele ta bandava leskr kirichenger padi. 
MRK.1.8	Me boldedom tumen o panester, job bolderela tume o boldo mulester (dulo duchester).
MRK.1.9	Keake vela, ta vejes o Jezus ana kova ciro drana Nazaret ani Galilea, ta vejeslo boldo i Johanesester ani pani Jordan. 
MRK.1.10	Ta štejeslo drani pani pre, dikheslo o bolepen piro, ta vejes i boldo mulo (dulo ducho) her i ponisteri tele, ta ačeli prale leste. 
MRK.1.11	Ta i bašo dejes godlo i bolepenester: Tu hal mer kam'o čavo, tu feltel mange. 
MRK.1.12	Ta o mulo (ducho) trades les vri ani fulelo phub (kokero them). 
MRK.1.13	Ta job has ani fulelo phub štarmerdeš dives ta štarmerdeš rati, ta o beng kamele midžiko kova lehe. Job has paš i divje pedenge (Tieren) ta i engle kanden pen les.
MRK.1.14	Ta has Johanes štildo, vejes Jezus pale Galilea, rakerdeslo o evangelio e Devlesker themeste, ta phendes: 
MRK.1.15	O ciro hi pherdo, ta vejes o Devlesker them; vele tume vaverčandes ta pačena o evangelieske.
MRK.1.16	Ta gejeslo langs o baro paneste, dikheslo o Simon ta o Andreas, leskr phral ta mačerden le ani baro pani, jon hin mačepangere. 
MRK.1.17	Jezus phendes lenge: Kandene man pale, keake kamaua me, ta hi tume dženengere mačengere. 
MRK.1.18	Ta kanderdenlen les pale, te mekenle lauter. 
MRK.1.19	Ta gejeslo kater i bresle dureder, dikheslo o Jakobuses o Zebedeus lesker čavo, ta Johanes, lesker phrales, kole kerdene lenger kova paše pani. 
MRK.1.20	Job dejes lenge sik godlo. Jon mekene leskr dad Zebedeus i but kermangerenca ta kandenele les pale.
MRK.1.21	Jon gejene pala Kapernaum, ta job gejes sik ano kurko ani kangeri ta sikerdes len. 
MRK.1.22	Jon kerena bare jaka, ta job sikerela har jek kai hi zorelo, ger her i livrenger‐s kermangere. 
MRK.1.23	Has i dženo an lenger kangeri, kova has i midžiko mu'o an leste. 
MRK.1.24	Kova dejes godlo. Ta phenelo: Ho kame mender, men hi či ta butikerahas tuke, Jezus o Nazareno? Vejel tu, ta marehas man? Me džanaua her hal: O boldo Devleskero. 
MRK.1.25	Jezus preterdes les ta phendes: Hal pokoni, ta džahas lester vri. 
MRK.1.26	Ta o čikelo mulo krotltes les, dejes godlo leskr zorelo bašeske ta gejes lester nikli. 
MRK.1.27	Jon šunena lauter keake, ta phučenele ta phenden: Ho hi kava i nevo sikerpen? Ta o čikele mule phendeslo len, ta jon kanderden les. 
MRK.1.28	Ta lesker bravolo has sik hajerdo ano celo them Galilea.
MRK.1.29	Her ta gejene drani kangeri vri, vejene len i Jakobuseste ta Johaneseste ani kher o Simoneste ta Andreaseste. 
MRK.1.30	O Simonester romniaker dai has naseli, ta sik rakerdenle lehe later. 
MRK.1.31	Pala gejeslo paše late, andeslo la paše laker vast, ta haderdeslo la pre, ta sik gejes lakr naslepen nikli, ta kerdesli lenge lakr kova mišto. 
MRK.1.32	Ta vejes pale brevul, ta gejes o baro kham tele, andenle les hakene nasele ta kolen hin i midžike mule celo pherde. 
MRK.1.33	Ta i celo foro has ketene glano vuder. 
MRK.1.34	Ta job kerdes but sasto, kones hin buteder naslepen, ta trades buteder beng vri, ta mekeslo len ger ta rakerdenle, vel ta prinšerden les.
MRK.1.35	Taisarla štejeslo sik pre, gejes vri, ta gejes ani fulelo gunč, ta priserdeslo kote. 
MRK.1.36	Simon ta hakene ta hin paše leste gejen les pale. 
MRK.1.37	Ta hacerdenlen les, phendenlen: Hakene rodene tuke! 
MRK.1.38	Job ta phendes lenge: Meken men ta džahas ani vaver gab ta foria, ta rakeraha nina kote, doske vejom. 
MRK.1.39	Ta job rakerdes an lengr kangerenge ani celo Galilea ta trades i bengen vri.
MRK.1.40	Ta vejes i gerelo leste, mangdeslo, pejes tele lesker čang ta phendeslo les: Ta kame tu, keake našte (sei) ta vaua sasto. 
MRK.1.41	O Jezus kaideslo lester, štakerdes lesker vast vri, taperdes les ta phendes les: Me kamaua: Hal sasto! 
MRK.1.42	Her ta rakerdes gejes o ger sik drana leste, ta job has sasto. 
MRK.1.43	Job bičerdes les sik nikli, preterdes les ta phendes: 
MRK.1.44	Dike, ta phene kaimeneste čomoni, dža tuke, ta sikere tuke o rašaieste, ta ane, her ta vejes sasto, her o Mozes phendes, lengr i bodeske. 
MRK.1.45	Her te gejeslo vri rakerdeslo o kova vri, ta rakerdeslo o labeste, keake ta našti džala o Jezus kome gar ani foro drin, ta vejeslo ger haierdo, job ačes ano kokero gunč; ta jon vejene leste o lauter rikender.
MRK.2.1	Pala buteder divese gejeslo papele pala Kapernaum. 
MRK.2.2	Ta has hajerdo, ta job his ani kher, vejen but ketene, keake ta hin len glani vuder kenk kunč buter. Ta job rakerdeslo lenge o lab. 
MRK.2.3	Ta ve ene ta anena i bango dženo, koles hidžerden štar džene. 
MRK.2.4	Ta andenlen les ger glani but čelenge, čakerdenle o kheresker čakerpen tele, kai his job, ta has kome piro mekjenle o čiven tele, kai bašes o bango dženo. 
MRK.2.5	Ta dikhes o Jezus lengr pacerpen phendes job apo bango dženes: Čavo, me mekava tire došia. 
