MAT.1.1	ᒪᓯᓇᐃᑲᓐ ᐃᑕ ᐁ ᐎᑖᑲᓂᐗᓂᓕᒃ ᐅᑦ ᐋᔮᓂᔅᑫᓂᑖᐎᑭᐎᓐ ᒋᓴᔅ ᙭, ᑌᐱᑦ ᐅᑯᓯᓴ, ᐁᑉᕃᐋᒻ ᐅᑯᓯᓴ᙮
MAT.1.2	ᐁᑉᕃᐋᒻ ᑮ ᓂᑖᐎᑭᐁᐤ ᐋᐃᓯᑲ; ᐋᐃᓯᒃ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒉᑲᐸ; ᒉᑲᑉ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒎᑕᓴ ᓀᔥᑕ ᐎᒋᔖᓂᓕᐗ; 
MAT.1.3	ᒎᑕᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐯᕆᓴ ᓀᔥᑕ ᓭᕋᐊ ᑌᒫᕐ ᐅᒋ; ᐯᕆᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐁᔅᕋᒪ; ᐁᔅᕋᒻ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐁᕋᒪ; 
MAT.1.4	ᐁᕋᒻ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐊᒥᓇᑖᐸ; ᐊᒥᓇᑖᑉ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᓀᐋᓴᓇ; ᓀᐋᓴᓐ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᓵᓪᒪᓇ; 
MAT.1.5	ᓵᓪᒪᓐ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐳᐊᓴ ᕃᑳᑉ ᐅᒋ; ᐳᐋᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐅᐯᑕ ᕉᑦ ᐅᒋ; ᐅᐯᑦ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒉᓯᔭ; 
MAT.1.6	ᒉᓯ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᑌᐱᑕ ᑳ ᑭᒋᐅᑭᒪᐎᓕᒋ; ᑌᐱᑦ ᑳ ᑭᒋᐅᑭᒪᐎᑦ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᓴᓚᒪᓇ ᐊᓂᐃ ᐅᒋ ᑳ ᑮ ᐎᐎᓕᒋ ᔫᕋᔭᓴ; 
MAT.1.7	ᓴᓚᒪᓐ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᕈᐳᐊᒪ; ᕈᐳᐊᒻ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐊᐹᔭᐊ; ᐊᐹᔭ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐁᓴᐊ; 
MAT.1.8	ᐁᓴ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒐᓴᐹᑕ; ᒐᓴᐹᑦ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒍᕋᒪ; ᒍᕋᒻ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐅᓵᔭᓴ; 
MAT.1.9	ᐅᓵᔭᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒍᐊᑕᒪ; ᒍᐊᑕᒻ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐁᑳᓴ; ᐁᑳᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐁᓯᑳᔭᓴ; 
MAT.1.10	ᐁᓯᑳᔭᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒪᓈᓯᓴ; ᒪᓈᓯᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᐋᒪᓇ; ᐋᒪᓐ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒍᓵᔭᓴ; 
MAT.1.11	ᒍᓵᔭᔅ ᒫᑲ ᑮ ᓂᑖᐎᑭᐁᐤ ᒉᑯᓈᔭᓴ ᓀᔥᑕ ᐎᒋᔖᓂᓕᐗ, ᓈᓐᑕᐤ ᐃᔅᐱ ᑳ ᑮ ᐃᑐᑕᐋᑲᓂᐎᒋᒃ ᐹᐱᓚᓂᒃ;
