GEN.1.1	Alguses lõi Jumal taevad ja maa.
GEN.1.2	Ja maa oli tühi ja paljas ja pimedus oli sügavuse peal ja Jumala Vaim hõljus vete kohal.
GEN.1.3	Ja Jumal ütles: „Saagu valgus!” Ja valgus sai.
GEN.1.4	Ja Jumal nägi, et valgus oli hea, ja Jumal lahutas valguse pimedusest.
GEN.1.5	Ja Jumal nimetas valguse päevaks ja pimeduse ta nimetas ööks. Siis sai õhtu ja sai hommik, — esimene päev.
GEN.1.6	Ja Jumal ütles: „Saagu laotus vete vahele ja see lahutagu veed vetest!”
GEN.1.7	Ja nõnda sündis: Jumal tegi laotuse ja lahutas veed, mis laotuse all, vetest, mis laotuse peal olid.
GEN.1.8	Ja Jumal nimetas laotuse taevaks. Siis sai õhtu ja sai hommik, — teine päev.
GEN.1.9	Ja Jumal ütles: „Veed kogunegu taeva all ühte paika, et kuiva näha oleks!” Ja nõnda sündis.
GEN.1.10	Ja Jumal nimetas kuiva pinna maaks ja veekogu Ta nimetas mereks. Ja Jumal nägi, et see hea oli.
GEN.1.11	Ja Jumal ütles: „Maast tärgaku haljas rohi, seemet kandvad taimed, viljapuud, mille viljas nende seeme on, nende liikide järgi maa peale!” Ja nõnda sündis:
GEN.1.12	maa laskis võrsuda haljast rohtu, seemet kandvaid taimi nende liikide järgi, ja viljapuid, mille viljas nende seeme on, nende liikide järgi. Ja Jumal nägi, et see hea oli.
GEN.1.13	Siis sai õhtu ja sai hommik, — kolmas päev.
GEN.1.14	Ja Jumal ütles: „Saagu valgused taevalaotusse eraldama päeva ööst! Tähistagu need seatud aegu, päevi ja aastaid,
GEN.1.15	olgu nad valgusteks taevalaotuses, valgustuseks maale!” Ja nõnda sündis:
GEN.1.16	Jumal tegi kaks suurt valgust: suurema valguse valitsema päeval ja väiksema valguse valitsema öösel, ning tähed.
GEN.1.17	Ja Jumal pani need taevalaotusse, et nad valgustaksid maad
GEN.1.18	ja valitseksid päeval ja öösel ja eraldaksid valguse pimedusest. Ja Jumal nägi, et see hea oli.
GEN.1.19	Siis sai õhtu ja sai hommik, — neljas päev.
GEN.1.20	Ja Jumal ütles: „Vesi kihagu elavaist olendeist, ja maa peal lennaku linnud taevalaotuse poole!”
GEN.1.21	Ja Jumal lõi suured mereloomad ja kõiksugu elavad olendid, kellest vesi kihab, nende liikide järgi, ja kõiksugu tiibadega linnud nende liikide järgi. Ja Jumal nägi, et see hea oli.
GEN.1.22	Ja Jumal õnnistas neid ja ütles: „Olge viljakad ja teid saagu palju, täitke mere vesi, ja lindusid saagu palju maa peale!”
GEN.1.23	Siis sai õhtu ja sai hommik, — viies päev.
GEN.1.24	Ja Jumal ütles: „Maa toogu esile elavad olendid nende liikide järgi, lojused ja roomajad ja metselajad nende liikide järgi!” Ja nõnda sündis:
GEN.1.25	Jumal tegi metselajad nende liikide järgi, ja lojused nende liikide järgi, ja kõik roomajad maa peal nende liikide järgi. Ja Jumal nägi, et see hea oli.
GEN.1.26	Ja Jumal ütles: „Tehkem inimesed Oma näo järgi, meie sarnaseks, et nad valitseksid kalade üle meres, lindude üle taeva all, loomade üle ja kogu maa üle ja kõigi roomajate üle, kes maa peal roomavad!”,
GEN.1.27	Ja Jumal lõi inimese Oma näo järgi, Jumala näo järgi lõi Ta tema, Ta lõi tema meheks ja naiseks!
GEN.1.28	Ja Jumal õnnistas neid, ja Jumal ütles neile: „Olge viljakad ja teid saagu palju, täitke maa ja alistage see enestele; ja valitsege kalade üle meres, lindude üle taeva all ja kõigi loomade üle, kes maa peal liiguvad!”
GEN.1.29	Ja Jumal ütles: „Vaata, Mina annan teile kõik seemet kandvad taimed kogu maal, ja kõik puud, mis kannavad vilja, milles nende seeme on; need olgu teile roaks.
