MAT.1.1	Yesu Krisita doho nala rɛ nyɛ. Ʋ naabaa rɛ gyɩ yaa Deviti, Deviti mɛ naabaa yaa Abɩraham.
MAT.1.2	Abɩraham nɛ gyɩ lʋl Azɩkɩ.
MAT.1.2	Azɩkɩ mɛ sii lʋl Gyeekɔbɩ.
MAT.1.2	Gyeekɔbɩ mɛ sii lʋl Gyuda abee ʋ naabiisi.
MAT.1.3	Gyuda mɛ sii lʋl Pɛrɛsɩ abee Zɛra.
MAT.1.3	(Ba nɩɩna feŋ nɛ gyɩ yaa Tama.)
MAT.1.3	Pɛrɛsɩ mɛ bɩl sii lʋl Hɛzʋrɔŋ.
MAT.1.3	Hɛzʋrɔŋ mɛ sii lʋl Rami.
MAT.1.4	Rami mɛ sii lʋl Amiinadabu.
MAT.1.4	Amiinadabu mɛ sii lʋl Naasuŋ.
MAT.1.4	Naasuŋ mɛ sii lʋl Salmɔŋ.
MAT.1.5	Salmɔŋ mɛ sii lʋl Buwasi.
MAT.1.5	(Buwasi nɩɩna feŋ nɛ gyɩ yaa Reehabɩ.)
MAT.1.5	Buwasi mɛ sii lʋl Obɛdɩ.
MAT.1.5	(Obɛdɩ nɩɩna feŋ nɛ gyɩ yaa Rufu.)
MAT.1.5	Obɛdɩ mɛ sii lʋl Gyesi.
MAT.1.6	Gyesi mɛ sii lʋl kuwori Deviti.
MAT.1.6	Deviti mɛ sii lʋl Solomɔn.
MAT.1.6	(Solomɔn nɩɩna rɛ fa yaa Yuriya haaŋ hʋ ʋ aa sʋba ka Deviti laa kpa).
MAT.1.7	Solomɔn mɛ sii lʋl Rehobʋwam.
MAT.1.7	Rehobʋwam mɛ sii lʋl Abigya.
MAT.1.7	Abigya mɛ sii lʋl Asa.
MAT.1.8	Asa mɛ sii lʋl Gyihosafati.
MAT.1.8	Gyihosafati mɛ sii lʋl Gyɔram.
MAT.1.8	Gyɔram mɛ sii lʋl Yuzaya.
MAT.1.9	Yuzaya mɛ sii lʋl Gyotam.
MAT.1.9	Gyotam mɛ sii lʋl Ahazɩ.
MAT.1.9	Ahazɩ mɛ sii lʋl Hezikaya.
MAT.1.10	Hezikaya mɛ sii lʋl Manaasi.
MAT.1.10	Manaasi mɛ sii lʋl Amɔn.
MAT.1.10	Amɔn mɛ sii lʋl Gyosaya.
MAT.1.11	Gyosaya mɛ sii lʋl Gyekonaya abee ʋ naabiisi.
MAT.1.11	Saŋa no tɩyaŋ nɛ ba kasɩ Iziral tɩmma mʋ Baabilɔŋ paalʋʋ.
MAT.1.12	Ba gyɩ aa kasɩ Iziral tɩmma mʋ Baabilɔŋ paalʋʋ hal tɩyaŋ nɛ,
MAT.1.12	Gyekonaya lʋl Siyatiil, Siyatiil mɛ sii lʋl Zerubabɛl.
MAT.1.13	Zerubabɛl mɛ sii lʋl Abiyudi.
MAT.1.13	Abiyudi mɛ sii lʋl Ɛliyakim.
MAT.1.13	Ɛliyakim mɛ sii lʋl Azɔ.
MAT.1.14	Azɔ mɛ sii lʋl Zadɔkɩ.
MAT.1.14	Zadɔkɩ mɛ sii lʋl Akimu.
MAT.1.14	Akimu mɛ sii lʋl Ɛliyudu.
MAT.1.15	Ɛliyudu mɛ sii lʋl Ɛliyeza.
MAT.1.15	Ɛliyeza mɛ sii lʋl Maataŋ.
MAT.1.15	Maataŋ mɛ bɩl sii lʋl Gyeekɔbɩ.
MAT.1.16	Gyeekɔbɩ mɛ rɛ yaŋ sii lʋl Gyosɛfʋ.
MAT.1.16	Gyosɛfʋ mɛ sii kpa Mɛɛrɩ, nal hʋ aa lʋl Yesu,
MAT.1.16	ba kɩ yɩrɩ Krisita, laataal hʋ Wɩɩsɩ aa lɩya.
MAT.1.17	A piili Abɩraham a mʋ pele kuwori Deviti, Yesu Krisita naaba-doho fa yaa fi abee banaa rɛ. A yaŋ bɩl piili bee kuwori Deviti a mʋ kɩ pele saŋa hʋ ba aa kasɩ Iziral tɩmma mʋ Baabilɔŋ paalʋʋ hʋ, Yesu naaba-doho gyɩ yaa fi abee banaa rɛ. A bɩl lɩɩ haŋ saŋa hʋ mɛ a mʋ pele saŋa hʋ ba aa lʋl Krisita, laataal hʋ Wɩɩsɩ aa lɩya, ʋ naaba-doho gyɩ yaa fi abee banaa rɛ.
MAT.1.18	Nyɛ rɛ Yesu Krisita lʋlɩɩ naasɩ tɩŋa: Ʋ naa Mɛɛrɩ abee Gyosɛfʋ gyɩ wee nyʋwa rɛ anɩɩ ba sɩ yal dɔmɔŋ. Amɛ ba ha gyɩ bɩ yal dɔmɔŋ, aŋka Wɩɩsɩ Wiyesi Welii hʋ dee leŋ Mɛɛrɩ kaŋ luwol. 
MAT.1.19	Gyosɛfʋ gyɩ yaa tɩpʋlʋŋ tɩɩna rɛ. Ɛɛ wɩya ʋ gyɩ bee kyɛ dɩ ʋ we Mɛɛrɩ hɩɩsɩ gyamaa tɩyaŋ, aŋ gyɩ kɩ kyɛ dɩ ʋ lʋwɔlɩ vɩya ʋ. 
MAT.1.20	Ʋ gyɩ aa bɩɩnɩ gɛɛ tɩyaŋ nɛ, malɩka ko ʋ lee duwoso tɩyaŋ a basɩ tɩya ʋ a baa, “Gyosɛfʋ, Kuwori Deviti doho nal, ta leŋ dɩ kambɩŋ kana ɩ, ɩ aa sɩ kpa Mɛɛrɩ a yaa ɩ haaŋ, beewɩya Wɩɩsɩ Wiyesi Welii hʋ dee rɛ tɩŋ ʋ kaŋ biye no luwol. 
MAT.1.21	Ʋ sɩ lʋl boyoŋbiye, dɩ ɩ we ʋ feŋ Yesu. Feŋ hʋ memii rɛ yaa Laataal, beewɩya ʋ rɛ sɩ laa ʋ nala ta ba wɩbɔmɔ tɩyaŋ.” 
MAT.1.22	Wɩya no buloŋ gyɩ yaa rɛ dɩ wɩya hʋ á Tɩɩna Wɩɩsɩ gyɩ aa tɩŋ ʋ tɩŋdaal kɩdɩgɩ tɩyaŋ basɩ ko su ba bʋʋsɩ. Ʋ gyɩ tɩŋ ʋ tɩŋdaal no tɩyaŋ nɛ a baa,
MAT.1.23	“Hatoluu kɩdɩgɩ ha aa bɩ gyɩŋ baal sɩ kaŋ luwol a lʋl boyoŋbiye dɩ ba kana ʋ kɩ yɩrɩ Imanuwɛl.” (Feŋ hʋ memii rɛ yaa “Wɩɩsɩ we á lee.”)
MAT.1.24	Gyosɛfʋ aa sii doo sɩya tɩyaŋ, ʋ gyɩ yaa gɛɛ hʋ malɩka hʋ aa basɩ tɩya ʋ rɛ, a gyɩ kpa Mɛɛrɩ mʋ ʋ dɩya a yaa ʋ haaŋ. 
MAT.1.25	Amɛ ʋ beel-ʋ ha gyɩ bɩ gyɩŋ dɔmɔŋ anɩɩ baal bee haaŋ aŋka Mɛɛrɩ lʋl boyoŋbiye. Nyɛ rɛ Gyosɛfʋ we biye hʋ feŋ Yesu.
MAT.2.1+MAT.2.2	Bɛtɩlɛhɛm tɩyaŋ nɛ ba gyɩ lʋl Yesu. Bɛtɩlɛhɛm gyɩ yaa tɔbiye rɛ, a we Gyudɩya paalʋʋ tɩyaŋ. Haŋ saŋa hʋ Kuwori Hɛrɔtɩ rɛ gyɩ yaa doŋ paalʋʋ kuworibal. Ba gyɩ aa lʋl Yesu, ʋ bɩ pɩɩsa ka wɩgyʋnna badɔmɔŋ aa gʋnnɩ kyɩŋwʋlɩya wɩkanɩya sii lɩɩ tɩɩmemii dɩɩlaŋ, a ko Gyerusalɛm, a ko pɩyɛsɩ, a baa, “Lee tɩyaŋ nɛ ba lʋl biye hʋ aa sɩ yaa Gyuuma kuwori hʋ? Á na kyɩŋwʋlɩɩ rɛ tɩɩmemii tɩyaŋ, ʋ daga anɩɩ ba lʋla ʋ rɛ á ko dɩ á kyʋwalɩ ʋ a kpa ʋ gyɩrɩma tɩya ʋ.” 
MAT.2.3	Kuwori Hɛrɔtɩ gyɩ aa nɩɩ wɩɩ no, kambɩŋ gyɩ kaŋ ʋ bee Gyerusalɛm tɩmma buloŋ nɛ kɩŋkaŋ. 
MAT.2.4	Ɛɛ rɛ ʋ gyɩ yɩrɩ Gyuuma wɩɩkyʋwal sɩlaala nɩhɩyasɩ abee Wɩɩsɩ Teŋ dɩdagɩla hʋ a ko laŋŋɩ, a pɩyɛsɩ ba a baa, “Lee tɩyaŋ nɛ ba sɩ lʋl Krisita hʋ, laataal hʋ Wɩɩsɩ aa lɩya?” 
MAT.2.5	Ɛɛ rɛ ba basɩ tɩya ʋ a baa, “Ba sɩ lʋla ʋ Bɛtɩlɛhɛm aa we Gyudɩya paalʋʋ tɩyaŋ. Ɛɛ rɛ Wɩɩsɩ tɩŋdaal hʋ gyɩ sabɩ. Ʋ gyɩ baa dɩ
MAT.2.6	Wɩɩsɩ baa,
MAT.2.6	“Bɛtɩlɛhɛm yaa tɔbiye rɛ Gyudɩya paalʋʋ tɩyaŋ.
MAT.2.6	Amɛ Gyudɩya paalʋʋ buloŋ tɩyaŋ, Bɛtɩlɛhɛm nala rɛ yaa nɩbala,
MAT.2.6	beewɩya ba tɩyaŋ nɛ Iziral kuwori sɩ lɩɩ,
MAT.2.6	nal hʋ aa sɩ kɩ deŋ ŋ nala, Iziral tɩmma.”
MAT.2.7	Doŋ nɛ Kuwori Hɛrɔtɩ lʋwɔlɩ yɩrɩ wɩgyʋnna hʋ aa lɩɩ tɩɩmemii ko, a kaŋ ba mʋ faŋa a pɩyɛsɩ ba dɩ ba daga ʋ saŋa hʋ tɩɩ kyɩŋwʋlɩɩ hʋ aa lɩya. Ba daga tɩya ʋ. 
MAT.2.8	Ɛɛ rɛ Kuwori Hɛrɔtɩ ta ba dɩ ba mʋ Bɛtɩlɛhɛm, aŋ basɩ tɩya ba a baa, “Ma mʋ kyɛ biye hʋ abee sɩfɩyasɩ. Ma yaŋ ko na ʋ pɛ, ma leŋ dɩ ŋ mɛ kaŋ duwoso, dɩ ŋ mɛ mʋ kyʋwalɩ ʋ a kpa ʋ gyɩrɩma tɩya ʋ.” 
MAT.2.9	Ba aa nɩɩ gɛɛ, ba lɩɩ kpa ŋmanɩɩ a kɩ mʋ, kyɩŋwʋlɩɩ hʋ ba fa aa naa tɩɩmemii bɩl laa ba sɩya gɛɛɛ, a mʋ sɩŋ kyugili lee hʋ biye aa we. 
MAT.2.10	Ba aa naa kyɩŋwʋlɩɩ hʋ gɛɛ, ba tenni buloŋ fɩyɛlɩ, ba kɩ gyʋwɔsɩ. 
MAT.2.11	Ba aa mʋʋ pele lee hʋ biye hʋ aa we, ba mʋ gyʋʋ dɩya hʋ a na biye hʋ abee ʋ naa Mɛɛrɩ. Ɛɛ rɛ ba tuu gbinni biye hʋ sɩya tɩyaŋ a kyʋwalɩ ʋ a kpa ʋ gyɩrɩma tɩya ʋ, aŋ puri ba kyʋgɩsɩ a lɩɩ salma abee wɩsɩnaaŋ abee kɩŋ kɩdɩgɩ sʋwala aa sʋma ba kɩ yɩrɩ mɛɛ, a tɩya ʋ. 
MAT.2.12	Ɛɛ rɛ Wɩɩsɩ basɩ tɩya ba, ba duwoso tɩyaŋ abee sɩfɩyasɩ anɩɩ ba ta ko mɩɩgɩ mʋ Kuwori Hɛrɔtɩ lee. Nyɛ rɛ ba sii a tɩŋ ŋmaŋdɩma a mɩɩgɩ mʋ ba paalʋʋ.
MAT.2.13	Wɩgyʋnna hʋ bee mʋyɩ hal tɩyaŋ nɛ Gyosɛfʋ duwosi na malɩka dɩ ʋ ko ʋ lee a basɩ tɩya ʋ a baa, “Sii kpa biye hʋ abee ʋ naa a fá mʋ Igyipiti. Ma we doŋ a kaŋ kɩ mʋ saŋa hʋ ŋ bɩl aa sɩ tɩya ma ŋmanɩɩ dɩ ma lɩɩ doŋ, beewɩya Kuwori Hɛrɔtɩ aa kyɛ dɩ ʋ kpʋ biye hʋ rɛ.” 
MAT.2.14	Ɛɛ rɛ Gyosɛfʋ gyɩ sii kpa biye hʋ bee ʋ naa buloŋ a mʋ Igyipiti paalʋʋ tebine. Doŋ tɩyaŋ nɛ ba gyɩ we a mʋ pele saŋa hʋ Kuwori Hɛrɔtɩ gyɩ aa ko sʋba. 
MAT.2.15	Wɩɩ no gyɩ yaa rɛ dɩ wɩɩ hʋ Wɩɩsɩ gyɩ aa tɩŋ ʋ tɩŋdaal tɩyaŋ basɩ ko yaa wɩtɩɩ. Wɩɩsɩ gyɩ baa,
MAT.2.15	“Ŋ biye gyɩ we Igyipiti paalʋʋ tɩyaŋ nɛ ŋ lɩɩ ʋ.”
MAT.2.16	Kuwori Hɛrɔtɩ gyɩ aa ko gyɩma anɩɩ wɩgyʋnna hʋ mʋrɩ ʋ rɛ, ʋ na baaŋ kɩŋkaŋ. Wɩgyʋnna hʋ gyɩ aa daga ʋ saŋa hʋ ba aa lʋl Yesu wɩya, ʋ sii ta ʋ laalyuwolo dɩ ba mʋ Bɛtɩlɛhɛm abee tɔbiisi hʋ buloŋ aa kpaga doŋ, a kpʋ boyoŋbiisi hʋ buloŋ ha aa yaa bɩsɩ balɩya a kaŋ kɩ tuu. 
MAT.2.17	Wɩɩ no leŋ wɩɩ hʋ Wɩɩsɩ gyɩ aa tɩŋ ʋ tɩŋdaal Gyɛrimaya tɩyaŋ basɩ ko yaa wɩtɩɩ rɛ.
MAT.2.18	Wɩɩ hʋ Gyɛrimaya gyɩ aa basa rɛ nyɛ:
MAT.2.18	“Nal lɛ aa wii Rama tɩyaŋ,
MAT.2.18	a wii kɩ gʋwagɩ
MAT.2.18	Rekyil lɛ aa wii ʋ balɩya aa sʋba wɩya,
MAT.2.18	a pɔ dɩ ʋ bee tallɩ.”
MAT.2.19+MAT.2.20+MAT.2.21	Kuwori Hɛrɔtɩ sʋʋ hal tɩyaŋ, Gyosɛfʋ bɩl duwosi a na malɩka dɩ ʋ ko ʋ lee Igyipiti paalʋʋ tɩyaŋ a basɩ tɩya ʋ a baa, “Sii kpa biye hʋ abee ʋ naa a mɩɩgɩ mʋ Iziral paalʋʋ. Nala hʋ fa aa kyɛ dɩ ba kpʋ biye hʋ sʋba rɛ.” Ɛɛ rɛ ʋ sii kaŋ biye hʋ abee ʋ naa a mʋ we Iziral paalʋʋ tɩyaŋ. 
