MAT.1.1	Nde nguinu scua nii ta nten 'in Jesucristo, sñe' ta nten 'in Davi, cui' sñe' ta nten 'in Abraham. 
MAT.1.2	Abraham ncua sti Isaac, Isaac ncua sti Jacob, Jacob ncua sti Judá lo'o nchgaa la ña'an ta'a ngula yu. 
MAT.1.3	Yu Judá can' ncua sti Fares lo'o Zara, lo' jyi'an chcuaa yu can' ncua naan Tamar, lo' Fares ncua sti Esrom, Esrom ncua sti Aram. 
MAT.1.4	Aram can' ncua sti Aminadab, Aminadab ncua sti Naasón, Naasón ncua sti Salmón. 
MAT.1.5	Yu Salmón ncua sti Booz, lo' jyi'an can' ncua naan Rahab, Booz ncua sti Obed, lo' jyi'an can' ncua naan Rut, Obed ncua sti Isaí. 
MAT.1.6	Isaí ncua sti yu nu ncua ree Davi, ree Davi can' ncua sti Salomón, lo' jyi'an can' ncua cuilyi'o yu Uría. 
MAT.1.7	Salomón ncua sti Roboam, Roboam ncua sti Abía, Abía ncua sti Asa. 
MAT.1.8	Yu Asa ncua sti Josafat, Josafat can' ncua sti Joram, Joram ncua sti Uzía. 
MAT.1.9	Uzía ncua sti Jotam, Jotam s ncua sti Acaz, Acaz ncua sti Ezequía. 
MAT.1.10	Ezequía ncua sti Manasés, Manasés can' ncua sti Amón, Amón ncua sti Josía. 
MAT.1.11	Yu Josía ncua sti Jeconía lo'o ta'a ngula yu, cui' Babilonia ncua cune' yu xa yaa ne' Israel preso. 
MAT.1.12	Chon' nde'en xa nguila ne' yaa ne' Babilonia ncua cune' Salatiel, cui' sñe' Jeconía, yu Salatiel ncua sti Zorobabel, 
MAT.1.13	Zorobabel ncua sti Abiud, Abiud ncua sti Eliaquim, Eliaquim ncua sti Azor. 
MAT.1.14	Yu Azor ncua sti Sadoc, Sadoc ncua sti Aquim, Aquim ncua sti Eliud. 
MAT.1.15	Yu Eliud ncua sti Eleazar, Eleazar ncua sti Matán, Matán ncua sti Jacob. 
MAT.1.16	Jacob ncua sti yu See, cui' nu ncua cuilyi'o María nu ncua jyi'an Jesús, ñi nu lca Cristo. 
MAT.1.17	Cuaña'an yato'o yton tsa tilcua ta nten, ti' chendyu nu mdi'in yu Abraham hasta chendyu nu mdi'in yu Davi, ticui' cuaña'an yton cha tilcua ta nten, ti' chendyu 'in Davi tsaya' nguila ne' Israel yaa ne' preso se'en lca Babilonia, ticui' cuaña'an yton cha tilcua ta nten, ti' xa nguila ne' yaa ne' Babilonia tsaya' mdiyaan Cristo chendyu.
MAT.1.18	Ndeña'an yato'o xa ngula Jesucristo: Ncua cuiya' cha' si'yana yu See ntsu'hui cha' ca cuilyi'o 'in María, jyi'an Jesús, una ti' lyijyi chcuan yu cunta 'in María, xa cua' mxilyo ña'an si'ya cha' cuiya' 'in Espíritu nu Luhui 'in Ndiose. 
MAT.1.19	Una yu See can' tsu'hue nten lca yu, a ncua ti' yu xicune yu cha' can', lo' ncua lca tiquee yu si'yana cunan ti si'yu co' yu cha' can'. 
MAT.1.20	Cui' cha' can' ntsu'hui tiquee yu, xa ngulo'o tloo sca angujle 'in Ñi X'nan na 'in yu ni' cula, lo' juin 'in yu: See, sñe' ta nten 'in Davi, a cutsen chcuan cunta 'in María nu ca cuilyi'o, si'yana cuhui' nu ndon lo'o cua, si'ya cha' cuiya' 'in Espíritu nu Luhui 'in Ndiose ca lca cuhui'. 
MAT.1.21	Cuhui' nu tyi'in cua ca naan cuhui' Jesús, si'yana culo laa ñi quichen 'in ñi si'ya qui'ya nducui ne'. 
MAT.1.22	Nchgaa cha' re yato'o na, si'yana chcua cha' nu mxiycui' Ñi X'nan na 'in yu Isaía xa juin yu: 
MAT.1.23	—Ña'an jan ñii, ntsu'hui cha' xilyo ña'an sca ne' cuna'an tsa suhue ti lo' tyi'in sñe' ne', lo' ca naan can' Emanuel—. Cha' re nchca ti' chcui', Ndiose ndi'in lo'o na. 
MAT.1.24	Xa mjyin xaa ti' yu See can', mducua yu tñan tsaña'an ycui' angujle 'in Ñi X'nan na lo'o yu, lo' mchcuan yu cunta 'in María. 
