MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
MAT.1.2	ibrAhImaH putra ishAk tasya putro yAkUb tasya putro yihUdAstasya bhrAtarashcha|
MAT.1.3	tasmAd yihUdAtastAmaro garbhe perasserahau jaj nAte, tasya perasaH putro hiShroN tasya putro .arAm|
MAT.1.4	tasya putro .ammInAdab tasya putro nahashon tasya putraH salmon|
MAT.1.5	tasmAd rAhabo garbhe boyam jaj ne, tasmAd rUto garbhe obed jaj ne, tasya putro yishayaH|
MAT.1.6	tasya putro dAyUd rAjaH tasmAd mR^itoriyasya jAyAyAM sulemAn jaj ne|
MAT.1.7	tasya putro rihabiyAm, tasya putro.abiyaH, tasya putra AsA:|
MAT.1.8	tasya suto yihoshAphaT tasya suto yihorAma tasya suta uShiyaH|
MAT.1.9	tasya suto yotham tasya suta Aham tasya suto hiShkiyaH|
MAT.1.10	tasya suto minashiH, tasya suta Amon tasya suto yoshiyaH|
MAT.1.11	bAbilnagare pravasanAt pUrvvaM sa yoshiyo yikhaniyaM tasya bhrAtR^iMshcha janayAmAsa|
MAT.1.12	tato bAbili pravasanakAle yikhaniyaH shaltIyelaM janayAmAsa, tasya sutaH sirubbAvil|
MAT.1.13	tasya suto .abohud tasya suta ilIyAkIm tasya suto.asor|
MAT.1.14	asoraH sutaH sAdok tasya suta AkhIm tasya suta ilIhUd|
MAT.1.15	tasya suta iliyAsar tasya suto mattan|
MAT.1.16	tasya suto yAkUb tasya suto yUShaph tasya jAyA mariyam; tasya garbhe yIshurajani, tameva khrIShTam (arthAd abhiShiktaM) vadanti|
MAT.1.17	ittham ibrAhImo dAyUdaM yAvat sAkalyena chaturdashapuruShAH; A dAyUdaH kAlAd bAbili pravasanakAlaM yAvat chaturdashapuruShA bhavanti| bAbili pravAsanakAlAt khrIShTasya kAlaM yAvat chaturdashapuruShA bhavanti|
MAT.1.18	yIshukhrIShTasya janma kaththate| mariyam nAmikA kanyA yUShaphe vAgdattAsIt, tadA tayoH sa NgamAt prAk sA kanyA  pavitreNAtmanA garbhavatI babhUva|
MAT.1.19	tatra tasyAH pati ryUShaph saujanyAt tasyAH kala NgaM prakAshayitum anichChan gopanene tAM pArityaktuM manashchakre|
