MAT.1.1	ibraahiima.h santaano daayuud tasya santaano yii"sukhrii.s.tastasya puurvvapuru.sava.m"sa"sre.nii|
MAT.1.2	ibraahiima.h putra ishaak tasya putro yaakuub tasya putro yihuudaastasya bhraatara"sca|
MAT.1.3	tasmaad yihuudaatastaamaro garbhe perasserahau jaj naate, tasya perasa.h putro hi.sro.n tasya putro .araam|
MAT.1.4	tasya putro .ammiinaadab tasya putro naha"son tasya putra.h salmon|
MAT.1.5	tasmaad raahabo garbhe boyam jaj ne, tasmaad ruuto garbhe obed jaj ne, tasya putro yi"saya.h|
MAT.1.6	tasya putro daayuud raaja.h tasmaad m.rtoriyasya jaayaayaa.m sulemaan jaj ne|
MAT.1.7	tasya putro rihabiyaam, tasya putro.abiya.h, tasya putra aasaa:|
MAT.1.8	tasya suto yiho"saapha.t tasya suto yihoraama tasya suta u.siya.h|
MAT.1.9	tasya suto yotham tasya suta aaham tasya suto hi.skiya.h|
MAT.1.10	tasya suto mina"si.h, tasya suta aamon tasya suto yo"siya.h|
MAT.1.11	baabilnagare pravasanaat puurvva.m sa yo"siyo yikhaniya.m tasya bhraat.r.m"sca janayaamaasa|
MAT.1.12	tato baabili pravasanakaale yikhaniya.h "saltiiyela.m janayaamaasa, tasya suta.h sirubbaavil|
MAT.1.13	tasya suto .abohud tasya suta iliiyaakiim tasya suto.asor|
MAT.1.14	asora.h suta.h saadok tasya suta aakhiim tasya suta iliihuud|
MAT.1.15	tasya suta iliyaasar tasya suto mattan|
MAT.1.16	tasya suto yaakuub tasya suto yuu.saph tasya jaayaa mariyam; tasya garbhe yii"surajani, tameva khrii.s.tam (arthaad abhi.sikta.m) vadanti|
MAT.1.17	ittham ibraahiimo daayuuda.m yaavat saakalyena caturda"sapuru.saa.h; aa daayuuda.h kaalaad baabili pravasanakaala.m yaavat caturda"sapuru.saa bhavanti| baabili pravaasanakaalaat khrii.s.tasya kaala.m yaavat caturda"sapuru.saa bhavanti|
MAT.1.18	yii"sukhrii.s.tasya janma kaththate| mariyam naamikaa kanyaa yuu.saphe vaagdattaasiit, tadaa tayo.h sa"ngamaat praak saa kanyaa  pavitre.naatmanaa garbhavatii babhuuva|
