GEN.1.1	Are nakuexinxion beꞌe kain, Ndo Dio binchechjian ngajni ko nunthe. 
GEN.1.2	Ko nunthe beꞌa nunthe inchin jii nunthe ko xruꞌin bechunda, ko thi naxin xeꞌe beꞌe bakejanthe nguii thi xraa ndachaon anto niꞌnga, ko Espiritue Ndo Dio bakingi ngatauꞌen jinda.
GEN.1.3	Ko ndachro Ndo Dio: «Rinaꞌo singasaan.»
GEN.1.3	Ko thi dingasaan kununxinbeꞌo. 
GEN.1.4	Ko Ndo Dio bikon ixin thi dingasaan jaan, jian. Kuthimejan bantsjendeꞌe choo thi dingasaan ko thi naxin xeꞌe. 
GEN.1.5	Ndo Dio binchegiꞌin thi dingasaan, «nchaꞌon», ko thi naxin xeꞌe binchegiꞌin, «thi̱e». Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon saꞌo.
GEN.1.6	Kuthimejan ndachro Ndo Dio: «Ncho, deꞌe naa thi tsunchjeeya ko rukeꞌe jinda.»
GEN.1.6	Ko jañaa nchao ruchjeeya jinda. 
GEN.1.7	Ko kunchjianbeꞌo thi kunchjeeya ko keꞌe jinda. Ko jañaa chjeeya nda, nda bithuꞌe ngataꞌa thi keꞌe nda, ko nda bithuꞌe chringindeꞌe thi keꞌe nda, ko jañaa kuꞌen. 
GEN.1.8	Thi kunchjeeya ko keꞌe jinda, Ndo Dio binchegiꞌin «ngajni». Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon yuxin.
GEN.1.9	Kai ndachro Ndo Dio: «Kain jinda jii chringi ngajni nakua ncho xratse nda. Ko ncho tununxin nche xema.»
GEN.1.9	Ko jañaa kuꞌen. 
GEN.1.10	Ko thi xema Ndo Dio binchegiꞌin «nunthe», ko jinda xratse binchegiꞌin Ndo «ndachaon».
GEN.1.10	Ko Ndo Dio bikon Ndo ixin jaan, jian. 
GEN.1.11	Kuthimejan ndachro Ndo: «Ncho duan ka yua ngataꞌa nunthe, kain ka dajon tsee, ko kain nthaa dajon thuchjuin kunixin tsee.»
GEN.1.11	Ko jañaa kuꞌen. 
GEN.1.12	Nunthe bajon kain ka yua, kain ka dajon tsee, ko kain nthaa dajon thuchjuin kunixin tsee. Ko Ndo Dio bikon ixin jaan, jian. 
GEN.1.13	Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon ninxin.
GEN.1.14	Ko ndachro Ndo Dio: «Ncho tununxin tsjé xruꞌi nthiꞌa ngajni ixin santsjenda thi̱e ko thi dingasaan; ko kai yaa tsjaago are ruxethja nchaꞌon, are thii thi xema, thi yua, chrin ko kin ngaa nano. 
GEN.1.15	Ko xruꞌi te nthiꞌa ngajni sinchengasaan ngataꞌa nunthe.»
GEN.1.15	Ko jañaa kuꞌen. 
GEN.1.16	Ndo Dio binchechjian yoo xruꞌi jié nchengasaan, ko xruꞌi icha jié sinchengasaan ngain nchaꞌon, ko inaa xruꞌi sinchengasaan ngain thi̱e. Ko kai binchechjian Ndo kunutse. 
GEN.1.17	Ko Ndo Dio bakeꞌe Ndo xruꞌi teꞌi nthiꞌa ngajni ixin sinchengasaan ngataꞌa nunthe 
GEN.1.18	ngain nchaꞌon ko ngain thi̱e, ko bantsjendeꞌe choo thi dingasaan ko thi naxin xeꞌe. Ko Ndo Dio bikon ixin jaan, jian. 
GEN.1.19	Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon nunxin.
GEN.1.20	Ko ndachro Ndo Dio: «Ngain ndachaon, ncho tununxin kain thi jichon ngain nda, kai ngain nunthe, ncho tununxin ku tjaganga nguii ngajni.»
