MAT.1.1	Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa.
MAT.1.2	Abraahaame, Yisaaqa yeleedda; Yisaaqi, Yayiqooba yeleedda; Yayiqoobi, Yihudaanne A ishatuwaa yeleedda. 
MAT.1.3	Yihuday Ti7imaarippe Paareesanne Zaraahaa yeleedda; Paareese, Hexiroona yeleedda; Hexiroone, Raama yeleedda. 
MAT.1.4	Raame Aminadaaba yeleedda; Aminadaabe, Na7asoona yeleedda; Na7asoone, Selimoona yeleedda. 
MAT.1.5	Selimoone, Ra7aabo geetettiyaa mishirattippe Boo7eeza yeleedda; Boo7eezi, Uruuto 
MAT.1.6	Issey Kaatiyaa Daawita yeleedda.
MAT.1.6	Kaatiyaa Daawite, Ooriyaa machchattippe Solomona yeleedda. 
MAT.1.7	Solomone, Robi7aama yeleedda; Robi7aame, Aabiyaa yeleedda; Aabiyay, Aasaafa yeleedda. 
MAT.1.8	Aasaafe, Yoosaafeexa yeleedda; Yoosaafeexe, Iyyooraama yeleedda; Iyyooraame, Ooziyaana yeleedda. 
MAT.1.9	Ooziyaane, Iyyoo7aataama yeleedda; Iyyoo7aataame, Akaaza yeleedda; Akaaze, Hizqqiyaasa yeleedda. 
MAT.1.10	Hizqqiyaase Minaasa yeleedda; Minaase, Amooxa yeleedda; Amooxe, Iyyoosiyaasa yeleedda. 
MAT.1.11	Isra7eeliya asay omodettiide, Baabiloone gadiya beedda wode, Iyyoosiyaase Ikkoniyaananne 
MAT.1.12	Baabiloone omodduwaappe guyyiyan, Ikkoniyaananne Salaatiyaala yeleedda; Salaatiyaale, Zerubaabeela yeleedda. 
MAT.1.13	Zerubaabeeli, Abiyuuda yeleedda; Abiyuude, Eeliyaaqeema yeleedda; Eeliyaaqeemi, Azoora yeleedda. 
MAT.1.14	Azoore Saadooqa yeleedda; Saadooqe, Akiima yeleedda; Akiime Eliyuuda yeleedda. 
MAT.1.15	Eliyuude, Ali7aazara yeleedda; Ali7aazare, Maataana yeleedda; Maataane, Yayiqooba yeleedda. 
MAT.1.16	Yayiqoobe, Kiristtoosa geetettiyaa Yesuusa yeleedda Mayraamo oochcheedda Yooseefa yeleedda.
MAT.1.17	Simmi yeletay ubbay Abraahaamoppe Daawita gakkanaw tammanne oyddu yeleta; Daawiteppe doommiide, asay Baabiloone gadiya omodettiide beedda wodiyaa gakkanaw tammanne oyddu yeleta; asay Baabiloone gadiya omodettiide beedda wodiyaappe Kiristtoosi 
MAT.1.18	Yesuusi Kiristtoosa yeletay hawaa mala; A daaya Mayraama Yooseefoo ooshetta qashetta uttaaddu. He wode Yooseefonna gakettennaan de7aadde, Geeshsha Ayyaanan shahaaraaddu. 
MAT.1.19	Izo giigissi wotheedda Yooseefo xillo asa 
MAT.1.20	Shin I hewaa qoppishshin, Godaa kiitanchchay akumuwan 
MAT.1.21	Iza attuma na7aa yelanawunnu; neenikka, I asaa nagaraappe ashshiyaa diraw A sunthaa Yesuusa gaade xeesanaassa>> yaageedda. 
MAT.1.22+MAT.1.23	Qassi Goday nabiyaa bagganna, <<Wodoratta shahaaranawunnu; na7aakka yelanawunnu; A sunthaykka Ammaneela geetettanawaa>> yaageeddawe polettana mala, hawe ubbay haaneedda; <<Ammaneela>> yaagiyaawe, <<Xoossay nuunanna de7ee>> yaagiyaawaa. 
