MAT.1.1	Isua Krista akhuk Ama hi David a sapa, Abraham a sapa. 
MAT.1.2	Abraham a sapa Isak, Isak a sapa Jakob, Jakob a sapa Juda le a parual ngai. 
MAT.1.3	Juda a sapa Peres le Zera Tamor a vona; Peres a sapa Hezron, Hezron a sapa Ram. 
MAT.1.4	Ram a sapa Aminadab, Aminadab a sapa Nashon, Nashon a sapa Salmon. 
MAT.1.5	Salmon a sapa Boaz Rahabi a vona, Boaz a sapa Obed Ruth a vona. Obed a sapa Jesai. 
MAT.1.6	Jisai a sapa David, Reng David a sapa Solomon arong, Uria nungak vona; 
MAT.1.7	Solomon a sapa Rehobom Rehobom a sapa Abija, Abija a sapa Asa. 
MAT.1.8	Asa a sapa Jehosaphet, Jehosaphet a sapa Joram, Joram a sapa Ujia. 
MAT.1.9	Ujia a sapa Jotham, Jotham a sapa Ahaj, Ahaj a sapa Hejekia. 
MAT.1.10	Hejekia a sapa Manase, Manase a sapa Ammon, Ammon a sapa Josia, 
MAT.1.11	Josia a sapa Jekonia le a parual ngai.Babulon rama selkeia a om u laia nai. 
MAT.1.12	Babulon selkei ata a honga kir sua u le Jekonia a sapa Shealtiel, Shealtiel a sapa Zerubabel. 
MAT.1.13	Zerubabel a sapa Abihu, Abihu a sapa Eliakim, Eliakim a sapa Azor. 
MAT.1.14	Azor a sapa Zadok, Zadok a sapa Akhim. Akhim a sapa Elihud. 
MAT.1.15	Elihud a sapa Eliazar, Eliazar a sapa Matthan, Matthan a sapa Jakob. 
MAT.1.16	Jakob a sapa Joseph, ama hi Mari ruathar Mari vona Isua anzir Krista ha.
MAT.1.17	Hantin han Abraham ata David tena khuk somleimanli David ata Babulon rama selkeia anruai tena khuk somleimanli hatuka Babulon selkei ata Krista tena khuk somleimanli.
MAT.1.18	Hintin hin Isua Krista ei anzir, a nu Mari Joseph le anom rang chongtin anei le anlop u man Ratha Anthiang ata anrai ei ni ti ariata. 
MAT.1.19	A ruathar Joseph ei anzik sika ama ha mi ngai kom maimoka ei sin zot nok sika maruka amak rang ansin. 
MAT.1.20	Aman hava ngai a mandon lai tak enro Puma vanpalai khat ama a ramanga a hong rila, “Joseph David anai, na nungak Mari a lak ranga achi no ro a vona anpiang so Ratha Anthiang ata keng hatuka naipasal mazir inti. 
MAT.1.21	Nangin ama raming ISUA phuan na ti asik chu aman a mi ngai a pap u ata mazok inti.” 
MAT.1.22	Hiva ngai hi Deari ngaiin ei ril Puma chong ei kipna rang. 
MAT.1.23	“Enro, ha nungak anthiang anraiin Naipasal mazir inti hatuka a raming Immanuel anphua inti” na malet ten hava omzia “Koini bila Pathian.” 
MAT.1.24	Hatuka Joseph ei in ata insang alaka Puma vanpalaiin ei ril anga atho. 
MAT.1.25	A nungak ha a laka naipasal a mazir man kar pei chu Josephin zal pui mak hatuka aman naipasal raming ha ISUA a phua. 
MAT.2.1	Herod reng huna Judai ram Bethlehema Isua anzir suale han sak ram ata mi hian ngai 
MAT.2.2	Jerusalema a honga, “Juda ngai reng ha hovanmo ei anzir? ati u asik chu sak rama ama arasi na lei muna anmok rang nei hong.” 
MAT.2.3	Hava chong ariata Herod reng anlaia ama bila Jerusalem doram anlai u. 
MAT.2.4	Hatuka aman chaizung ngai, Lekhanziak ngai ha a manchuna hangai ha a rakela, “Krista hovanmo ei anzir rang?” atia.
MAT.2.5	“Judai ram Bethlehema” ati pe u. “Asik chu deari lekhana hintin hin anziak:
MAT.2.6	‘Nang o Judai rama Betlehem nang hi Judai
MAT.2.6	ram khopui aruai ngai bila sin khit mak che
MAT.2.6	asik chu nang ata ha ulian ha anlang inti
MAT.2.6	aman ka mi Israel manliang inti,’ ”
MAT.2.6	ati na. 
MAT.2.7	Hanke, Herod ha mi hian ngai ha maruka akuia ha arasi ha hova huna mo ei anlang akom u na ei riat sadim. 
MAT.2.8	Hatuka aman hangai ha, “Bethlehema se u tan asadima ha naite ha varok u ro na mu uten na hong manthei u ro kei va mok theina rang.” 
MAT.2.9	Reng he ariat u na ase u hatuka sak rama arasi ei mu u ha a maton tir u na ase, nukhona naite ei om na chung taka ava ngir. 
MAT.2.10	Arasi ha amu u na raisan sabaka a rai ei mansan u. 
MAT.2.11	Hatuka in sunga ase u na naite ha a nu Mari bila amu u hanke anboklaka amok u na anei kok akheka rangkachak bero le marim hui ei pek u. 
