MAT.1.1	Yeisu Keliso ana laoma bwaite besiele, Yeisu Keliso iya Deibida tubuna, Deibida iya Abelamo tubuna. 
MAT.1.2	Abelamo natuna Aisake, Aisake natuna iya Yakobo, Yakobo natunao Yuda yo kanakavao, 
MAT.1.3	Yuda natunao Pelesi yo Sela, (sinali esana Tama), Pelesi natuna Esiloni, Esiloni natuna Lama, 
MAT.1.4	Lama natuna Aminadaba, Aminadaba natuna Nason, Nason natuna Salimoni, 
MAT.1.5	Salimoni natuna Bowasa, (Bowasa sinana iya Leyabi), Bowasa natuna Obedi, (Obedi sinana iya Ludi), Obedi natuna Diyesi, 
MAT.1.6	Diyesi natuna Kin Deibida. Deibida natuna Solomoni. (Solomoni sinana esana Batisiba iya beyabeyana Ulaiya wainena)
MAT.1.7	Solomoni natuna Liyabom, Liyabom natuna Abaidiya, Abaidiya natuna Asa, 
MAT.1.8	Asa natuna Yeosipati, Yeosipati natuna Yolama, Yolama natuna Usaiya, 
MAT.1.9	Usaiya natuna Yotami, Yotami natuna Easi, Easi natuna Esekaiya, 
MAT.1.10	Esekaiya natuna Manase, Manase natuna Eimon, Eimon natuna Yosaiya, 
MAT.1.11	Yosaiya natunao Yekonaiya yo kanakavao, saugana Babiloni silaoma sikaleya Yudiya kolili kabo sikalaili silawagili Babiloni koina.
MAT.1.12	Saugana Yudiya siyaele Babiloni kabo bwaine koina Yekonaiya ikabi natuna Salatieli, Salatieli natuna Selubabela, 
MAT.1.13	Selubabela natuna Abiuda, Abiuda natuna Elaiyakim, Elaiyakim natuna Esoli, 
MAT.1.14	Esoli natuna Seidoki, Seidoki natuna Ekimi, Ekimi natuna Eliuda, 
MAT.1.15	Eliuda natuna Eliesa, Eliesa natuna Matan, Matan natuna Yakobo, 
MAT.1.16	yo Yakobo natuna Yosepa, Meli wainena. Meli ikabi Yeisu, iya esana siyogayan Mesaiya.
MAT.1.17	Na kabo Abelamo koina yo ilaoma Deibida koina yaso kali baibaiwa potin (14), tabe Deibida koina ilaoma saugana Yudiya silawagili Babiloni yaso kali baibaiwa potin (14), yo sauganane koina kanasiga Mesaiya Yeisu iyawatagili yaso kali baibaiwa tabe potin (14).
MAT.1.18	Yeisu Keliso sinana Meli. Mwa bwaite besiele Yeisu ana kabi ana laoma. Meli ikawakawaluluwan Yosepa sabi kasolananna. Na muli mena kabo sikasole, ilotonan iya isiumako Yaluyaluwa Tabuna ana kaiwe mena. 
MAT.1.19	Meli wainena Yosepa iya tomo namwanamwana. Nige nuwanuwana Meli imwalimwaline tomo manli mena, mwa inuwatui yakato tem ali kawakawalulune isokegabaen wadam mena. 
MAT.1.20	Yosepa iyaelemo bwaite kaiwena inuwanuwatu na Guyau ana anelose ilaoma koina kenona mena. Anelosene iba, “Yosepa, Deibida ana susu, tabu kumamatausi na Meli ukwalai wainem. Melumelune ilaomaya Yaluyaluwa Tabuna koina. 
MAT.1.21	Kani ikabi natuna tau yo esana kupei Yeisu, kaiwena kani ana tomoyao ileboili ali pwanoli kolili.” 
MAT.1.22	Meuloina bwaite iyawatagili na imayale tawae kana katai baguna Yaubada ana palopita iwalowen, 
MAT.1.23	‘Tonuwanuwabola kani isiuma. Yo natuna ikabi tauna, yo esana sipei Imanuwela.’ Imanuwela kana bui ‘Yaubada mekalakava’. 
MAT.1.24	Saugana Yosepa itolo iginauli besiele Yaubada ana anelose ana walo koina. Yosepa Meli ikasolanan, 
MAT.1.25	na iyamo nige Meli kwapina ikakabitonani kanasiga Meli ikabi melumelune. Yo Yosepa esana ipei Yeisu.
MAT.2.1	Kabo Yeisu sikabiya Bedeliema koina, Yudiya dedeina mena, Elodi ana sauga kin koina. Saugana Yeisu sikabi tosonoga tupwali silaomaya tete bomatu mena silaoma Yelusalema. 
MAT.2.2	Yo sineli, “Toweya koina melumelune sikabiya yakato iya Yudiya ali kin? Kagitai ana utu tete bomatu mena mwa kalaoma sabi pwalou koina.” 
MAT.2.3	Saugana Kin Elodi walone ibenalan yakato Yudiya ali kin waluwaluna kaiwena ikatewakaka. Yo tomo meuloili Yelusalema koina tabe besiele sikatewakaka. 
MAT.2.4	Kabo Elodi miyagogo iyogayan meuloili siya topwaoli lalakili yo loina kana toyakayakataiwo na ineliyagili toweya koina Mesaiya sikabiya. 
MAT.2.5	Yo siwaloba, “Bedeliema koina Yudiya dedeina mena, bwaite kaiwena palopita ilele Buki Tabu mena, 
