GEN.1.1	En avong mulamu, 
GEN.1.2	En avong enek, out netan vi heite hon, tounah tovuol ien. Atas vil koe out vasi, ka out vi mankoli. Ka ninin onen Ahi mul nesa en atas. 
GEN.1.3	En avong enek, Ahi viteni vit, “!Maen meneai vakistal!” 
GEN.1.4	Ahi lesi keke meneai tahos, ka mumoni muka ran mankoli. 
GEN.1.5	Meneai enek, kei ling isen vi ‘Meneai;’ ka mankoli, ling isen vi ‘Vongien.’ Vongien va, meneai mai, koanek vi avong tai.
GEN.1.7	Ka kistal suval koa viteni. En sakien koanek, Ahi mumon mesaiuai tai ka lingi luhu en atas koa mul netan ka oai koa mul nesa en mahmah keil. 
GEN.1.8	Ka mesaiuai enek, ling isen vi ‘Teilang.’ Vongien va, meneai mai, koanek vi avong elu (2).
GEN.1.9	Evus, Ahi viteni vit, “Maen atas koa mul netan vamai en out vatas, ka atan hemai hekikistal rani.” Ka kistal suval koa viteni. 
GEN.1.10	Atan, kei ling isen vi ‘Atan,’ ka atas koa mai out tas, ling isen vi ‘Atas.’ Ka Ahi lesi keke lutahos. 
GEN.1.11	Evus, kei viteni vit, “Maen out netan valing tounah keil vamoul ien: koakeil iling utite, koakeil iling aneite, ka koakeil ison heite koa utite mul ien.” Ka kistal suval koa viteni. 
GEN.1.12	Sakini, out netan vitehiteh en tounah houlu tateisav. Ka Ahi lesi keke atahos. 
GEN.1.13	Vongien va, meneai mai, koanek vi avong etel (3).
GEN.1.14	Evus, Ahi viteni vit, “Maen tounah keil koa aritin ikistal en teilang avoumon meneai hersuvaltei vongien. Itie lat avong keil ka sua keil, ka itie lati mun avong mal ten tounah keil ikistal ien. 
GEN.1.15	Keil ititin en teilang ka isan meneai ka maim hemita en out netan.” Ka kistal suval koa viteni. 
GEN.1.16	Sakini, Ahi mumon marmari laet elu: meteiai koa keih van en meneai, ka avati koa merau vatitin en vongien. Ka kei mumon hitu keil emun koa vilahil. 
GEN.1.17	Kei ling keil en teilang avatitin va mita en out netan, 
GEN.1.18	tai koa mukan en meneai, ka tai en vongien keke avong keilu enek luheteisav. Ahi lesi keke lutahos. 
GEN.1.19	Vongien va, meneai mai, koanek vi avong ehat (4).
GEN.1.20	Evus, Ahi viteni vit, “Maen tounah keil koa amoul ihilelau en atas. Ka maen aman keil ihilelau en teilang.” 
GEN.1.21	Sakini, Ahi mumon mari mesau keil ten atas ka tounah sav emun keil koa amoul amul ien. Kei mumon aman tateisav emun keil koa amuka. Ahi lesi keke atahos. 
GEN.1.22	Kei san tokolkatien onen min keil, viteni min koakeil amul en atas vit, “Mihehas hehi houlu ka hesakin atas hehilelau en kami.” Ka min aman keil viteni vit, “Kami mun, mihehas hehi houlu ka hesakin out netan hehilelau en kami.” 
GEN.1.23	Ka vongien va, meneai mai, koanek vi avong elim (5).
GEN.1.24	Evus, Ahi viteni vit, “Maen tounah vasi koa moul keil ikikistal en out netan: koakeil amah, ka koakeil ten eivorohus; koakeil amarite, ka koakeil avi havipi.” Ka mai kistal suval koa viteni. 
GEN.1.25	Sakini, Ahi mumon keil vasi, ka lesi keke atahos.
GEN.1.26	Evus, Ahi viteni vit, “Ekek, tovoumon meatin koa hesuval iatel.
GEN.1.27	Sakini, Ahi mumon meatin, mumoni suval kei enges. Tai mumoni vi meahos, ka tamun mumoni vi ahin.
GEN.1.28	Ka kei san tokolkatien onen min keilu ka viteni vit, “Milhekur titamil keil ihi houlu ka milhesakin keil ihilelau en out netan. Ka niling tounah keil koa moul en out netan hel en hemil: mesau keil ten atas, aman keil koa amuka en teilang, ka tounah sav emun koa amul en out netan. 
GEN.1.29	?Millesi? En out netan, namumon tounah tateisav avitehiteh: koakeil aling utite, koakeil aling aneite, ka koakeil ason heite. Keil vasi taanien. 
GEN.1.30	Ka min tounah sav keil koa amoul en out netan, nasan oumunai ka ouai keil iani. Nasani min tirendan keil ten out netan ka aman keil amuka en teilang: koakeil amarite ka koakeil avi havipi.” Ka kistal suval koa viteni. 
GEN.1.31	Ahi les tounah vasi koa kei mumoni keke atahos imok. Vongien va, meneai mai, koanek vi avong ahetai (6).
GEN.2.1	En sakien enek, Ahi mum vasi out nesa, out netan, ka tounah vasi keil koa amul ien en avong ahetai (6). 
GEN.2.2	Ka en avong koa oulu (7), kei museh en umen onen.
GEN.2.3	Sakini, kei ling koe avong oulu (7) vi votut. Veni en avong enek, asa koa mumoni en out netan evus ka kei museh en umen onen.
GEN.2.4	Koanik vi tunien usil asa kur out en avong Iahova mumon out nesa ka out netan. En avong koa Iahova mumoni, 
