GEN.1.2	E a terra era sem forma e vazia; e 
GEN.1.3	E disse Deus: Haja luz. E houve luz. 
GEN.1.4	E viu Deus que era boa a luz; e fez Deus separação entre a luz e as trevas. 
GEN.1.5	E Deus chamou à luz Dia; e às trevas chamou Noite. E foi a tarde e a manhã o dia primeiro. 
GEN.1.6	E disse Deus: Haja uma expansão no meio das águas, e haja separação entre águas e águas. 
GEN.1.7	E fez Deus a expansão, e fez separação entre as águas que 
GEN.1.8	E chamou Deus à expansão Céus, e foi a tarde e a manhã o dia segundo. 
GEN.1.9	E disse Deus: Ajuntem-se as águas debaixo dos céus num lugar; e apareça a 
GEN.1.10	E chamou Deus à 
GEN.1.11	E disse Deus: Produza a terra erva verde, erva que dê semente, árvore frutífera que dê fruto segundo a sua espécie, cuja semente esteja nela sobre a terra. E assim foi. 
GEN.1.12	E a terra produziu erva, erva dando semente conforme a sua espécie, e a árvore frutífera, cuja semente 
GEN.1.13	E foi a tarde e a manhã o dia terceiro. 
GEN.1.14	E disse Deus: Haja luminares na expansão dos céus, para haver separação entre o dia e a noite; e sejam eles para sinais e para tempos determinados e para dias e anos. 
GEN.1.15	E sejam para luminares na expansão dos céus, para alumiar a terra. E assim foi. 
GEN.1.16	E fez Deus os dois grandes luminares: o luminar maior para governar o dia e o luminar menor para governar a noite; e fez as estrelas. 
GEN.1.17	E Deus os pôs na expansão dos céus, para alumiar a terra; 
GEN.1.18	E para governar o dia e a noite, e para fazer separação entre a luz e as trevas. E viu Deus que era bom. 
GEN.1.19	E foi a tarde e a manhã o dia quarto. 
GEN.1.20	E disse Deus: Produzam as águas abundantemente répteis de alma vivente; e voem as aves sobre a face da expansão dos céus. 
GEN.1.21	E Deus criou as grandes baleias e todo o réptil de alma vivente que as águas abundantemente produziram, conforme as suas espécies; e toda a ave de asas, conforme a sua espécie. E viu Deus que era bom. 
GEN.1.22	E Deus os abençoou, dizendo: Frutificai e multiplicai-vos, e enchei as águas nos mares; e as aves se multipliquem na terra. 
GEN.1.23	E foi a tarde e a manhã o dia quinto.
GEN.1.24	E disse Deus: Produza a terra alma vivente, conforme a sua espécie; gado e répteis, e bestas-feras da terra, conforme a sua espécie. E assim foi. 
GEN.1.25	E fez Deus as bestas-feras da terra, conforme a sua espécie, e o gado, conforme a sua espécie, e todo o réptil da terra, conforme a sua espécie. E viu Deus que era bom. 
GEN.1.26	E disse Deus: Façamos o homem à nossa imagem, conforme à nossa semelhança; e domine sobre os peixes do mar, e sobre as aves dos céus, e sobre o gado, e sobre toda a terra, e sobre todo o réptil que se move sobre a terra. 
GEN.1.27	E criou Deus o homem à sua imagem: à imagem de Deus o criou; macho e fêmea os criou. 
GEN.1.28	E Deus os abençoou, e Deus lhes disse: Frutificai e multiplicai-vos, e enchei a terra, e sujeitai-a; e dominai sobre os peixes do mar, e sobre as aves dos céus, e sobre todo o animal que se move sobre a terra. 
GEN.1.29	E disse Deus: Eis que vos tenho dado toda a erva que dá semente, que 
GEN.1.30	E a todo o animal da terra, e a toda a ave dos céus, e a todo o réptil da terra, em que há alma vivente, toda a erva verde 
GEN.1.31	E viu Deus tudo quanto tinha feito, e eis que era muito bom: e foi a tarde e a manhã o dia sexto.
GEN.2.1	ASSIM os céus, e a terra, e todo o seu exército foram acabados. 
GEN.2.2	E havendo Deus acabado, no dia sétimo, a sua obra que tinha feito, descansou no sétimo dia de toda a sua obra, que tinha feito. 
GEN.2.3	E abençoou Deus o dia sétimo, e o santificou; porque nele descansou de toda a sua obra, que Deus criara e fizera.
GEN.2.4	Estas são as origens dos céus e da terra, quando foram criados: no dia em que o Senhor Deus fez a terra e os céus, 
GEN.2.5	E toda a planta do campo que ainda não estava na terra, e toda a erva do campo que ainda não brotava; porque 
GEN.2.6	Um vapor, porém, subia da terra e regava toda a face da terra. 
GEN.2.7	E formou o Senhor Deus o homem do pó da terra, e soprou em seus narizes o fôlego da vida: e o homem foi feito alma vivente. 
GEN.2.8	E plantou o Senhor Deus um jardim no Éden, da banda do oriente: e pôs ali o homem que tinha formado. 
GEN.2.9	E o Senhor Deus fez brotar da terra toda a árvore agradável à vista, e boa para comida: e a árvore da vida, no meio do jardim, e a árvore da ciência do bem e do mal. 
GEN.2.10	E saía um rio do Éden para regar o jardim; e dali se dividia e se tornava em quatro braços. 
GEN.2.11	O nome do primeiro 
GEN.2.12	E o ouro dessa terra 
GEN.2.13	E o nome do segundo rio 
GEN.2.14	E o nome do terceiro rio 
GEN.2.15	E tomou o Senhor Deus o homem, e o pôs no jardim do Éden, para o lavrar e o guardar. 
GEN.2.16	E ordenou o Senhor Deus ao homem, dizendo: De toda a árvore do jardim comerás livremente, 
GEN.2.17	Mas da árvore da ciência do bem e do mal, dela não comerás; porque, no dia em que dela comeres, certamente morrerás.
GEN.2.19	Havendo, pois, o Senhor Deus formado da terra todo o animal do campo, e toda a ave dos céus, 
GEN.2.20	E Adão pôs os nomes a todo o gado, e às aves dos céus, e a todo o animal do campo; mas para o homem não se achava adjutora 
GEN.2.21	Então o Senhor Deus fez cair um sono pesado sobre Adão, e 
GEN.2.22	E da costela, que o Senhor Deus tomou do homem, formou uma mulher: e trouxe-a a Adão. 
GEN.2.23	E disse Adão: Esta é agora osso dos meus ossos, e carne da minha carne: esta será chamada varoa, porquanto do varão foi tomada. 
GEN.2.24	Portanto, deixará o varão o seu pai e a sua mãe, e apegar-se-á à sua mulher, e serão ambos uma carne. 
GEN.2.25	E ambos estavam nus, o homem e a sua mulher; e não se envergonhavam.
GEN.3.2	E disse a mulher à serpente: Do fruto das árvores do jardim comeremos, 
GEN.3.3	Mas do fruto da árvore que está no meio do jardim, disse Deus: Não comereis dele, nem nele tocareis, para que não morrais. 
GEN.3.4	Então a serpente disse à mulher: Certamente, não morrereis. 
GEN.3.5	Porque Deus sabe que, no dia em que dele comerdes, se abrirão os vossos olhos, e sereis como Deus, sabendo o bem e o mal. 
GEN.3.6	E vendo a mulher que aquela árvore 
GEN.3.7	Então foram abertos os olhos de ambos, e conheceram que 
