GEN.1.1	Kitu inanggayát na, ay pinarsuwa ne Dios ya lángit se iya kalawagán. 
GEN.1.2	Ay tu kalawagán kitun, ay áwan na nga singasingan, se áwan na nga maya-mayán. Nagìbat tala tu pane ngúdu natu pabeg danum nga magsag-saggiyár. Ay ya Ispiritu ne Dios, ay magalìlekus kitu paningúdu natu danum. 
GEN.1.3	Ay nán ne Dios, “Magwada ka mán,” nán na. Ay tútu atán ya wada ngin. 
GEN.1.4	Ay napiya tutu wala ya wada ki nagsisíngan ne Dios! Ay se na pagsanutan ya wada se iya gìbat. 
GEN.1.5	Ay nengagánan na ya wada ka Algaw, ay nengagánan na pe ya gìbat ka Gabi. Ay se yala nga naggídám, ay se yala nga pagmakát. Ay ittu tun tu nunna nga algaw.
GEN.1.6	Ay se yala nán manin ne Dios, “Atán din ya pagbàtán naya angap ki ngúdu se iya danum kiya taggad,” nán na. 
GEN.1.7	Ay nàwa nga kurug. Ay díkod, nàwa ne Dios ya ngúdu nga ittu ya nagbàtán naya angap se ya danum ked taggad di. 
GEN.1.8	Ay nengágan ne Dios ya ngúdu ka lángit. Ay tútu naggídám se yala nga pagmakát manin. Ittu tun tu mekàduwa ngalgaw.
GEN.1.9	Ay se yala nán ne Dios manin, “Maalmung nga mapabeg din kampela ngin nin ya danum, ta senu lumtuwád kuma ya giyán na áwan danum,” nán na. Ay nàwa nga kurug. 
GEN.1.10	Ay nengágan ne Dios ya giyán na áwan danum ka Lusà. Ay tu naalmung nga danum ma napabeg ay nengágan na ka Bebay. Ay napiya tutu wala idi ki nagsisíngan ne Dios. 
GEN.1.11	Ay se yala nga nán ne Dios, “Patubuwam mán na lusà daya ngámin baláki nga kad-kaddat se daya mul-múla nga magbukal se daya kay-káyu wa magbúnga se magbukal pe,” nán na. Ay nàwa nga kurug. 
GEN.1.12	Tummúbu ki lusà daya ngámin bal-baláki daya mul-múla. Atán ngámin baláki daya magbukal la mul-múla se daya kay-káyu wa magbúnga ka nagbukal. Ay napiya tutu wala idi ki nagsisíngan ne Dios. 
GEN.1.13	Ay se yala manin naggídám ay se yala manin pe ya pagmakát. Ay ittu tun tu mekàlu wa algaw.
GEN.1.14	Ay nán manin ne Dios, “Lumtuwád din ngámin daya makidde ka wada ka lángit, ta senu atán pangilasínán kiya algaw se kiya gabi. Ay senu atán pe ya pangemaddán kadaya nagbal-baláki nga mà-màwa se kadaya al-algaw se daya dagudagun. 
GEN.1.15	Ay ittu pe dayán daya nawada ka lángit nga mangwada kiya kalawagán,” nán ne Dios. Ay ittu kurug tu nàwa. 
GEN.1.16	Napaltuwád ne Dios ya duwa nga dadakkal la makawada. Tu ab-abay ay ittu ya mangwada ki algaw, ay tu isa, ay ittu ya mangwada ki gabi. Ay atán pe daya bittuwan. 
GEN.1.17	Nippáy ne Dios dedi ka lángit, senu wadaán da ya kalawagán. 
GEN.1.18	Ay senu mangwada da ki algaw se ki gabi, ay aggída pe ya mamagsibna kiya gìbat se iya wada. Ay napiya tutu wala idi ki nagsisíngan ne Dios. 
GEN.1.19	Ay se yala naggídám manin se yala pagmakát manin. Ittu idi ya mekappát ta algaw.
GEN.1.20	Ay se yala manin nán ne Dios, “Lumtuwád din kiya danum daya nagpapangan na sibbibiyág, ay lumtuwád din pe daya ngámin bal-baláki nga an-an-anù nga magkay-káyab ka ngúdu.” 
GEN.1.21	Ay díkod napaltuwád ne Dios daya dadakkal la alolag ki bebay, se daya adu wa nagbal-baláki nga sissida, se daya adu nga magbiyág ki danum, ay se daya nagbal-baláki nga an-an-anù. Ay napiya tutu wala dedi ki nagsisíngan ne Dios. 
GEN.1.22	Ay se yala nga binindisiyonán ne Dios da nga nán na, “Gumánab kayu ta senu umadu kayu tutu wala nga magyán ki bebay. Ay dakayu wa an-anù, gumánab kayu pe kídi kalawagán,” nán ne Dios. 
GEN.1.23	Ay se yala naggídám se yala manin pagmakát. Ittu tun tu mekalimma nga algaw.
GEN.1.24	Ay se yala nga nán ne Dios manin, “Paltuwádam mán na lusà ngámin daya bal-baláki nga alolag. Mangiltuwád ka kadaya maáyam ma ummán kadaya báka se daya duddúma. Iltuwád mu pe daya ngámin bal-baláki nga alsádu wa alolag, se daya ul-ulullag ga kumar-káray!” nán ne Dios. Ay ittu mà tu nàwa. 
GEN.1.25	Napaltuwád ne Dios ngámin na baláki daya alsádu wa ul-ulolag se daya ngámin baláki áyam, ummán kadaya báka se daya duddúma, ay oray pe daya ngámin bal-baláki daya magkar-káray ki lusà. Ay napiya tutu wala dedi ki nagsisíngan ne Dios.
GEN.1.26	Ay se yala nán ne Dios manin, “Kuwaan tada ya tolay ka ummán kadàtada. Aggída ya pangiturayan tada kadaya ngámin sissida, se kadaya ngámin an-anù, ay se kadaya ngámin na ul-ulolag, alsádu se ámu. Aggída ya mangituráy kadaya ngámingámin na kumar-káray ked útun lusà,” nán ne Dios. 
GEN.1.27	Ay díkod kinuwa ne Dios ya tolay ka ummán kaggína. Nagpáda da se iya tolay. Kinuwa nada ka laláki se babay. 
GEN.1.28	Ay se yala nga binindisiyonán ne Dios da nga nán na kaggída, “Gumánab kayu, ta senu umadu kayu tutu wala. Gumánab kayu kiya ngámin na kalawagán, ay se iturayán nu pe. Iturayán nu daya sissida se daya an-anù se daya ngámin na sibbibiyág ga atán kid útun lusà,” nán ne Dios. 
GEN.1.29	Ay nán ne Dios manin, “Ye sinnan nu! Iddè kadakayu daya ngámin na mul-múla nga magbukal la tumúbu kiya lusà. Ay oray pe daya kay-káyu wa magbúnga se magbukal, ay idde kuda kadakayu pe. Tu dayán daya mabalin nu wa kanan ka pagbiyág nu. 
GEN.1.30	Ay daya kad-kaddat se daya kay-káyu, ay tu dayán daya mabalin kanan daya ngámin na ul-ulolag se daya an-anù se daya ngámin na sibbibiyág nga kumar-káray kid útun lusà,” nán ne Dios. Ay ittu mà kurug ya nàwa. 
GEN.1.31	Ay kurug mà a napiya tutu wala ngámin daya kinuwa ne Dios ki nagsisíngan na. Ay naggídám manin ay se yala manin pagmakát. Ittu idi ya mekannam ma algaw.
GEN.2.1	Ay díkod, nabalin nin ya namarsuwa ne Dios kiya lángit se ya kalawagán se daya ngámin na atán kadayán. 
GEN.2.2	Ay kitu unag annam ngalgaw, ay nabalin ngámin ne Dios daya ubra na, ay se la nagimáng kitu mekapittu nga algaw. 
GEN.2.3	Díkod binindisiyonán ne Dios ya mekapittu wa algaw, se na ipadúma kadaya ngámin na algaw, ay se pinagbalin na pe ka napatag ga algaw. Ata ittu tu naggimáng na kadatu ngámin na ubra na nga nagparsuwa. 
GEN.2.4	Ay tu dayán lugud daya kinuw-kuwa ne Dios kaggína nga nagparsuwa kadaya lángit se iya kalawagán.
GEN.2.4	Kitu dam-dámu ne APU Dios nga namarsuwa kiya lángit se kídi kalawagán, 
GEN.2.5	ay áwan pikam ma mul-múla kadaya tanatanáp, se áwan pikam pe tumúbu wa kad-kaddat, áta akkan pikam ma pinagudán ne APU Dios, ay se áwan pikam pe ya magtálun. 
GEN.2.6	Ngamay atán nala ya danum ma maggayát ka taggad nga gumbuwà,
GEN.2.7	Ay lusà tu kinuwa ne Apu Dios ka tolay, ay se na ngala nga inangtán tu igung na ka ángat ta mamagbiyág, ay díkod nagángat pe yin tu tolay nga sibbiyág pe yin. 
GEN.2.8	Ay uwad kamulán na kinuwa ne APU Dios ka giyán na nepangágan na ka Eden. Atán kitu pane lattakán. Ay kattoni tu nangippayán na kitu tolay ya kinuwa na. 
GEN.2.9	Ay pinatúbu ne APU Dios ki lusà ngámin datu kay-káyu wa napiya sisinnán, ay se namit pe nga búnga. Ay kitu túlad natu kamulán, ay uwad tu káyu wa nu mangán ta kitu búnga na, ay akkan ta mataatay yin. Ay uwad pe kitúni tu káyu wa nu mangán ta kitu búnga na, ay mammuwán ta ya napiya se ya nadakè.
GEN.2.10	Ay kattoni Eden, ay atán wángag nga magpagayát kattoni. Ay nepaasà idi kitu kamulán, ta ittu tu mangbasa kitu kamulán. Ay kitu panillod natu kamulán, ay nasiparà a napagkappát tin tu wángag. 
GEN.2.11	Tu nunna nga pasáni, ay nagngágan ka Pison. Ittu tu manalen kitu lebut natu giyán na nagngágan ka Havila. Uwad balitù kitúni. 
GEN.2.12	Ay datu balitù kitúni nga giyán, ay pabeg ga napiya. Ay atán da pe datu napatag ga batu wa nagngágan ka bedeliyo se itu batu wa nagngágan ka oniko. 
GEN.2.13	Ay tu mekàduwa nga pasáni natu wángag, ay nepangágan da ka Gihon. Ittu idi ya manalen kitu lebut natu giyán na nagngágan ka Cus. 
GEN.2.14	Ay ya ngágan natu mekàlu, ay Tigris. Manalen ka pane lattakán ka Asiria. Ay tu mekappát ta pasáni natu wángag, ay nengágan ka Eufrates.
GEN.2.15	Ay kitu kamulán ka Eden ya nangipannán ne APU Dios kitu tolay ya kinuwa na. Aggína ya nippáy ne Apu Dios nga magubra se magtagasíngan kitu kamulán. 
GEN.2.16	Ay se yala nga binílin ne APU Dios tu tolay nga nán na, “Mabalin mu ya mangalà ka búnga daya oray iinna nga káyu kídi kamulán ka kanan mu. 
GEN.2.17	Tittu ya búnga naya káyu wa pakammuwán ta kiya napiya se nadakè ya kannawan mu. Akkan ka mangán kiyán, áta nu mangán ka kiya búnga na, ay kurug ga matay ka kiya oras sa angngán mu,” nán na.
GEN.2.18	Ay se yala nán ne APU Dios ki lammat na, “Akkan napiya nu sissa ya laláki. Pangwa ku ka ummán kaggína nga mabalin makaseng kaggína,” nán na. 
GEN.2.19	Ay datu ngámin alolag se an-anù a pinarsuwaán ne Apu Dios kiya lusà, ay nippannán nada ngámin kitu giyán tu tolay, ta sinnan na nu nágan daya ipangágan na kaggída. Ay nu nágan tu nepangágan na kaggída, ay ittu tunin tu ngag-ngágan da. 
GEN.2.20	Ay tútu nginagánan natu tolay ngámin datu áyam se datu an-anù se datu alsádu wa ulolag. May tu Adan (tu yán tu ngágan natu tolay) ay áwan na nga nasingan a ummán kaggína nga makaseng kaggína. 
GEN.2.21	Ay díkod ya kinuwa ne APU Dios, ay pinatalà na tu Adan. Ay nìlà tutu wala kurug tu Adan. Ay se yala nga inalà ne Dios tu isa nga tàgáng tu Adan, ay se nala manin pinolit tu baggi na.
GEN.2.22	Ay ya kinuwa ne APU Dios kitu tàgáng nga inalà na kitu laláki, ay kinuwa na ka tolay pe nga babay. Ay se na ngala nippan kitu laláki. 
GEN.2.23	Ay tútu nán tu laláki,
GEN.2.23	“Tu idi yin gáyám. Ittu idi ya kapádà tutu wala. Ay nagpáda pe ya baggi mi nga duwa. Ay gapu ta iyà kam ma laláki ya naggayatán na, ay ipangágan ku ka babay,” nán na.
GEN.2.24	Ay gapu ta ummán kiyán ya nàwa, ay túya masápul la panáwan naya laláki ya ama se ina na, ay se la mawe mepagsissa kiya atáwa na, ta senu magbalin da nga duwa ka sissa. 
GEN.2.25	Ay tu laláki se itu atáwa na, ay soba da ngamay akkan da wayya nga mìpat.
GEN.3.1	Ay kadaya ngámin na alsádu wa ulolag ga pinarsuwa ne APU Dios, ay tu idaw ya kasiríbán na mangasaba. Ay isa nga algaw, nán na kitu babay, “Kurug ga nán ne Dios kadakayu nga akkan kayu mangán kiya búnga daya kay-káyu kiya kamulán?” nán na. 
GEN.3.2	May nán natu babay kitu idaw, “Mabalin mi kanan kanu daya búnga daya kay-káyu kiya kamulán 
GEN.3.3	ngamay akkan ya búnga naya káyu nga atán kiya túlad naya kamulán. Ay akkan mi kanu pe ya tùbítan. Ay nu mangán kami onu tùbítan mi, ay matay kami kanu,” nán natu babay. 
GEN.3.4	Ay se yala manin nán natu idaw kitu babay, “Akkan kayu mà kurug ga matay a! 
GEN.3.5	Nán ne Dios kiyán áta ammu na nga kiya angngán nu kiya búnga na, ay árig malùtán daya lam-lammat nu. Ay ammu nu win ya napiya se iya nadakè, ay ummán kayu pe yin kaggína,” nán na. 
GEN.3.6	Ay díkod kane masingan natu babay nga nakal-kalùmímit tu búnga natu káyu, ay nán na nga napiya kanan. Ay nammuwán na pe nga makapasírib, áta malásin na ya napiya se iya nadakè nu mangán kitu búnga na. Ay díkod nangalà kitu búnga na, ay se na kanan. Ay se na niddán pe tu atáwa na nga atán pe yin kitu giyán na. Ay díkod, nangán pe. 
GEN.3.7	Ay ittu pe yin tu pagkìlát da ngala nga ummán ka nalùtán tu mata da nga duwa. Ay nammuwán da pe yin na soba da gáyám. Ay díkod, nagásip da kadatu dadakkal la adon nga ittu tu pinagken da.
GEN.3.8	Ay kitu gid-gidám min, ay nagìna da nge Apu Dios sa atán kitu kamulán na magdàdàdà. Ay tútu nagsirù da ke APU Dios kadatu kay-káyu kitu kamulán. 
GEN.3.9	Ay díkod kirrawán ne Apu Dios tu laláki nga nán na kaggína, “Wà naya giyán mu?” nán na. 
GEN.3.10	Ay, “Nagsirù à kidde!” nán na. “Ta nagìna taka nga magdàdàdà kiya kamulán, ay mìpat tà magpassingan kikaw, áta soba ngà,” nán tu Adan. 
GEN.3.11	Ay tútu nán ne Apu Dios, “Inna ya magkuna kikaw nga soba ka? Nangán kayu ta, kitu búnga natu káyu wa akkan ku wa pakkán kadakayu?” nán na. 
GEN.3.12	Ay summungbát tu laláki nga nán na, “Ay tu babay ya niddem ma kabul-bulun ku ya nangidde kiyà, ay kinnán ku pe,” nán na. 
GEN.3.13	Ay se yala nán ne APU Dios kitu babay, “Taanna, tura mu wa kinuwa yán ta?” nán na. “Ay tu idaw mà! Kinasaba nà, ay nangán nà a kurug,” nán natu babay.
