MAT.1.1	Ɛnjɔ́ɔ cɛ ɔbɔ́ta ú *Yésus *Kilís, *Ɔɔ́nɔ́ u Táfit, a wáŋa ɔɔ́nɔ́ u *Abɛ́laham : 
MAT.1.2	Abɛ́laham ŋeé bíéné *Isak, Isak ŋé bíéne *Yákɔb ; Yákɔb yó bíénéke na Yúta na bááyɛ́ benyíinyí ; 
MAT.1.3	Yúta ŋé bíénéke na Falɛs na Sala (oónyí ŋaá bá Tamaal) ; Falɛs ŋé bíéne Ɛslɔm, Ɛslɔm ŋé bíéne Aalam ; 
MAT.1.4	Aalam ŋé bíéne Aminatab ; Aminatab ŋé bíéne Naasɔn, Naasɔn ŋé bíéne Sálamɔn ; 
MAT.1.5	Sálamɔn ŋé bíéne Bɔ́as (oónyí ŋaá bá Láháb) ; Bɔ́as ŋé bíéne Ɔbɛt (oónyí ŋaá bá Olúutu) ; Ɔbɛt ŋé bíéne Yésée ; 
MAT.1.6	Yésée ŋé bíéne Otéŋí u baacɔ *Táfit.
MAT.1.6	Táfit ŋeé bíéné Sálɔmɔn, ne wuúci ne oónyí u Úúli ; 
MAT.1.7	*Sálɔmɔn ŋé bíéne Olobuam ; Olobuam yó bíéne Abiya ; Abiya ŋé ke bíéne Asaf
MAT.1.8	Asaf yó bíéne Yɔsáfat ; Yɔsáfat yó ko bíéne Yɔ́lam, Yɔ́lam ŋé bíéne Osías. 
MAT.1.9	Osías ŋé ke bíéne Yɔhatam ; Yɔhatam ŋé bíéne Aháas, Aháas ŋé ke bíéne Esékias ; 
MAT.1.10	Esékias yó bíéne Manásɛ ; Manásɛ ŋé ke bíéne Amɔ́n ; Amɔ́n ŋé bíéne Sosias ; 
MAT.1.11	Sosias yó bíénéke ne Sékóniyas na bááyɛ́ benyíinyí ekúlú yí mutiŋene mɔ *Bábilon.
MAT.1.12	E elime ci mutiŋene mɔ Bábilon,
MAT.1.13	Sólóbabɛl ŋé bíéne Abiyut, Abiyut ŋé bíéne Eliákim, Eliákim ŋé ke bíéne Asɔɔl, 
MAT.1.14	Asɔɔl yó bíéne Satɔk, Satɔk ŋé ke bíéne Akim, Akim yó bíéne Eliyut. 
MAT.1.15	Eliyut ŋé bíéne Eliyasaal ; Eliyasaal ŋé bíéne Mátan, Mátan yó ko bíéne Yákɔb ; 
MAT.1.16	Yákɔb nyikeébíéne eényí Yɔ́sɛb, ɔnɔ́mɛ u Malíi ; Malíi áŋa iinyí ci Yésus ; bɔ́ ŋɔɔ́ lɔ́ŋɔ́ Yésus anyía *Mesíi.
MAT.1.17	Yááŋa anyía, o otúme ná Abɛ́laham ɔ ɔkɔɔ́háma ná Táfit ɔmbana ú ɛnjɔnjɔ cɛ́ baacɔ áŋa cɛ́ɔ́hátá ne ínyíse ; híáná o otúme ná Táfit ɔ ɔkɔɔ́háma ekúlú yí mutiŋene mɔ Bábilon ɔmbana ú ɛnjɔnjɔ cɛ́ baacɔ áŋa cɛ́ɔ́hátá ne ínyíse ; o otúme ekúlú yí mutiŋene mɔ Bábilon, ɔ ɔkɔɔ́háma e nyibíbíéne nyí Mesíi ɔmbana ú ɛnjɔnjɔ cɛ́ baacɔ tɔ́na áŋa cɛ́ɔ́hátá ne ínyíse.
MAT.1.18	Aana nyibíbíéne nyí Yésus *Kilís ŋaá bɛ́kɛ́láka : Malíi, iinyí ŋaá bá ɔkɔŋɛna yɛ́ Yɔ́sɛb. Mbá nyíáyɛ́ nyihiite nyifume eényí a makɛ́nda me *Efúúménénú yí Elilé ɛ́cɛ bá tɛ ŋá bɔ́ tɔ́nɔ́nɔ.
MAT.1.19	Yááyɛ́ ɔkɔŋɛna Yɔ́sɛb ŋaá bá atálɛ́mánánɔ́ yɛ́ ɔɔcɔ ; u ti ómo léne o wuúci lemisi aatɔ́, ɛ́ɛhɛ́ u ŋaá sɔ́mbɔ́tɔ́na ɔnyɛána bɛkɔŋɛna eébí a nyɛnamba. 
MAT.1.20	Ekúlú ayɛ́ u ŋaá bá waá bɛ́tááka aáná, *elilé yɛ́ bɔsɔ́ma yí Otéŋí a Waáŋá ŋé wuúci laana a alamá yɛ́sɛ : « Yɔ́sɛb, ɔɔ́nɔ́ u Táfit, eti líkíme ɔbátɛ́na Malíi ; yááŋa anyía wáŋa ne nyifume eényí hú a makɛ́nda me Efúúménénú yí Elilé, tɛ́ cáŋa e nyilimíné na ɔnɔ́mɔcɔ́. 
MAT.1.21	U kéé bíéne ɔɔ́nɔ́ ɔnɔ́mɔcɔ́, wó wuúci lɔá nyiínyi anyía Yésus anyía wuúci u káá kɛ́la anyía *Bandɔ́mɛsɛ́ á háŋɔ́náka baacɔ bá búáyɛ́ bunɔŋɔ a maabɛ́. »
MAT.1.22	Bɛsana eébí bikime ŋaá bɛ́kɛ́láka aáná, anyía buhúnyi ebú Otéŋí a Waáŋá ŋaá kɔɔna e nyuúté nyɛ́ muayɛ́ *muhémúnyi bɛsana ó bínyioyisinyi ; búáŋa anyía : 
MAT.1.23	« Ɛ́ná, ɔbɔ́la u oónjú ewú ú tí ŋe ményi banɔ́mɔcɔ́ kéé hííte nyifume, yó bíéne ɔɔ́nɔ́ ɔnɔ́mɔcɔ́ ;
MAT.1.24	Ɛ́makɛ́la Yɔ́sɛb á háányua e hiiné, u ŋá kɛlaka háyɛ elilé yɛ́ bɔsɔ́ma yí Otéŋí a Waáŋá ŋeé wuúci laákɛna ; nyihiite uuyé oónyí eényí e úúyé ooki. 
MAT.1.25	Ta híáná, u ti ómo wuúci fiananana ɔ ɔkɔɔ́háma ekúlú eyí u ŋeé bíéné ɔɔ́nɔ́ ɔnɔ́mɔcɔ́, yó wuúci lɔa nyiínyi anyía Yésus.
MAT.2.1	Aáná Yésus ŋeé bíbíéné a Bɛ́tɛlɛhɛm
MAT.2.2	Bé ŋe bú túmé o húle báta baacɔ anyía bé beébe tóŋínyi haála ehé bé meé bíéne otéŋí u *Besuif. Yááŋa anyía bá ŋa bɔ́ lɛ́cáka hííyé hinjoti á nɔ́maka náábɔ́ a aháŋá yɛ́ nyɛháma nyɛ́ ɔɔ́cɔ́, buátɛ́ bɔkɔ bá ŋga bɔ́ hátɔ́kɔ́na o okoó wuúci lɛca, anyía bébú wuúci nyemíki. 
MAT.2.3	Ɛ́makɛ́la Otéŋí *Elóot á lɔ́kɔ́má asana eéyé, bú ŋé wuúci yébíki, na baacɔ bekime bé *Yelúsalɛm áyá. 
MAT.2.4	Aáná u ŋɔɔ́ lɔ́ŋɔ́kɔ́ ne betéŋínyi *beluli nyiínjie bekime ne *beékúnyi bikotí bá búáyɛ́ bunɔŋɔ. Bá ŋa bɔ́ fáákɔ́na, mbá ɔsɛ náábɔ́ : « Háányɛ́ bá á nyɛ́mana bé obíéne Mesíi e ? » 
MAT.2.5	Báyɛ nááyá : « Bá ŋa nyɛmána bé obíéne *Mesíi a Bɛ́tɛlɛhɛm, i iisí ci *Yuté, anyía *muhémúnyi bɛsana mɔ Bandɔ́mɛsɛ́ a mumɔtɛ́ ŋɔ yɔɔ́ŋɔ́kɔ́ ɔsɛ :
MAT.2.6	“Ɛ́ná, kuɔŋɔ́ Bɛ́tɛlɛhɛm, acɛ́bɛ́ yí Yuté, ɔ tɛ ɔ́ bá hɛbálɛ́kabálɛ́ka a bálɛ́ka cí Yuté ikime. Ɛ ŋɔ mɛ́ ɔ laana ɛsɛ́ otéŋí kéé bíbíéne nɔ́ɔ́wɔ. U káá bá mukendisi buamɛ bú Islayɛ́l
MAT.2.7	Ɛ́makɛ́la Elóot á lɔ́kɔ́máká ɔtáŋa oócí, u ŋɔ́ lɔ́ŋɛ́ta bemenyi bɛsana a hɛtɔkɛ, yó beébe bícónyi ɔsɛ : « E ekúlú ayɛ́ háányɛ́ hinjoti é bítóŋínyi náánɔ́ e ? » 
MAT.2.8	Ɛ́makɛ́la wáá lɔ́kɔ́má nyíábɔ́ nyɛbɛ́káma, u ŋé beébe tɔ́ma a Bɛ́tɛlɛhɛm, ɛ́cɛ ú ma cáŋa o beébe laana ɔsɛ : « Ánɔ cɔbá, nué bícónyíki bɔmbányɛ bɔmbányɛ asana yɛ́ ɔɔ́nɔmbɔ́ oócí. Ekúlú eyí nú ké nú wuúci bɔ́ŋɔ, énu ké mi óókísi mbá yaŋɔ́ tɔ́na, yémi súéte o okoó wuúci lɛca, anyía yémi wuúci nyemíki. »
MAT.2.9+MAT.2.10	Ɛ́makɛ́la Elóot á táŋáká aáná, bemenyi bɛsana ŋá hatɔ́na, bé ŋé súéte. Bá ŋá lɛcɔ́tɔ́na hinjoti ahɛ́ bá ŋa bɔ́ lɛ́cáka náábɔ́ a aháŋá yɛ́ nyɛháma nyɛ́ ɔɔ́cɔ́. Bá ŋa bɔ́ bá háyɛ nyitíne nyí bilúŋe o o hiíhi lɛca. Hí ŋe túme o beébe kɔ́kɔ ohónyí, ɔ ɔkɔɔ́háma ayɛ́ hɛ́ ŋaá tálɛ́mɛ́ná ɔ ɔmuaná, haála ahɛ́ ɔɔ́nɔmbɔ́ ŋaá bá. 
MAT.2.11	Bemenyi bɛsana nyiofokine eényí eé ciíbe, bá ŋá lɛca na ɔɔ́nɔmbɔ́ ne iinyí Malíi. Bé ŋé túméke eŋéndu o onyemi ɔɔ́nɔ́. E elime eécí, bé ŋe bú kúúnéke bíábɔ́ bɛmbalá, bé ŋé iínjíékíne bɛnyɛ́ma eebi : Ne kóolo, na bɔɔlɔ, ne 
MAT.2.12	E elime eécí, Bandɔ́mɛsɛ́ ŋeé beébe óókísí a alamá anyía bá tɛ hálɔ́mɔ́na né Elóot. Ɛ́ɛhɛ́ bé ŋe bú hííte ohónyí ú etémbí ɔ ɔhálɔ́mɔ́na aabɔ́ a bunɔŋɔ. 
MAT.2.13	Ɛ́makɛ́la bemenyi bɛsana ábɔ́ hɔ́la, *elilé yɛ́ bɔsɔ́ma yí Otéŋí a Waáŋá ŋé bítóŋínyi ná Yɔ́sɛb a alamá. Yí ŋé wuúci laána yɛ́sɛ : « Hatɔ́na, é tényí súéténe na ɔɔ́nɔ́ ne iinyí e *Esíbit. Ké ké limékíne hɔ́á ɔ ɔkɔɔ́háma ayɛ́ ɛ ká mɛ ɔ laana anyía á ka hálɔ́mɔ́na. Yááŋa anyía *Elóot yɔ́ cɔba ɔ ɔwaambaka ohónyí wú ɔwɔɔ́nɔ ɔɔ́nɔmbɔ́ oócí. »
MAT.2.14	Yɔ́sɛb nyɛhatɔna ɔhatɔna eényí, u ŋé súéténe na ɔɔ́nɔ́ ne iinyí nebutúé e Esíbit. 
MAT.2.15	U ŋé límékíne hɔ́á ɔ ɔkɔɔ́háma ekúlú eyí Elóot ŋeé wé, ananyía bɛsana ebí *muhémúnyi bɛsana a mɔmɔtɛ́ ŋaá cáŋa ɔ kɔɔnaka eé nyiínyi nyí Otéŋí a Waáŋá é bínyioyisikinyi ; u ŋaá kɔ́ɔ́na ɔsɛ : « Ɛ ŋaá mɛ lɔ́ŋɛ́ta uumi ɔɔ́nɔ́ anyía wá hámá a bunɔŋɔ bú Esíbit. »
MAT.2.16	Ɛ́makɛ́la *Elóot áa lɛ́cá anyía bemenyi bɛsana me bú wuúci néŋéke, u ŋá fámɔ́núá ne hilóbi. Yaátɛ́ asana u ŋaá tɔ́ma bicénji ɔ ɔkɔwɔɔ́nɔ́kɔ banásɛ́ a banɔ́mɔcɔ́ bekime, nyióndi ɔ bɔsɔ́ɔ́kɔ́ a bá ŋa bɔ́ hɔ́la tuɔŋɔ túfendí, na a Bɛ́tɛlɛhɛm na ɔ mɔnɔŋɔ ma maabána ; ɔ ɔmɛɛndɛ́ ú tuɔŋɔ etú bemenyi bɛsana ŋe bú wuúci íínjíé. 
MAT.2.17	Aáná ɔtáŋa ú *muhémúnyi bɛsana mɔ Bandɔ́mɛsɛ́, Sélémi, ŋeé bínyioyisinyi awɔ́ u ŋaá kɔɔ́na ɔsɛ :
MAT.2.18	« Bá ŋaá lɔ́kɔ́ma nyiónyi húlúkúne a bunɔŋɔ bɔ́ Alama
MAT.2.19	Ɛ́makɛ́la *Elóot é wé, *elilé yɛ́ bɔsɔ́ma yí Otéŋí a Waáŋá ŋá ka laána Yɔ́sɛb a alamá e *Esíbit 
MAT.2.20	yɛ́sɛ : « Hatɔ́nána na ɔɔ́nɔ́ ne iinyí, beébe hálámánána i iisí ci *Islayɛ́l.
MAT.2.21	Aáná Yɔ́sɛb ŋá hatɔ́na, u ŋé súéténe na ɔɔ́nɔ́ ne iinyí, u ŋé eélue a bunɔŋɔ bú Islayɛ́l. 
MAT.2.22	Mbá, ekúlú ayɛ́ u ŋaá lɔ́kɔ́ma anyía Alɛkɛlawɔs
MAT.2.23	yó ko límekine a bálɛ́ka cɛ *Násalɛt. Aáná ɔtáŋa ú *behémúnyi bɛsana bá Bandɔ́mɛsɛ́ ŋeé bínyioyisinyi ; bá ŋa bɔ́ cáŋa ɔkɔɔna a asana yí *Mesíi báyɛ : « Bé kéé wuúci lɔ́ŋɛ́ta báyɛ ɔɔ́nɔ́ u Násalɛt. »
MAT.3.1	Ekúlú eyí Yésus ŋaá bá wa yá náŋa a *Násalɛt, Sáaŋ Batis ŋaá hámá i iisí cɛ ɔsɛ́bɛ́á ci Yuté ; u húle húlikinyi baacɔ Ambányɛ yɛ́ Ɛsɔ́ma ɔsɛ : 
MAT.3.2	« Ánɔ bɛ́kákálákɛ́na máánɔ́ maabɛ́, mbá nɔ sɔ́mba ɔkɔlɔ́ eé meéme, anyía Bandɔ́mɛsɛ́ a yáaŋa hoóhi ne otéŋgínyi baacɔ ! » 
MAT.3.3	Sáaŋ áŋa waátákána ɔɔcɔ ewú *muhémúnyi bɛsana mɔ Bandɔ́mɛsɛ́, *Ɛsayí, ŋaá kɔɔ́náka yááyɛ́ asana ɔsɛ : « Ɔɔcɔ ŋo sóbi okelú ɔ ɔmuaná i iisí cɛ ɔsɛ́bɛ́á ɔsɛ : “Ánɔ tábɔ́náka ohónyí ú Otéŋí a Waáŋá ; énu nyimíkínyi cííyí ihényí.”
MAT.3.4	Sáaŋ ŋaá bá waá láŋabaka bɔlaka a bɔ́ ŋaá bá bunuákánɔ́ na bɛhɔcá bɛ́ ɛnyama acɛ́ bɔ́ ŋɔɔ́ lɔ́ŋɔ anyía 
MAT.3.5	Aáná baacɔ ne bé Yelúsalɛm, ne bé iisí ci Yuté ikime, ne biliminyi bɛ́ baacɔ bikime a bá bɔ́ŋa hoóhi ne nuúci nú Sulutɛ́ŋ ŋa bɔ́ bá bábɔ́ fáakɔna ná Sáaŋ. 
MAT.3.6	Bá ŋa bɔ́ bá bábɔ́ bɛ́kɔ́tɔ́kɔ maabɔ́ maabɛ́ ɛ ɛkatɛ́katɛ́ cɛ baacɔ ; Sáaŋ beébe ootokine e Sulutɛ́ŋ noómi.
MAT.3.7	Ayɛ́ Sáaŋ ŋaá bá wá lɛ́caka anyía na *Bafalisiɛ́ŋ na *Basatusiɛ́ŋ beéŋí ŋa bɔ́ fáaya nááyá anyía wé beébe ootókíne, u ŋé túme o beébe laana ɔsɛ : « Banɔ́, baáná bá ɛhɛ́nyɛ eebe
MAT.3.8	Mbá ánɔ caŋá kɛlaka bɛsana e bí ŋo tóŋínyi anyía nú ma nɔ́ bɛ́kákálákɛ́na maanɔ́ maabɛ́, nuɔ́ sɔ́mba tɔ́na ɔkɔlɔ́ eé meéme. 
MAT.3.9	Nuti bíkétíki anyía nua nɔ́ŋa nu ɔkɔɔna hú anyía : “Abɛ́laham áŋa ciasɔ́ sɔ́kɔ́nɔ́.” Aá taaká ɛ ŋa mɛ́ banɔ́ laana ɛsɛ́ Bandɔ́mɛsɛ́ áŋa wu oceŋisi andányɛ́ eece baáná bá *Abɛ́laham ! 
MAT.3.10	Aámbáya eeci, bá yáaŋa hoóhi ne okuusiki maatɛ́, hɛ́ a bɛkaŋá na hɛkɔtɔkɔ ; bɔɔtɛ́ bukime a bɔ́ tɛ ŋáa háá bɛmbányɛ bɛ́ bɛtámá, bé kéé buúbu kuusi, bó buúbu lulíki.
MAT.3.11	Yaŋɔ́, ɛ ŋa mɛ́ banɔ́ óótine ne menyífé, bú tóŋgínyi anyía nú ma nɔ́ bɛ́kákálákɛ́na maanɔ́ maabɛ́ ; mbá ɔɔcɔ awɔ́ á mɛ hɔla a makɛ́nda kokóokó eémi e elime. Wuúci, u káá banɔ́ ootokine ne *Efúúménénú yí Elilé ne oocó ; ɛ tɛ ŋa mɛ́ nyɛmána ooci a wáŋa wu o wuúci sɔmɔkɔ bɛkandɛ́na a akɔlɔ́. 
MAT.3.12	Wáŋa ne bufumíne ɔ ɔɔbɔ́ anyía wá yaálɔ́náka na bɛandá ne iŋeŋé. U káá bándáka iŋeŋé, yɔ́ hákɛ́na á nɔɔ́la ; mbá yó lúlíki bɛandá o oocó ewú ú ti kéé nyíme. »
MAT.3.13	Aáná Yésus ŋaá hátɔna a *Kalilé, yɔ́ kɔɔ́háma eé nuúci nú Sulutɛ́ŋ anyía Sáaŋ é wuúci ootíne. 
