EXO.20.3	Mandi shom teero tatcho Doovel. Kek komeni Doovel
EXO.20.4	Maw kair tooti kek komeni foshono kookelo, na kek pensa waver kova palla lesti ta see adré Duvelesko keri opré, adré o chik talé.
EXO.20.5	Maw pen teero lavyaw kater Iéndi, 'jaw mandi teero tatcho Doovel shom tatcho Doovel, ta kairova o chavé dooker 
EXO.20.6	ta siker komoben kater lendi so komesa (komenna) mandi ta kairesa (kairenna) meero tatcho trad.
EXO.20.7	Maw lel teero Doovel
EXO.20.8	Maw bisser te righer tatcho o Kooroko divvus. 
EXO.20.9	Shov divvusaw too bootiesa ta kair sor so see tooti te kair, talla o trin 
EXO.20.10	ta stor divvus see o tatcho doovel
EXO.20.11	Jaw 'dré shov divvusáw mi Doovel kedás mi Doovelesko keri, ta o chik, o bauro Iondo paani, ta sor so see adré lesti, ta beshtás talé o trin ta stor divvus ta kedás chichi. Jaw mi Doovel pendás kooshto o trin ta stor divvus ta kedás-les tatcho.
EXO.20.12	Kair kooshtoben kater teero dad ta teeri dei, 'jaw too jivesa bauro cheerus adre o tern so teero tatcho Doovel del
EXO.20.13	Maw too maur.
EXO.20.14	Maw sōv sar gairi
EXO.20.15	Maw too chor.
EXO.20.16	Maw sovlohol bonges 
EXO.20.17	Maw too pootch troostal vaniso kova ta nand see teero. Maw kom o moosh
PSA.23.1	O Doovel see meero bokorengro 
PSA.23.2	Yov kair
PSA.23.3	Kairela tatcho 
PSA.23.3	Yov siker
PSA.23.4	Our. 
PSA.23.5	Too kairéss 
PSA.23.6	Tatcho kooshtoben, ta tatcho komoben, wel palla mandi sor o divvus
MRK.8.1	Adré kola divvusáw, kanna sas dosta komeni odoí lel
MRK.8.2	Mandi shom toogno talla sor o 
MRK.8.3	Te wel mandi te bitcherova-len avrí kater lenghi kairáw, yon penna (perenna) talé 
MRK.8.4	Lesko nogo 
MRK.8.5	Yov pootchtás lendi. “Sar kisi chelé mauré see toot?”' Yon pen
MRK.8.6	Yov pendás lendi te besh talé o poov.
MRK.8.7	(Ta) yon lián dooï trin bitta matchi. Yov del
MRK.8.8	Jaw yon hodé ta lenghi penáw sor lendi pordé sas. Yon lel
LUK.6.27	Mandi pooker kater too, “Kom asár teero wafedo 
LUK.6.28	Kom too dola 
LUK.6.29	Kanna yon del toot pré yek rig 
LUK.6.30	Del kater sorkon moosh ta pootchela vaniso kova tooti. Dova komeni lela teero koli pootch lesti kek komi. 
LUK.6.31	Kair too kater waver moosháw, jaw too komessa lendi te kel tooti.”
LUK.7.11	Ta wel
LUK.7.12	Talla yov viás kater o stigher o bauro shorokono gav, yov diktás a moolo moosh and
LUK.7.13	Kanna mi Doovel diktás yoï, yov kom
LUK.7.14	Yov viás. Chivdás Iesko vast opré o kova so yon righer
LUK.7.15	Yov, ta sas moolo, atchtás Iesko kokero opré. Talla atchtás opré, rokadás. Meero Doovel talla del
LUK.14.16	Yek raati gairo kedás bauro holomus, ta poochdás boot doosta 
LUK.14.17	Ta yov bitchadás Iesko bootsiengro, 
LUK.14.18	Ta yon sor, 
LUK.14.19	Ta yek waver pendás, “Mandi kindóm pansh 
LUK.14.20	Ta yek waver pendás, “Mandi romedóm kedivvus kater joovel, mandi nastissa te wel.” 
