MAT.1.1	Mukaanda kinkaaka kya Yesu Kiristo, mwaana Davidi, mwaana Abalaami.
MAT.1.2	Abalaami wabuta Isaki, Isaki wabuta Yakobe, Yakobe wabuta Yuda na bampaangi baandi. 
MAT.1.3	Yuda wabuta Fare na Dzara mu Tamara. Fare wabuta Eseromo, Eseromo wabuta Arama. 
MAT.1.4	Arama wabuta Aminadaba, Aminadaba wabuta Naasoni. Naasoni wabuta Salemoni, 
MAT.1.5	Salemoni wabuta Bwese mu Lakabi, Bohese wabuta Yobede mu Luta, Yobede wabuta Yesayi, 
MAT.1.6	Yesayi wabuta Davidi mbyaasi.
MAT.1.6	Davidi wabuta Solomo mu mukasi Urya, 
MAT.1.7	Solomo wabuta Lobohami, Lobohami wabuta Abya, Abya wabuta Asafi, 
MAT.1.8	Asafi wabuta Yosafati, Yosafati wabuta Yorama, Yorama wabuta Odzya, 
MAT.1.9	Odzya wabuta Yohatama, Yohatama wabuta Akadzi, Akadzi wabuta Edzekya, 
MAT.1.10	Edzekya wabuta Manase, Manase wabuta Amosi, Amosi wabuta Yosya, 
MAT.1.11	Yosya wabuta Yekonya na bampaangi baandi, mu ntaangu ya natunu baatu ku Babiloni.
MAT.1.12	Ha mambisa ma natunu baatu ku Babiloni, Yekonya wabuta Salatyeli, Salatyeli wabuta Dzorobabele, 
MAT.1.13	Dzorobabele wabuta Abiyudi, Abiyudi wabuta Elyakimi, Elyakimi wabuta Adzoro, 
MAT.1.14	Adzoro wabuta Sadoki, Sadoki wabuta Akimi, Akimi wabuta Eliyudi, 
MAT.1.15	Eliyudi wabuta Eleyadzara, Eleyadzara wabuta Matani, Matani wabuta Yakobe, 
MAT.1.16	Yakobe wabuta Yosefi, mulumi Mariya, maba buta Yesu wubateelaa ti Kiristo.
MAT.1.17	Biseendu byobinso: kuholosono mu Abalaami natee mu Davidi, biseendu kuumi na bina; kuholosono mu Davidi natee natunu baatu ku Babiloni, biseendu kuumi na bina; kuholosono natunu baatu ku Babiloni natee mu Kiristo, biseendu kuumi na bina.
MAT.1.18	Mbutukulu ya Yesu Kiristo yaba bumabu. Mariya, nguri yaandi, waba na lulelusunu lwa makweele na Yosefi. Tekesele badzakala nzo mosi, nde wabaka yimi mu mpinu dza Mpeeve Yangisi. 
MAT.1.19	Yosefi, mulumi waandi, bu kaba muutu wasuunguma na bu kaba wahele kutya kumusaana ha busu bwa baatu, watsima kuhambikisa na nde mu nsweeki. 
MAT.1.20	Bu kaba mu kwetsima mimyo, mbasi ya Mfumu yamumonokono mu ndosi, yamuleele ti: «Yosefi, mwaana Davidi, yaa ba na boomo ko mu kuholo Mariya, mukasi waaku, bukuri mwaana wubutuka mu nde, mu mpinu dza Mpeeve, wangisi. 
MAT.1.21	Nde sa kabuta mwaana wa mubakala na ye sa wamuteele nkuumbu Yesu; bukuri nde sa kabvuukisa baatu baandi mu masumu ma bo.»
MAT.1.22	Myominso mimyo mayirimini, mpisi heki ma leeriri Mfumu mu mubikiri, meende mu mana:
MAT.1.23	«Mono, mwaa-ntuumba ya nswaasa sa kabaka yimi,
MAT.1.23	na sa kabuta mwaana wa mubakala,
MAT.1.23	na sa bamuteele nkuumbu Emanweli.»
MAT.1.23	– Mbangukulu ti: «Nzaambi wuri na beetu». –
MAT.1.24	Yosefi kamanaa kusiimbika tolo, wayirika bunu bwa mutumini mbasi ya Mfumu, na waholo mukasi waandi. 
MAT.1.25	Ngo nde kasii yaaba kimpene kya mukasi ko, natee ku kabutiri mwaana, na wamuteele nkuumbu Yesu.
MAT.2.1	Yesu wabutuka ku Beteleemi dya Yudaya, mu ntaangu yiri Erode mbyaasi. Mono, bangaa-madyeele bafumini ku mpele ya este bayisa ku Yerusalemi. 
MAT.2.2	Baleele ti: «Mbyaasi Bayudayo yibutukiryee kuri kari? Bukuri beetu twamwiini mbwetete yaandi, ku palilaa ntaangu, ngo twiisiri mu kumusaambila.» 
MAT.2.3	Mbyaasi Erode kayukaa bubwo, mutima wasa mambaawu na Yerusalemi dyodinso se. 
MAT.2.4	Nde kakutukisaa bakuutu ba bangaa-nzaambi, na batini ba mangisi ba kaanda, wabafuula ku butukiryee Kiristo. 
MAT.2.5	Bo bamuleele ti: «Ku Beteleemi dya Yudaya, bukuri mubikiri watinini bumabu ti:
MAT.2.6	"Ye Beteleemi mu nsi ya Yudaya,
MAT.2.6	ye wuri kwaandi bvula dibvuriri buntele
MAT.2.6	mu mabvula mamanene mari mu Yudaya ko;
MAT.2.6	bukuri mu ye mu palila mutwaalisi,
MAT.2.6	wutwaalisa kaanda dyaami, Isaheli."»
MAT.2.7	Hanaho, Erode kateelaa bangaa-madyeele munsweeki, wasaka kuyaaba nadededee kuri bo ntaangu ya monikini mbwetete. 
MAT.2.8	Nde wabasindika ku Beteleemi waleele ti: «Lumana kweende lo sakee kuyaaba nadededee mitariri mwaana. Bu lumeeni na kumudzuukila, yaabisee me mpisi me se nyeende mu kumusaambila.»
MAT.2.9	Bo bamanaa kuyuka mya leeriri mbyaasi bayende, na mono, mbwetete yi bamwii ku palilaa ntaangu, yaba kweyendaana ku mankula ma bo, natee ye teleme ha kisusungu na haba mwaana. 
MAT.2.10	Bu bamono mbwetete, bo bakeembe mu kiminu nkati kyakinene. 
MAT.2.11	Bakotaa mu nzo, bamwiini mwaa-mwaana wansoombo, na Mariya nguri yaandi. Bo batsukuma na bamusaambila; tumi badzibulaa bisweekulu bya bo, bamuheeri bikabu: woolo, libano, na mire. 
MAT.2.12	Bo babalubula mu ndosi, mu kuhele kubvutukila kuri Erode. Bo baholo nzila yikimi mu kweende ku bula bwaaku.
MAT.2.13	Bangaa-madyeele bamanaa kubvutuka, mono, mbasi ya Mfumu yamonokono kuri Yosefi mu ndosi, yamuleele ti: «Teleme, holo mwaana na nguri yaandi, na yitika ku Ngipiti, dzakala kukwo, natee ku nyikuleele me; bukuri Erode weki mu kiteesu kya kusaka mwaana mpisi kamudzusa.» 
MAT.2.14	Nde katelemaa bunu butsuku bubwo, horiri mwaana na nguri yaandi, na wayende kweesweeme ku Ngipiti. 
MAT.2.15	Nde wadzakala kukwo natee kwafwiiri Erode; mpisi heki ma leeriri Mfumu mu munwa mubikiri meende mu mana, ti: «Me nyateele mwaana waami mu kupala mu Ngipiti.»
MAT.2.16	Erode kamonaa ti bangaa-madyeele bamuwunini, nde wabaka nkesi dzamakwa, na waheeke baatu mu kweedzusa mwaa-baala bobanso bari ku Beteleemi na bari mu nkoonsi yoyinso, ba mvula dzoolo natee ku nsuku, bunu bwaba bwayelemene na ntaangu yi bamutswikisiri kuri bangaa-madyeele. 
MAT.2.17	Haho ma leeriri mubikiri Yelemiya mayende mu mana, ti:
MAT.2.18	«Mbeembu mosi ku yayukukini ku Lama,
MAT.2.18	bidilu na minyoongi myalaka.
MAT.2.18	Lakele wuri mu kudila baala baandi,
MAT.2.18	na wabisa ti bamuboondo, bukuri baala beki bo pe.»
MAT.2.19	Erode kamanaa kufwa, mbasi ya Mfumu yamonokono Yosefi mu ndosi ku Ngipiti, 
MAT.2.20	yaleele kuri nde ti: «Teleme, holo mwaana na nguri yaandi, na bvutuka ku nsi ya Isaheli, bukuri babo baba sakaa kudzusa mwaa-mwaana bamwaafwa.» 
MAT.2.21	Nde katelemaa, neeti mwaana na nguri mwaana, na wakoto ku nsi ya Isaheli. 
MAT.2.22	Yosefi kayukaana ti Arkelaho wuri mu kutuma nsi ya Yudaya, ha kibeendu kya Erode taayi dyaandi, wamono boomo mu kweende kukwo. Bamulubula mu ndosi, nde wayende kweesweeme mu nkoonsi ya Ngalili. 
MAT.2.23	Bu katubuka, nde wadzakala ku bvula dya Nadzareti, mpisi heki ma leeriri babikiri meende mu mana, ti: «Sa bamuteele ti wa ku Nadzareti.»
MAT.3.1	Mu biluumbu bibyo, Yowane Mubotiki wamonoko mu nsi yankatu ya Yudaya, mu kwebikisa 
MAT.3.2	[na] kweleele ti: «Yiingee madyeele, bukuri Kimfumu kya mayulu kikokisiri.» 
MAT.3.3	Mu nde, Esaya mubikiri kaba dzoonsolaana ha kaba leele ti:
MAT.3.3	«Mbeembu ya wunde wukwebikisa mu nsi yankatu ti:
MAT.3.3	Yirikeenu munsaku Mfumu,
MAT.3.3	suungukeenu manzila maandi!»
MAT.3.4	Nde, Yowane, waba na kinkuta kya myoosi mya kamelo, na musweele wa mukaanda kibulu mu luketu lwaandi. Nde waba kwedya bambambala na maasi ma nyosi ya ku bitiiti. 
MAT.3.5	Bari Yerusalemi bobanso, bari Yudaya, na bari mu nkoonsi yoyinso ya Yorodani, baba kweendaa kuri nde, 
MAT.3.6	na nde waba babotokaana mu nyari ya Yorodani mu ntambukulu masumu maaku.
MAT.3.7	Bu kamono Bafarisi balaka na Basaduki baba kwiisaana mu kuri ti nde kababotoko, wabaleele ti: «Kitsuumbu kya bampiri, na walusoongiri bwa kuyitikila nkesi dziri mu kwiisa? 
MAT.3.8	Soongeenu biyiriki byayelemene na nyiingulu madyeele, 
MAT.3.9	na yaa lubeke kweleele mu beenu-meene ko ti: "Taayi dya beetu Abalaami." Bukuri me nyiluleele ti: mu matari ma lo Nzaambi telemisi baala kuri Abalaami! 
MAT.3.10	Kikuba kyeki kyasuusa ha yulu myaansi mya muti; ngo mpisi muti wahele kubuta bimbutu byabibwete, lo wa kutabala na wa kutuba ku mbaawu. 
MAT.3.11	Me nyilubotoko mu maampa mu ntoono nyiingulu madyeele; ngo wunde wukwiisa ku mambisa ma me, bvuriri makwa na me, me nyahele kukuka mu kusyonono masapaatu ma nde. Nde sa kalubotoko mu Mpeeve Yangisi na mu mbaawu. 
MAT.3.12	Nde wuri na kiyengese mu kooko kwaandi, sa kakoombolo mbasi yaandi, sa kakutukisa mankono maandi ku yulu talaka, ngo sa kayoko bitiiti ku mbaawu yiri yadzimaa ko.»
MAT.3.13	Yesu kafumuna ku Ngalili, wiisiri ku Yorodani kuri Yowane, mpisi Yowane kamubotoko. 
MAT.3.14	Kasi Yowane wamutungukula, wamuleele ti: «Me nyiri na nzala kutaambula mbotokulu kuri ye; kasi ye ngo weki kwiisa kuri me?» 
MAT.3.15	Yesu wabvutula, waleele kuri nde ti: «Hemese mu lumalu; bukuri bubwo bwayelemene kuri beetu na ye mu kukukisa nsungumunu yoyinso.» Haho, Yowane wataambula. 
MAT.3.16	Yesu na kumubotoko na kutoomboko ku nkoto; na mono, mayulu madzibuma [mu ntoono ya nde], na nde wamono Mpeeve ya Nzaambi yakulumuka, bunu beembe [na] yayisa ha yulu nde. 
MAT.3.17	Na mono, mbeembu ya nangukina ku mayulu yaleele ti: «Wumawu ngo mwaana waami wa mutima; mu nde me nyimonaa kiminu.»
MAT.4.1	Hanaho, Mpeeve yanata Yesu ku nsi ya nkatu, mpisi dyabulu kamusa mu nsindukulu. 
MAT.4.2	Bu kakoto loomi mu biluumbu makuumi mana ma mwiini na makuumi mana ma butsuku, ku manunu nde wakolo nzala. 
MAT.4.3	Musindukiri bu kakokosolo wamuleele ti: «Mbuti ye mwaana Nzaambi, leele ti matari ma makituka mampa.» 
MAT.4.4	Yesu wabvutula ti: «Diri dyatinu ti: "Muutu kari mbeele mwooyo mu mana mampa kitsu ko; ngo se mu maampu momanso mapala mu munwa Nzaambi."» 
MAT.4.5	Haho, dyabulu wamunata ku bvula dyangisi, na wateeteke ku yulu nsoongi Nzo-nzaambi, 
MAT.4.6	na wamuleele ti: «Mbuti ye mwaana Nzaambi, sonoko ku nsuku-nsi; bukuri diri dyatinu ti:
MAT.4.6	"Nde sa kaha lutumu kuri bambasi baandi mu ntoono ye,
MAT.4.6	na bo sa bakunaanguna mu myooko,
MAT.4.6	mu kubata ti kuulu kwa ye kukwiisa kubumina kya mu tari."»
MAT.4.7	Yesu wabvutula kuri nde ti: «Diri dyatinu se ti: "Yaa suusa Mfumu Nzaambi yaaku mu nsindukulu ko."»
MAT.4.8	Dyabulu wabweese kumunata ku yulu mulaandu nkati wadzaangama kwalaka, wamusoongo bimfumu byobinso bya nsi na nkeembu ya byo. 
MAT.4.9	Nde waleele kuri Yesu ti: «Me sa nyakuha byobinso bi, mbuti ye tsukumini me na kunsaambila.» 
MAT.4.10	Hanaho Yesu waleele kuri nde ti: «Yisika, Satana! Bukuri diri dyatinu ti: "Mfumu Nzaambi yaaku ye yelemini kutsukumina, na nde kitsu yelemini kusaambila."» 
MAT.4.11	Haho, dyabulu wamusisa; na mono, bambasi bakokosolo na bamusalila.
MAT.4.12	Yesu kayuka ti Yowane bamukaanga, nde wayende ku Ngalili. 
MAT.4.13	Nde wasisa Nadzara na wayende kweedzakala ku Kafarnawumi, mu teke mubu, mu mankoonsi ma Dzabuloni na ma Nefetali; 
MAT.4.14	mpisi mamo ma leeriri mubikiri Esaya meende mu mana; nde waleele ti:
MAT.4.15	«Nsi ya Dzabuloni na nsi ya Nefetali,
MAT.4.15	nzila ya mubu, ku simu dya Yorodani,
MAT.4.15	Ngalili ya makaanda!
MAT.4.16	Baatu badzakala kunsa mampimbisi,
MAT.4.16	bamwiini buungi bwabunene;
MAT.4.16	buungi bumonokini,
MAT.4.16	kuri babo badzakala mu nsi na ha mposi ya lufwa!»
MAT.4.17	Haho Yesu wabeke mu kwebikisa, na kweleele ti: «Yiingeenu madyeele, bukuri Kimfumu kya mayulu kikokisiri!»
MAT.4.18	Bu kaba kweyende mu ndaambu mubu wa Ngalili, nde wamono bampaangi boolo, Simoni wubateelaa ti Petelo, na Andere mpaangi yaandi, bari mu kutuba siinga mu mubu; bukuri bo baba bilebi. 
MAT.4.19	Yesu waleele kuri bo ti: «Namee me, na me sa nyasa beenu bilebi bya baatu.» 
MAT.4.20	Hanaho, bo babwoongolaa masiinga ma bo bamunemi. 
MAT.4.21	Bu kayende ha mankula, wamono bampaangi boolo bakimi, Yakobo bo na mpaangi yaandi Yowane, baala ba Dzebedayi, munsa bwaatu na Dzebedayi taayi dya bo, bari mu kuloondo masiinga ma bo. Nde ha kabateele mbila. 
MAT.4.22	Hanaho, bu basisa bwaatu na taayi dya bo, bamunama.
MAT.4.23	Tumi Yesu wayende mu Ngalili yoyinso, mu kweyikisa munsa manzo ma nkutukunu ma bo, na kweyaabisa Musamu Wamubwete wa Kimfumu, na kwetsinikisa mabeeru momanso, na bipfuumi byobinso bya baatu. 
MAT.4.24	Mvuumfu yaandi yatsamukina mu Sirya dyodinso. Bamutwalikila babeeru bobanso baba na mabeeru ma bitsuumbu ngo bitsuumbu na ba kweluunga na mpasi, [na] baba na mampeeve mamabi, baba na bubeeru bwa kimbikila-ngoondo, baatu babobo binamu, na nde wabatsinikisa. 
MAT.4.25	Mampuumbu malaka mafumini ku Ngalili, ku mumvuka wa mabula kuumi, ku Yerusalemi, ku Yudaya na ku simu dya Yorodani, maba kwemunamaana.
MAT.5.1	Yesu bu kamono mampuumbu, watoomboko ku yulu mulaandu, na bu kadzakala, bayiki baandi bakokosolo kuri nde. 
MAT.5.2	Bu kabaangula mbeembu, wayikisa, waleele ti:
MAT.5.3	«Kiminu kiri na ba bawelu mu mpeeve,
MAT.5.3	bukuri Kimfumu kya mayulu kya bo!
MAT.5.4	Kiminu kuri bari mu ngebe,
MAT.5.4	bukuri sa bababoondo!
MAT.5.5	Kiminu kuri bari na bundeembu,
MAT.5.5	bukuri bo sa bataambula butoto bunu saala!
MAT.5.6	Kiminu kuri bari na nzala na mpwiisu ya nsungumunu,
MAT.5.6	bukuri sa bayukuta!
MAT.5.7	Kiminu kuri bari na mutima wangebe,
MAT.5.7	bukuri sa bababakila ngebe!
MAT.5.8	Kiminu kuri batsyeemeke mu mitima,
MAT.5.8	bukuri bo sa bamono Nzaambi!
MAT.5.9	Kiminu kuri basalila kiyeengi,
MAT.5.9	bukuri sa babateele ti baala ba Nzaambi!
MAT.5.10	Kiminu kuri ba bari mu kwekwaamisa mu ntoono ya nsungumunu,
MAT.5.10	bukuri Kimfumu kya mayulu kya bo!
MAT.5.11	Kiminu kuri beenu mbuti baatu balutuka, balukwaamisa, na baleele momanso mamabi [mampya], mu beenu, mu ntoono me. 
MAT.5.12	Monee kiminu na keembeenu kweenu, bukuri museendu weenu wuri wamunene mu mayulu; mukwongo, bunubwo se bakwaamisini babikiri batekisiri na beenu.»
MAT.5.13	«Beenu luri mungwa butoto; mbuti mungwa weki wahele nyeke, lo mu nki babweese kumubvutukila nyeke? Lo kasii mufunu ko, bisiiri lo kunu kumulooso ku mbasi, ku kaba wadyaatu kuri baatu.»
MAT.5.14	«Beenu luri buungi bwa nsi. Bvula diri ha yulu mulaandu dikoobaanaa dyasweeme ko. 
MAT.5.15	Bakoonamukaa mwiinda mu kumufuka kunsa mpiri ko, ngo mu kumusuusa ha yulu kitetukulu kya mwiinda, mpisi kaseme kuri bobanso bari munsa nzo. 
MAT.5.16	Hemesee buungi bwa beenu buseme ha busu bwa baatu, mpisi bamono biyiriki byeenu byabibwete, na bakeembese Taayi dyeenu diri mu mayulu.»
MAT.5.17	«Yaa lutsima ko ti me nyayisa mu kunyanguna mangisi bunu pe babikiri; me nyahele kwiisa mu kunyanguna, ngo mu kukukisa. 
MAT.5.18	Mu ngwanwa me nyiluleele, natee buluta yulu na butoto, lo ti kisoni kiri nkuumbu i, bunu pe ti mpita mosi yiyaaluka mu mangisi ko, natee momanso mayirimini. 
MAT.5.19	Ngo mbuti muutu sinini lutumu ti lumosi mu ntumu dzibvuriri buntele, na yikisiri se kuri baatu mu kusa bubwo, lo sa bamuteele ti wubvuriri buntele mu Kimfumu kya mayulu. Ngo wunde wumasalila, na wumayikisa, lo sa bamuteele ti mukuutu mu Kimfumu kya mayulu. 
MAT.5.20	Mukwongo, me nyiluleele ti: mbuti nsungumunu yeenu yahele kubvula ti na ya batini ba mangisi na Bafarisi, lo beenu luri nkotulu mu Kimfumu kya ma mayulu ko.»
MAT.5.21	«Beenu lwayuka ti, baleele kuri bakuutu ti: "Yaa dzusa ko; ngo wunde wudzusa, lo yelemini kuba watsuundusu." 
MAT.5.22	Ngo me nyiluleele ti: mpisi wunde wubakila mpaangi yaandi nkesi, lo yelemini kuba watsuundusu. Wunde wuleele kuri mpaangi yaandi ti: "kiwulu!", lo yelemini kuba watsuundusu kuri kikuutu; Wunde wuleele kuri mpaangi yaandi ti: "Kilawuku!", lo mukesu, lubila lwa mbaawu. 
MAT.5.23	Ngo mbuti ye wuri mu kuha kikabu ha yulu dziku, na baambukiri mwooyo ti mpaangi yaaku wuri na kooti mu ye, 
MAT.5.24	lo suusa kikabu kyaaku ha teke dziku haho, na yende tekesele kuyukusuna na mpaangi yaaku, tumi wiisa ha kikabu kyaaku. 
MAT.5.25	Wasula na kuyukusuna na wunde wu luri lwabakana, mu ntaangu yi lwakiri mu nzila, mu kubata kuri ti wunde wu luri lwabakana kakwiisa kukuyekele kuri mutsuundisi; na mutsuundisi kuri muyongolo, na bakusoko mu boroko. 
MAT.5.26	Ngwanwa me nyikuleele ti, ye wuri mpalila mumwo ko, natee wakiri kufuta mwaa-mupata wampotulu.»
MAT.5.27	«Beenu lwayuka ti dyaleelu ti: "Yaa ta kimpala ko!" 
MAT.5.28	Ngo me nyileele ti: mpisi wunde wutala wa mukyeetu mu kumunyiima, lo mwaata kimpala na nde kunsa mutima waandi. 
MAT.5.29	Mbuti diisu dyaaku dya lubakala dibwiisa ye mu masumu, lo yisila dyo na looso dyo la na ye, bukuri bubvuriri bubwete kuri ye, mu kufuukisa kinamu kimosi mu binamu byaaku, mpisi heki nyutu yaaku yoyinso yihele kuba yatubu ku lubila. 
MAT.5.30	Mbuti kooko kwaaku kwa lubakala kubwiisa ye mu masumu, lo taabala kwo na looso kwo la na ye, bukuri bubvuriri bubwete kuri ye, mu kufuukisa kinamu kimosi mu binamu byaaku, mpisi heki nyutu yoyinso yihele kweende ku lubila.»
MAT.5.31	«Dyaleelu se ti: "Mbuti muutu wubinga mukasi waandi, lo kamuha mukaanda wa nzusulu makweele." 
MAT.5.32	Ngo me nyiluleele ti: mpisi wunde wubinga mukasi waandi, mbuti ka kuri wabwa mu mvuutunu yadika ko, lo nde wumusinda mu kuta kimpala; na mbuti muutu kweeriri mukyeetu wu bamwaabinga, lo nde teeri kimpala.»
MAT.5.33	«Beenu lwabweese kuyuka ti dyaleelu kuri bakuutu ti: "Yaa sinina maalu maaku ko, ngo ye yelemini kubvumina maalu maaku ha busu bwa Mfumu." 
MAT.5.34	Ngo me nyiluleele ti: Yaa lulaba maalu ti mu ntaangu mosi ko, ti mu yulu, bukuri yulu ngo mboloko Nzaambi, 
MAT.5.35	ti mu butoto, bukuri butoto ngo nkata miilu myaandi; ti mu Yerusalemi, bukuri didyo ngo bvula dya Mbyaasi yayinene. 
MAT.5.36	Yaa laba maalu mu mutu waaku ko, bukuri ye lo wubangisina kuhembekese, bunu pe kupiindisa lufu ti lumosi ko. 
MAT.5.37	Nzoonsulu yaaku yiba mbuti "heehe", lo "heehe", mbuti "pele", lo "pele"; mi babweese kuleele ha yulu haho, lo mya Ngaa-bubi.»
MAT.5.38	«Beenu lwayuka dyaleelu ti: "Diisu mu diisu, na diinu mu diinu." 
MAT.5.39	Ngo me nyiluleele ti: yaa lutuungukila ngaa-bubi ko. Ngo muutu kakulata mbata ha tama [dya ye] dya lubakala, lo taamba se na dya kaka. 
MAT.5.40	Kuri muutu wutiiri kunata ye ku muyalu, na kuholo kinkuta kya ye, lo hemese kaholo se na kiyuungu kyaaku. 
MAT.5.41	Mbuti muutu wukukwiikisa mu kudyaata fuunda dimosi dya bitaki na nde, lo dyaata mafuunda moolo na nde. 
MAT.5.42	Kuri muutu wukuloombo, lo muha; na kuri wunde wutiiri kusoombo kuri ye, lo yaa mutekele mbisa ko.»
MAT.5.43	«Beenu lwayuka, dyaleelu ti: "Tya mbaasi yaaku, na bele mutaatu waaku." 
MAT.5.44	Ngo me nyiluleele ti: Tyeenee bataatu beenu, na saambilee mu babo bakwelunwaanisa, 
