MAT.1.1	Srakàda atehuŋ ma ke kú Yeso Kristò edɛ Ŋwa àfα Devì á yá ma Ŋwa Abràha huŋ.
MAT.1.2	Abràha yá ma so Izìk, Izìk yá ma so Jèkɔp, Jèkɔp yá ma so Judà wo zhyɛnyɔ̀ ge hɛ. 
MAT.1.3	Judà yá ma so Perè wo Zɛrà. Nyɔ̀ bo yá ma Tamà. Perè yá ma so Hɛzrɔ̀, Hɛzrɔ̀ so Ram. 
MAT.1.4	Ram yá ma so Ammìnadà, Ammìnadà so Nashyò. Nashyò yá ma so Salmù. 
MAT.1.5	Salmù so Bowà, yi nyɔ̀wé yá ma Rahà huŋ. Bowà yá ma so Obɛ̀t, yi nyɔ̀wé yá ma Rot huŋ, Obɛ̀t yá ma so Jesì. 
MAT.1.6	Jesì yá ma so àfα Devì.
MAT.1.6	Devì yá ma so Solomù, yi nyɔ̀wé yá ma va Yuryà huŋ. 
MAT.1.7	Solomù yá ma so Rèhobwam, Rèhobwam yá ma so Àbijà, Àbijà yá ma so Àsa. 
MAT.1.8	Àsa yá ma so Jèhoshafat. Jèhoshafat yá ma so Joràm, Joràm yá ma so Ùzayà. 
MAT.1.9	Ùzayà yá ma so Jotàm, Jotàm yá ma so Áhàs, Áhàs yá ma so Hèzikyà. 
MAT.1.10	Hèzikyà yá ma so Mànasè, Mànasè yá ma so Emɔ̀n, Emɔ̀n yá ma so Jòzayà. 
MAT.1.11	Jòzayà yá ma so Jèkoníyà wo zhyɛnyɔ̀ ge. Bo yá mbà bo ebɔ bo yá kpɛdɔte wo wa Izrὰ ŋɛ Babilɔ̀ huŋ.
MAT.1.12	Ebɔ bo yá kpɛdɔtegbα wo bo ŋɛ Babilɔ̀ huŋ, Jèkoníyà yá ma so Shyɛtɛ, Shyɛtɛ yá ma so Zerobabɛ̀l, 
MAT.1.13	Zerobabɛ̀l yá ma so Abyɔ̀t, Abyɔ̀t yá ma so Èliyakìm, Èliyakìm yá ma so Azù. 
MAT.1.14	Azù yá ma so Zádɔ̀k, Zádɔ̀k yá ma so Áchìm, Áchìm yá ma so Eliyùt. 
MAT.1.15	Eliyùt yá ma so Èliyazà, Èliyazà yá ma so Matàn, Matàn yá ma so Jèkɔp. 
MAT.1.16	Jèkɔp yá ma so Jòsɛ á ma nwa Mɛ̀ri á yá mbà Yeso, yi bo yi bé lɛ, Kristò huŋ.
MAT.1.17	Kú hɛ mbri, chà é Abràha dɔnda é àfα Devì yi, kú yá ma je ju nyɛ. Chà kú àfα Devì yi dɔnda ebɔ bo kpɛdɔte wo bo ŋɛ Babilɔ̀ huŋ, kú ma je ju nyɛ. Chà ebɔ bo yá kpɛdɔte wo bo ŋɛ Babilɔ̀ dɔnda ebɔ Kristò huŋ, kú ma je ju nyɛ.
MAT.1.18	Ngè pyɔ atehuŋ, yi bo yá mbà Yeso Kristò yi. Jòsɛ yá zète Mɛ̀ri. Bɛ bo lɛ̀ bαmí dribo huŋ, yi Mɛ̀ri fyegbα pre kokro ngre Vomwɛ Achacha. 
MAT.1.19	Nwa ge Jòsɛ, yi zrɔbye ge yá setetemɔ ju Mbɔchù huŋ, yá katê ke ŋɔ bα pyɔ ewɛ́ ke mbu ge mu, ngè è yá sepɔ pyɔ bombò gè ke bé bα eví yi.
MAT.1.20	Bɛhuŋ, be è yayi sepɔ pyɔ atehuŋ, nchènda Mbɔchù foshya ge ndɛ, yi zà wo gè lɛ, “Jòsɛ, Ŋwa àfα Devì, tété se ke mbu bα va wo Mɛ̀ri mu, ke pre è mate huŋ, ma kokro ngre Vomwɛ Achacha yi. 
MAT.1.21	È ke mbà ŋwa ngunwa, nɛ ke bé ge lɛ, Yeso, ke è ke pofye wa é abebe bo yi.”
MAT.1.22	Chyα atehɛ mbri ya ju endɛndɛ be Mpwèmya yá yate é ngru pwὰpwὰ Mbɔchù lɛ, 
MAT.1.23	“Vè nɛ mû, nguva á yá yipɔ̂ ngunwa mu huŋ ke fye pre, è ke mbà ŋwa ngunwa. Zre ge ke ma lɛ, Èmanwɛ̀.” Yacha ge ma lɛ, Mbɔchù mafɔ̀ wo nyi.
MAT.1.24	Ebɔ Jòsɛ fɔzhi enru huŋ, è tɔwa be nchènda Mbɔchù huŋ, yaŋa ge huŋ, ngè è bαwa Mɛ̀ri. 
MAT.1.25	Bɛhuŋ, bombò ge yá gbòkotê mu, tètè be è yá mbà ŋwa ngunwa, è yá chè ge zre lɛ, Yeso.
MAT.2.1	Ebɔ bo yá mbàgbα Yeso ŋɛ jɛ̀ wa Bɛtrɛ̀hɛ ŋɛ pɔ́ Jùdya huŋ, Hɛrɔ̀ yá ma àfα ebɔ alɔhuŋ. Wa àyibye zɔ yá ju áwá bre nu yi chi huŋ, ke ya Jèrosalɛ̀, 
MAT.2.2	ngè bo yá bipɔ lɛ̀, “Yi brekɔ ŋwashyò alɔhuŋ bo mbà, e ke ma àfα wa Jû huŋ ma yi? Nyi le vè vasɔ ge áwá bre nu yi chi, ngè nyi ya ke ya zó ge.”
MAT.2.3	Ebɔ àfα Hɛrɔ̀ yá pɔ chyα atehɛ, ge yá nɛ̀ ge shyɛ wo wa Jèrosalɛ̀ hɛ mbri. 
MAT.2.4	È yá bégbòko washyé e tá Mbɔchù wo chɔche bɔ̀bye, è bipɔ bo bre bo ma ke mbà gè Kristò huŋ. 
MAT.2.5	Bo yá yasèŋa ge lɛ, “Ŋɛ Bɛtrɛ̀hɛ pɔ́ Jùdya yi,” ke ngé bye atehɛ, yi ngru pwὰpwὰ Mbɔchù yá jwαte lɛ,
MAT.2.6	“Wo nɛ wa Bɛtrɛ̀hɛ ŋɛ zhyɔ Judà yi huŋ,
MAT.2.6	nɛ matê enchibá chɔ wa Judà mu.
MAT.2.6	Ke è ma jɛ̀ akpè nɛ, yi àfα ke ju yi.
MAT.2.6	È ke kpà wa ŋɛ, wa Izrὰ be ngru e yi vɔ́kɛ wa ge huŋ.”
MAT.2.7	Ngèhuŋ, Hɛrɔ̀ yá bégbòko wanwa àyibye hɛ áwá yi, è yi bipɔ bo ebɔ vasɔ huŋ, le màŋa huŋ. 
MAT.2.8	Ngèhuŋ, è chɛpwɛ̀ bo ŋɛ Bɛtrɛ̀hɛ, yi zà wo bo lɛ, “Dɔ kavè nɛ ke ŋwashyò atehuŋ sɔbe. Ebɔ nɛ ke kabɛgbα ge huŋ, ya yaŋa nɛ mì lɛ, Ŋ̀ yibe Ŋ dɔ ŋa lè ge ezozo.” 
MAT.2.9	Ebɔ bo pɔgbα bú àfα Hɛrɔ̀ ya huŋ, bo chɔ̀wa shyɔ. Vasɔ bo yá vè áwá nu yi chi huŋ, yá chàndà ke yi dɔ ju bo yi tètè be è dɔ ndate bre ŋwashyò huŋ yá ma. 
MAT.2.10	Ebɔ bo vè vasɔ huŋ ndate huŋ, pushyɛ bo yá ŋwɛ̀te wo enɛmɔ gbαwa. 
MAT.2.11	Ngè bo kà tα huŋ, bo vèwa ŋwashyò huŋ bombò nyɔ̀wé Mɛ̀ri. Bo yá kɛkú ŋa ge ezozo. Bo pya àba bo, bo ŋa ge ekɔŋa á ma gôl huŋ, wo ányɔ e yi jubà emya asɔsɔ huŋ, wo ezɔprα e yi jubà emya asɔsɔ huŋ. 
MAT.2.12	Mbɔchù yá gbi bo chɔ́ ndɛ yi lɛ, bo tété dɔ bɛndà Hɛrɔ̀ mu. Ngè bo pwɛ̀te, bo ngɔ é pyɔzo vé.
MAT.2.13	Ebɔ wa àyibye hɛ chɔ̀gbαyi shyɔ huŋ, nchènda Mbɔchù yá ya é Jòsɛ ndɛ yi. E zà wo gè lɛ, “Chitɔmɔ, a mbu ŋwashyò huŋ, wo nyɔ̀wé, nɛ sekù dɔ kwɛ̀ wa Ijìp yi. Shiwa nɛ nú tété be Ŋ ke yaŋa nɛ ke yasè ya. Hɛrɔ̀ yi kavè ŋwashyò huŋ ke gbα.” 
MAT.2.14	Fɔnzo huŋ, Jòsɛ yá chitɔmɔ, è mbu ŋwashyò huŋ, wo nyɔ̀wé ché alɔhuŋ ke dɔ Ijìp yi. 
MAT.2.15	Bo yá shi nú tètè be Hɛrɔ̀ yá fu. Bye atehɛ ma àmɔ ke mbya bú Mpwèmya yá yate é ngru pwὰpwὰ ge huŋ, ya ju endɛndɛ lɛ, “Ŋ bé yi ŋwaŋɛ é pwɛ̀te kwɛ̀ wa Ijìp.”
MAT.2.16	Ebɔ Hɛrɔ̀ vèyigbαyi lɛ, wa àyibye hɛ zhyɛkɛ ge bye mɔ huŋ, pushyɛ ge yá bé gbαwa. Ngè Hɛrɔ̀ yá sebɛ lɛ, è gbègbα zhi pyα chà ebɔ wa àyibye yá vè vasɔ huŋ, ngè è yá ŋa ngre lɛ, bo gbα yatra éwanwa mbri á ma zhi pyα shya zhyɔ á ma ŋɛ Bɛtrɛ̀hɛ wo jɛ̀ á nabàkɛte hɛ. 
MAT.2.17	Ngèhuŋ, bú ngru pwὰpwὰ Mbɔchù Jèrèmyâ yá yate huŋ, ya ju endɛndɛ. È yá zà lɛ,
MAT.2.18	“Bo yi pɔ ndefi ngru ŋɛ jɛ̀ wa Ramà yi. Ngru alɔhuŋ yi sɛ̀ fi, è yi se èsrɛ gbαwa. Ràchɛ̀ yi sɛ̀ fi zhyɛ ge. Bo bɔ yi ge lɛ, e mukɛ, ngè è ŋɔ yi lɛ, è ke mukɛ̂ mu ke zhyɛ ge fu pwɛ̀te yi ge.”
MAT.2.19	Ebɔ Hɛrɔ̀ yá fugbα huŋ, nchènda Mpwèmya yá dɔ é Jòsɛ ndɛ yi ŋɛ kwɛ̀ Ijìp. È zà wo gè lɛ, 
MAT.2.20	“Chitɔmɔ á mbu ŋwashyò huŋ wo nyɔ̀wé, nɛ dɔ kwɛ̀ wa Izrὰ yi. Wa á yayi ka ke gbα ŋwashyò huŋ fugbα.” 
MAT.2.21	Ngè è yá chitɔ mbu ŋwashyò huŋ bombò nyɔ̀wé, bo dɔwa kwɛ̀ wa Izrὰ yi. 
MAT.2.22	Bɛhuŋ, ebɔ è yá pɔ lɛ, yi Áchelɔ̀ á mbute mbyɔ sòwé Hɛrɔ̀ be àfα wa Jùdya huŋ, è yá sewa ke dɔ ndà nú. Be bo yá gbi ge chɔ ndɛ huŋ, è pwɛ̀te dɔwa mbrɔ pɔ́ Galìli yi. 
MAT.2.23	È yá dɔ kpɛ jɛ̀ ge ŋɛ jɛ̀ akpè bo yi bé lɛ, Nazàrɛ huŋ. Atehuŋ ma àmɔ lɛ, bú wa pwὰpwὰ Mbɔchù yá yate huŋ, ke ya ju endɛndɛ lɛ, “Bo ke bé ge lɛ, ngru á ju Nazàrɛ huŋ.”
MAT.3.1	È yá ma ebɔ alɔhuŋ, Jɔ̂ Mvɔ́ wa zɔ̀ Mbɔchù yá chà ke yi kúŋa wa chyα Mbɔchù ŋɛ kwɛ̀zὰmbi yi ŋɛ Jùdya yi. È yayi yaŋa bo lɛ, 
MAT.3.2	“Táwá nɛ zrɔbye abebe nɛ, ke Ndu àfα Mbɔchù, magbαyi juju.” 
MAT.3.3	Ngè Jɔ̂, yi ngru pwὰpwὰ Mbɔchù Èzayà yayi ya ke ge ebɔ è yá zà lɛ,
MAT.3.3	“Nguzo yi ni wo nde kwɛ̀zὰmbi yi zà lɛ,
MAT.3.3	mbyabwαte nɛ pyɔ ke Mpwèmya,
MAT.3.3	mbya seteŋa nɛ gè pé.”
MAT.3.4	Àse Jɔ̂ yayi vó hɛ, bo yá mbya ge wo kpɛ kàmɛ. Nkàndá è yayi zhí sro huŋ, yá ma kpɔ bushyα. Byezhi ge yá ma mpá wo nzré dɛ ekpo. 
MAT.3.5	Wa yayi ju Jèrosalɛ̀, wa mbri yi ju Jùdya wo pɔ́ zɔ̀ Jodàn mbri ke dɔ bɛ ge. 
MAT.3.6	Bo yayi pùkwè zrɔbye abebe bo, bo yayi tɔ hɛ, è vɔ́ bo zɔ̀ Mbɔchù ŋɛ zɔ̀ Jodàn yi.
MAT.3.7	Bɛhuŋ, ebɔ Jɔ̂ yá vè ngɔ̀ngɔ̀ wa Farìsi wo wa Sadùsi á yayi ya lɛ, e vɔ́ bo zɔ̀ Mbɔchù huŋ, è zà wo bo lɛ, “Nɛ á ma zhyɛ ŋú huŋ, nya á ŋa nɛ àyibye ke sekù vèzri Mbɔchù e ma ke ŋa huŋ? 
MAT.3.8	Ma tɔ nɛ bye e ke màŋa lɛ, nɛ yasègbαyi é zrɔbye abebe nɛ yi. 
MAT.3.9	Nɛ tété yi sepɔ, yi zà nɛ lɛ, nɛ yibe nɛ sekù vèzri Mbɔchù ke ŋa huŋ, ke nɛ mbute lɛ, nɛ ma edezhyɛ Abràha mu. Ŋ yi yaŋa nɛ lɛ, ‘Mbɔchù yibe e mbya mpɛ atehɛ gé kɔ edezhyɛ Abràha.’ 
MAT.3.10	Mami mbrɔŋɛ huŋ, fenji magbαyi drìté yi. Té mbri á lè vαtê vα asɔsɔ mu, bo ke chikwètápɔ gé krú nkùfi yi.”
MAT.3.11	“Ŋ yi vɔ́ nɛ zɔ̀ Mbɔchù ke màŋa lɛ, nɛ yasègbα é abebe nɛ yi. Bɛ ngru e ke ya kokro ŋɛ huŋ, ma ngru á kàpɛ yi ŋɛ. Ŋ kwatê ngru e chαko byebá ge mu. È ke vɔ́ nɛ zɔ̀ Mbɔchù wo Vomwɛ Achacha wo pyo.
MAT.3.12	È magbα wo mvre ge bwo yi, ke yi depo njyé yi, nji asɔsɔ hɛ, è ke pɔte ntù yi bɛ, è ke pɔchɛ̀ ákpá gé hɛ krú nkùfi yi.”
MAT.3.13	Yeso yá pwɛ̀te kwɛ̀ wa Galìli huŋ, è yawa ŋɛ zɔ̀ wa Jodàn yi lɛ, Jɔ̂ vɔ́ ge zɔ̀ Mbɔchù. 
MAT.3.14	Bɛhuŋ, Jɔ̂ yá tre ke zà lɛ, è sɔtê àmɔ mu lɛ, “Ŋ́ mì é le ya bɛ wò mɔ lɛ, a vɔ́ ŋɛ zɔ̀ Mbɔchù, à ya bɛpya yi ŋɛ ke gɛ huŋ?” 
MAT.3.15	Bɛhuŋ, Yeso yá yasèŋa ge lɛ, “Pwɛ̀te e ma àmɔ mbrɔŋɛ. Ke nyihùŋ pyɔ atehuŋ, nyi ke tɔ bye Mbɔchù kate nyi ke tɔ hɛ mbri.” Ngè Jɔ̂ yá fenyi. 
MAT.3.16	Ebɔ Jɔ̂ vɔ́gbα Yeso zɔ̀ Mbɔchù huŋ, Yeso ninjuwa nyihùŋ zɔ̀ yi. Ngè ebɔ alɔhuŋ, akpachù yá pwè, è vè be Vomwɛ Achacha shya shi é gè be ákrúkpɛ̀ yi. 
MAT.3.17	Nde yá ju akpachù, yi zà lɛ, “Atehuŋ ma Ŋwaŋɛ, Ŋ̀ nɛ wo gè gbαwa, Ŋ́ yi pɔ sɔpɔ wo gè.”
MAT.4.1	Ngè Vomwɛ Achacha yá mbya Yeso ke dɔ kwɛ̀zὰmbi yi lɛ, Satà ke mbɔ̀vè ge. 
MAT.4.2	È yayi bwé drige wo mbɔ ché mà nú yi ke chi gbαngru mbɛ̀ pyα, ngè mbɔ yayi tɔ ge. 
MAT.4.3	Nkùchi yá ya bɛ ge, e zà wo ge lɛ, “Be è lè ma endɛndɛ lɛ, à ma Ŋwa Mbɔchù, yaŋa mpɛ atehɛ, ge kɔ byezhi á zhi.”
MAT.4.4	Yeso yá yasèŋa ge lɛ, “Srakàda Mbɔchù yi zà lɛ ‘Gbαgbα ngru mê ke byezhi kwa mu, bɛ è ma ke Vomwɛ chyα e yi ju Mbɔchù mwɛ hɛ mbri.’”
MAT.4.5	Ngè nkùchi yá mbudɔ wo gè ŋɛ jɛ̀ wa Jèrosalɛ̀ á ma jɛ̀ achacha huŋ, e ni wo gè se ató tα sofye Mbɔchù akpè è te ge nú. 
MAT.4.6	È zà wo gè lɛ, “Be è lè ma endɛndɛ lɛ, à ma Ŋwa Mbɔchù, á pesrɔ zhyɔ,” ke srakàda Mbɔchù yi zà lɛ,
MAT.4.6	“Mbɔchù ke ŋa ngre wo nchènda ge ke bù.
MAT.4.6	Gé ke kαkpɛ wò wo bwo chìdɔ
MAT.4.6	mama a ke kɛ bá wo mpɛ yi.”
MAT.4.7	Yeso yá yasèŋa ge lɛ, “Bɛhuŋ, srakàda Mbɔchù yi zà lè kpɛ lɛ, ‘Tété yi mbɔ̀vè Mpwèmya, Mbɔchù wo mu.’”
MAT.4.8	Ndàndà huŋ, nkùchi yá mbu ni wo Yeso se ànɛ̀ a nwabà huŋ, è màŋa ge kwɛ́ a ma myaŋɛ wo bye abwαbwα, wo ngɔ̀ngɔ̀ vìbye á ma nú hɛ. 
MAT.4.9	E zà wo gè lɛ, “Be à lè kɛkú zó ŋɛ, Ŋ ke ŋa wò gé mbri.”
MAT.4.10	Ngè Yeso yá yasèŋa ge lɛ, “Satà chɔ̀ shyɔ jú ŋɛ yi, srakàda Mbɔchù yi zà lɛ, ‘Zó Mpwèmya wo Mbɔchù, ngè yi vége a ke tɔŋa chwɔ.’”
MAT.4.11	Ngè nkùchi yá pwɛ̀te ge, nchèndé Mbɔchù yá ya tὰfye ge.
MAT.4.12	Ebɔ Yeso yá pɔ lɛ, bo pɔte Jɔ̂ tαfi huŋ, è yasè dɔwa Galìli. 
MAT.4.13	E yá dɔ shî Nazàrɛ mu bɛ, e yá dɔ shi ŋɛ Kàpɛnàho, jɛ̀ á ma chɛ nyrɔ wa Galìli yi. È yá ma nkwɛ̀ zhyɔ Zɛbulɔ̀ wo Natálì yi. 
MAT.4.14	E yá ma àmɔ lɛ, bú ngru pwὰpwὰ Mbɔchù Èzayà yá yate hɛ ke ju endɛndɛ yi lɛ,
MAT.4.15	“Wa Zɛbulɔ̀ wo zhyɔ Natálì, á ma pyɔ zɔ̀ akpè zrèhù zɔ̀ Jodàn huŋ, nɛ á ma ŋɛ pɔ́ Galìli yi á matê ekre wa Jû mu huŋ, yi nɛ lɛ,
MAT.4.16	wa á yá mate nkùfi hɛ, vè yi chacha akpè. Chacha yi mbu é wa e yi shi ŋɛ kwɛ̀ wa á fugbα hɛ.”
MAT.4.17	Chàkà ebɔ alɔhuŋ, Yeso yá chà chyα Mbɔchù yi kú lɛ, “Pwɛ̀te nɛ abebe nɛ yi tɔ hɛ, ke ebɔ Mbɔchù yi kpà wa ge be àfα huŋ magbα juju.”
MAT.4.18	Be Yeso yayi sɛkàju chɛ nyrɔ wa Galìli huŋ, è vèwa zhyɛnyɔ̀ zɔ pyα. Samù, yi zre ge enzo huŋ yá ma lɛ, Pità huŋ wo ŋwanyɔ̀ ge Andrò. Bo yayi tá zé bo zɔ̀ akpè alɔhuŋ, ke bo yá ma wa e yi gbα ásɛ. 
MAT.4.19	Yeso yá zà wo bo lɛ, “Ya chi nɛ mì, Ŋ ke mbɔ̀ŋa nɛ pyɔ nɛ ke béfɔ yapya wo wa enzɔ ke mì.” 
MAT.4.20	Fɔnzo huŋ, bo yá pwɛ̀tewa zé bo ke yi chi Yeso.
MAT.4.21	Be Yeso yayi dɔ jú huŋ, è vèndàwa zhyɛnyɔ̀ zɔ pyα, Jɛ̂ ŋwa Zebèdí wo ŋwanyɔ̀ ge Jɔ̂. Bo yá mate kro yi wo so bo, ke yi mbyabwα zé bo. Ngè Yeso yá bé bo. 
MAT.4.22	Fɔnzo huŋ, bo yá pwɛ̀te kro wo so bo, ke yi chi Yeso.
MAT.4.23	Yeso yayi sɛ bya yi mbri ŋɛ Galìli yi. È yayi mbɔ̀ŋa bo té sofye Mbɔchù bo yi, è yi kúŋa bo Chwɛzri Asɔsɔ ke Ndɔ àfα Mbɔchù wo pyɔ è mbyangà wa e yi kpé wo àchɛ̀chì dɛbye hɛ. 
MAT.4.24	Chwɛzri ge yá sɛbàkɛ bya mbri ŋɛ kwɛ̀ Siryà yi. Ngè wa yá ya bɛ ge wo wa mbri a yayi kpé wo àchɛ̀chì dɛbye hɛ, wa kpɔ bo yayi kà hɛ, wa evrα abebe yayi nɛ̀ bo shyɛ hɛ, wa a yayi kùfu hɛ, wo wa a yá futebya hɛ, è yá mbyangà bo. 
