MRK.1.1	Ine a kamkamna ana Wakak a Warwara o e Iesu Karisito, a Nat e God. 
MRK.1.2	A warwara ane God ning di ka tumus tari ana buk ane propet Aisaia i atongi mange,
MRK.1.2	“Oroi, ar sune anuka tena los warwara sur ir nigo tam,
MRK.1.2	pa ir tol talapor anum a ngas.
MRK.1.3	A elngena mainla i arkabah ting na hanua bel mange,
MRK.1.3	‘Mulor tol talapor a ngas ane Leklek,
MRK.1.3	mulor atostos anuna ngas.’”
MRK.1.4	Io, e Jon a Tena Baptais i kes ting na hanua bel, pa i sira baptais pa i warawai sur a tarai lar lingir a nuknukinla pa dir baptais la, pa e God ir kepsen anunla na toltol laulau. 
MRK.1.5	A taraila rop mitisa e Jerusalem pa ting na papar Judia rop, la han teteki. La patuai talapor ana nunla na toltol laulau, pa i baptais la ting na malum Jodan. 
MRK.1.6	E Jon i mermer ana kaen di toli ana hih a kamel, pa i dot akesi ana pala bulumakau, pa i sira ien a mumla taum ana polo na tatos. 
MRK.1.7	I warwara talapor mange, “Esining i mur tak i leklek hok. Pa bel ar tolsot pasi sur ar pak sen a inau ana nuna su. Iau a natarna tana. 
MRK.1.8	Iau ar baptais mulo ana malum, pa i ir baptais mulo ana Talngan Tabu.”
MRK.1.9	Ana pukakiarla ning e Jon i baptais a taraila, e Iesu i hanot mitisa na hanua Nasaret ana papar Galili. Pa e Jon i baptaisi ting na malum Jodan. 
MRK.1.10	Ning e Iesu i saur miting la malum, i oroi a langit i sapang, pa a Talngan Tabu i han purum teteki arlar ana tabun. 
MRK.1.11	Pa a elngena mainla misaot na langit i mange, “U a Natuklik, a katin u, a gas kol hom.”
MRK.1.12	Pa ono otning a Talngan Tabu i sune sen e Iesu uting na hanua bel. 
MRK.1.13	I kes tingia diat a bonot a pukakiar pa e Satan i lari. I kes taum ona rokoiola pa a angelola la nangani.
MRK.1.14	Ning di ka akas tar e Jon uting na rumai dodot, e Iesu i hanot utumo na papar Galili, pa i warwara talapor ana Wakak a Warwara ane God, 
