GEN.1.1	Ti kucangtsi ti Rimam mam apupwen ti riben, 
GEN.1.2	utense tsi rubwen, iken iki ta-yi uwae atang be, si nyáng kubunn ambyi, ti kufub ti sikyi yi. Ama kusung Rimam ku yang pakob risu ambyi.
GEN.1.3	Ama Rimam ri baa, “Kufarang ā ba tsi.” Ama kufarang tsi. 
GEN.1.4	Ama Rimam sae kufarang wune baa, awu na nyang, ama awu kata kufarang wu te kufub. 
GEN.1.5	Rimam kunn kufarang wu baa, “Usirtaen.” Kufub ama, awu kunn wu baa, “Utitang.” Ama usir sa te, ucwe sa famsi, uwae usir ti kinjo.
GEN.1.6	Ama Rimam ri baa, “Apwa tiyaen ā nae kutampwa ambyi, ti ayi ā kata ambyi ifaen.” 
GEN.1.7	Ikyaen yine Rimam kyae apwa, u kata ambyi ti riben tí ti apupwen. Ama ayi tsi pangma ti Rimam ri. 
GEN.1.8	Rimam kunn apwa wu baa, “Apwa apupwen.” Ama usir sa te, ucwe sa famsi, uwae usir ti ifaen.
GEN.1.9	Ama Rimam ri baa, “Ambyi ti munnkyi riben ā pu funn atso uwog kinjo, ti riben ā nae ise.” Ama ayi nde pangma ti Rimam ri. 
GEN.1.10	Rimam kunn riben ti nae ise ne baa, “Akaen ise.” Ambyi yi ti pu funn atso uwog kinjo ama awu kunn yi baa, “Uyinn.” Ama Rimam sae baa, ayi na nyang. 
GEN.1.11	Tiri Rimam ri baa, “Afub ti irum ā tsoye. Ituku ti ku waen awaen, ti itso-yi meme, ā tsoye.” Ama ayi nde pangma ti Rimam ri. 
GEN.1.12	Ama irum ti ituku ti itsotso ti ku waen awaen tsoye meme. Ama Rimam sae baa, ayi na nyang. 
GEN.1.13	Ama usir sa te, ucwe sa famsi, uwae usir ti ita.
GEN.1.14	Ama Rimam ri baa, “Iken ti u nda itisaenkyag ā mbug ru ye uwae apwa apupwen, ti ayi ā kata usir ti utitang. Ayi ā sa ice tsi, ti ku tatso kiye ti usir ti kusang. 
GEN.1.15	Ayi ā tsen apupwen, ti uwog ā paenine riben ike.” Ama ayi nde pangma ti Rimam ri. 
GEN.1.16	Rimam mam iken ifaen tiyang tiyang. Awu ti ko siskeb ā tsi usirtaen, awu ti ko sisi ama ā tsi utitang. Awu mam aswer fa ti atang meme. 
GEN.1.17	Rimam pu yi baefa apwa apupwen ti ititsen-yi ā nda riben ike saen paenine. 
GEN.1.18	Ayi u ta risu usirtaen ti utitang, ti ayi ā kata kufarang ti kufub. Ama Rimam nung baa, ayi na nyang. 
GEN.1.19	Ama usir sa te, ucwe sa famsi, uwae usir ti inje.
GEN.1.20	Ama Rimam ri baa, “Iken ti ku nyang unyang ti tsotso ā munnkyi uwae ambyi, inung ti tsotso ā pinn apupwen ko aka uwae utense.” 
GEN.1.21	Ayine si fengo ti Rimam mam itso ibye tiyang ti ta uwae uyinn, ti itso ibye ti tsitsi ti ta uwae ambyi, fa ti itso inung meme. Ama Rimam sae baa, ayi na nyang. 
GEN.1.22	Rimam nde yi itinyang, u ri baa, “Ni mbae yiyag, ti ni mbae jwunn, ti ni jwunn kyife uwae ambyi ti uyinn meme. Inung ama ā mbae jwunn, ti ayi ā jwunn kyife utense meme.” 
GEN.1.23	Ama usir sa te, ucwe sa famsi, uwae usir ti itsong.
GEN.1.24	Rimam ri baa, “Riben ā pu ru ye iken ti site unyang ti itsotso, asinn ti iken ti site unyang ti ku kun riben, fa ti ibye kutur ti itsotso.” Ama ayi tsi pangma ti Rimam ri. 
GEN.1.25	Rimam mam ibye kutur ti itsotso ti asinn ti itsotso, fa ti iken ti ku kú riben txi txi txi. Ama Rimam sae baa, ayi na nyang.
GEN.1.26	Ama Rimam ri baa, “Tine, ti kyae unde rukwer ijwe-ti, ti awu ā si pangma ati, ti aba ā ta risu iwag ti ta uwae ambyi, ti inung ti apupwen, ti asinn, ti meme iken ti ku kyang riben ko aka meme uwae utense.” 
GEN.1.27	Ama, Rimam kyae unde rukwer ijwe-wu.
GEN.1.27	Awu kyae unde pangma ti awu Rimam si.
GEN.1.27	Awu kyae ba, urom ti unda.
GEN.1.28	Rimam wae ira na ba, u ri baa, “Ni mbae yiyag, ti ni mbae jwunn, ti ni jwunn kyife uwog meme, u ta risu utense. Ani u ta risu iwag ti ta uwae ambyi, ti risu inung ti apupwen, fa ti itso iken ti ku kyang riben meme.” 
GEN.1.29	Rimam ri baa, “Ame pu na pu m ani patag iken ti ku shab atsing, ti ayi ti ku waen awaen ti ta ko aka uwae sise ne, fa ti meme itso kutuku ti ku waen awaen ti ta utense. Ayi ā si wuci-ni. 
GEN.1.30	Ama meme iken tirisub ti ku shishab, ame pu yi na ibye kutur ti inung ti apupwen, ti itso iken ti ku kyang riben, ti meme iken ti si te unyang, ti ayi ā si wuci-ba.” Ayi tsi pangma ti Rimam ri. 
GEN.1.31	Rimam sae meme iken ti awu kyae baa, ayi na nyang timambe. Ama usir sa te, ucwe sa fam si, uwae usir ti itsongnjo.
GEN.2.1	Uwog wune, wande na apupwen ti riben ti iken ti ta uwae-yi meme mamtag. 
GEN.2.2	Rimam nde tag wande-wu, ama pu unyang uwae usir ti itsongfaen. Awu nde-wu wande iki atang be. 
GEN.2.3	Rimam waefa usir ti itsongfaen, u sa wu tsi usir ti kuko, ikyaen ti, usir wu, awu nde-wu wande iki be. 
GEN.2.4	Ayine si kuci na fengo ti Rimam mam apupwen ti riben.
GEN.2.4	Kiye ti Yaweh Rimam mam apupwen ti riben, 
GEN.2.5	utense tsi ukaen. Kiye wu, irum ti afub tsoye-yi khika be, ikyaen ti, Yaweh Rimam sa upwen tsa-wu utense khika be, unde iki ama ta-wu ti u tom riben be. 
GEN.2.6	Amaa, ambyi ku kyeb tso riben, ku nda uwog meme pu iyim.
GEN.2.7	Ama Yaweh Rimam pxag ariben, u kyae unde atang. Rimam jwu ufunn ana unyang sang unde wu ruwen, ama unde wu kafe unde ti site unyang. 
GEN.2.8	Yaweh Rimam kyae risaen kú uwae Eden ti ta uwe usir ti kiskinn, u sa unde ti awu kyae ka som atang. 
GEN.2.9	Yaweh Rimam nda itso kutuku txitxi mbug tsoye riben atang. Ituku yi nyang ti ti sae, u nyang ti ti ci ama. Yi kutampwa risaen wu, kutuku ana unyang, ti kutuku ana itinungye itinyang ti itibi tsi atang.
GEN.2.10	Uyinn iki tsoye uwae Eden atang ku jwae risaen wu. Uyinn wu kata akyikya inje. 
GEN.2.11	Rinyi ti tawe si Pishon, ti sī tswa Havila uwog ti zinariya ta atang. 
GEN.2.12	Zinariya na uwog wu nyang timambe. Bedola ti onis ti si atxom tinyang
GEN.2.13	Ti ifaen si Gihon ti sī tswa riben ti Kushi. 
GEN.2.14	Ti ita ama si Tigrisi ti sī tsa usir ti kiskinn na Ashur. Ti inje ama si Yufiretis.
