MAT.1.1	A daŋgonŋâ daŋgonŋâ muyagem gane Yesu Kristo, zâk Abaram sot Dawidi, zekât kiun muyageip. 
MAT.1.2	Abaramgâren gâbâ Isaka âsageip. Isakagâren gâbâ Yakobo muyageip. Yakobogâren gâbâ Yuda sot âtâ murâpŋâ âsagiwe. 
MAT.1.3	Yudagâren gâbâ Perese sot Sera âsagiwet. Zekât mamzik kutŋâ Tama. Peresegâren gâbâ Hesoroŋ muyageip. Hesoroŋgâren gâbâ Ram âsageip. 
MAT.1.4	Ramgâren gâbâ Aminadaba âsageip. Aminadabagâren gâbâ Nasoŋ muyageip. Nasoŋgâren gâbâ Salomoŋ âsageip. 
MAT.1.5	Salomoŋgâren gâbâ Boasi âsageip. Boasigât mamŋâ kutŋâ Rahaba. Boasigâren gâbâ Obede muyageip. Obedegât mamŋâ kutŋâ Ruti. Obedegâren gâbâ Yese âsageip. 
MAT.1.6	Yesegâren gâbâ a kutâ Dawidi muyageip. A kutâ Dawidigâren gâbâ Salomo muyageip. Dawidi zâk Uriagât ambân zo mei Salomo âsageip. 
MAT.1.7	Salomogâren gâbâ Rehabeam muyageip. Rehabeamgâren gâbâ Abia âsageip. Abiagâren gâbâ Asa âsageip. 
MAT.1.8	Asagâren gâbâ Yosapata muyageip. Yosapatagâren gâbâ Yoram muyageip. Yoramgâren gâbâ Usia muyageip. 
MAT.1.9	Usiagâren gâbâ Yotam âsageip. Yotamgâren gâbâ Ahasi muyageip. Ahasigâren gâbâ Hisikia âsageip. 
MAT.1.10	Hisikiagâren gâbâ Manase muyageip. Manasegâren gâbâ Amon âsageip. Amongâren gâbâ Yosia muyageip. 
MAT.1.11	Yosiagâren gâbâ Yekonia sot âtâ murâpŋâ âsagiwe. Kâsaziŋâ Yuda a gâsum diiziŋgâm Babilonia hânân âine âsagiwe. 
MAT.1.12	Oi zoren Yekoniagâren gâbâ Salatie muyageip. Salatiegâren gâbâ Serubabe muyageip. 
MAT.1.13	Serubabegâren gâbâ Abidu muyageip. Abidugâren gâbâ Eliakim âsageip. Eliakimgâren gâbâ Aso muyageip. 
MAT.1.14	Asogâren gâbâ Sadoko âsageip. Sadokogâren gâbâ Akim muyageip. Akimgâren gâbâ Eliudu muyageip. 
MAT.1.15	Eliudugâren gâbâ Eleasa muyageip. Eleasagâren gâbâ Mataŋ muyageip. Mataŋgâren gâbâ Yakobo muyageip. 
MAT.1.16	Yakobogâren gâbâ Yosepe âsageip. Zâk Mariagât apŋâ oip. Mariagâren gâbâ Yesu âsageip. Zâkkât kutŋâ Kristo sâmen. Kutŋâ zorat topŋâ itâ. Zâk bâliŋan gâbâ mâkâniŋgâbap.
MAT.1.17	Âsaâsagiŋ zo itâ âsagiwe. Abaramgâren gâbâ âsagem gane Dawidi âsageip, teŋgâziŋâ kiin kimembut uap. Oi Dawidigâren gâbâ muyagem gane Yuda a Babilonia hânân âiwe, zo teŋgâziŋâ kiin kimembut uap. Oi narâk zoren gâbâ âsagem gane Kristo muyageip, zo yatigâk kiin kimembut uap.
MAT.1.18	Yesu Kristo muyageip, zorat topŋâ itâ. Mamŋâ Maria Yosepegât siŋgi sâne ândeip. Siŋgi sânetâ tirik tirik ândiwet. Ândeitâ Tirik Kaapumŋâ Maria sot pâlâtâŋ oi kâmboŋâ oip. 
MAT.1.19	Maria zâk kâmboŋâ oi ko Yosepeŋâ nâŋgip. Oi zorat topŋâ mân nâŋgipkât nâŋgi mân dâp oip. Yosepe a târârakŋâ ândeipkât umŋan itâ nâŋgip, “Nâ diŋâ a ambân mâteziŋan sa aŋun opapkât tigâk birâbat.” 
MAT.1.20	Yatâ upat sâm nâŋgâm ândei Kembugât sumbem a ŋâiŋâ umanân muyagem itâ sâm dukuip, “Yosepe, Dawidigât kiunŋâ, ambingâ mimbam um zagât mân upan. Tirik Kaapumŋâ zâk sot pâlâtâŋ oipkât kâmboŋ op katep mimbap. 
MAT.1.21	Nanŋâ mimbap. Mei ko zâkkât kutŋâ Yesu sâban. Zâkŋâ a ambân gakârâpŋâ bâliŋaŋgât tâgân gâbâ olaŋziŋgâbap.”
MAT.1.22	Kut ŋâi ŋâi muyageip, zo Propete a ŋâiŋâ Kembugât sâtkât den itâ sâip, zo bonŋâ oip,
MAT.1.23	“Nâŋgânek. Ambân sigan ŋâiŋâ kâmboŋâ op nanŋâ mimbap. Zâkkât kutŋâ Imanue sâbi (Niiŋ denân ko Anutuŋâ nen sot ândiap).”
