GEN.1.1	Diyà te puunà midlimbag te Megbevayà is langit wey is kelibutan. 
GEN.1.2	Ne zutun, kenè pa hustu is kegkeveeli te kelibutan ne wazè din taǥù. Ne ziyà te zivavew te utew mezalem he wahig ne utew merusirem, diyà medriǥuriǥu is Mulin-ulin te Megbevayà.
GEN.1.3	Ne migkaǥi zutun is Megbevayà te, “Mehimu is kerayag!” Ne nehimu en dutun is kerayag. 
GEN.1.4	Ne naahà te Megbevayà he meupiya haazà is kerayag, ne impedsivey zin is kerayag wey is kerusireman. 
GEN.1.5	Ne haazà is kerayag, migngezanan te Megbevayà te “maandew”, ne haazà is kerusireman, ne migngezanan din te “mezukilem.” Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is nehuna he andew.
GEN.1.6	Ne migkaǥi zutun is Megbevayà te, “Mehimu is elang dutun te wahig su wey mezezuwa he vahin.” 
GEN.1.7	Ne zutun nehimu is elang ne pinaaǥi kayi impedsivey zin is wahig he ziyà te zizalem wey is wahig he ziyà te zivavew. 
GEN.1.8	Ne haazà is elang, migngezanan te Megbevayà he “hewhewanan.” Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is ikezuwa he andew.
GEN.1.9	Ne migkaǥi zutun is Megbevayà te, “Mesevaha ziyà te sevaha he lugar is wahig kayi te kelibutan para medlepew is memaza he lugar.” Ne nehimu haazà. 
GEN.1.10	Ne haazà is memaza, migngezanan te Megbevayà he “tanà” ne haazà is insivey zin he wahig, migngezanan din he “zaǥat.” Ne naahà te Megbevayà he meupiya haazà. 
GEN.1.11	Ne zutun migkaǥi is Megbevayà te, “Medtuvù diyà te tanà is migkelingulingu he menge pinemula: is menge pinemula he zuen menge lisu wey is minsan hengkey he kayu he ebpemeǥas sumalà te kelasi zan.” Ne nehimu haazà. 
GEN.1.12	Midtuvù dutun te tanà is langun he kelasi te menge sagbet he zuen dan lisu wey is minsan hengkey he kayu he ebpemeǥas he zuen lisu ziyà te menge veǥas dan. Ne naahà te Megbevayà he meupiya zaan haazà. 
GEN.1.13	Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is iketelu he andew.
GEN.1.14	Ne migkaǥi zutun is Megbevayà te, “Mehimu ziyà te langit is menge mesiǥa su wey zuen tuus te maandew wey mezukilem. Egkehimu zaan haazà he tuus te menge timpu te menge tuig wey menge andew. 
GEN.1.15	Egkehimu haazà he menge idtayew ziyà te langit su wey meteyawi is kelibutan.” Ne nehimu haazà. 
GEN.1.16	Su midlimbag dutun te Megbevayà sikan is dezuwa he utew mesiǥa: ne haazà is dekelà, ibpetayew zin te tanà emun maandew, ne haazà daan is sevaha, ne ibpetayew zin te tanà emun mezukilem. Ne midlimbag din daan is menge vituen. 
GEN.1.17	Ne heini is langun, insavuk din diyà te langit wey meteyawi is kelibutan, 
GEN.1.18	ne wey pinaaǥi zutun metapid is maandew wey mezukilem, wey is merayag wey merusirem. Ne naahà te Megbevayà he meupiya zaan haazà. 
GEN.1.19	Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is ikeepat he andew.
GEN.1.20	Ne migkaǥi zutun is Megbevayà te, “Mehimu ziyà te menge wahig is utew medmezakel he linimbag he egeǥehinawa wey ebpezumdumahà ne mehimu zaan is utew mezakel he menge tagbis he ebpemenlayang diyà te hewhewanan he zivavew te tanà.” 
GEN.1.21	Umbe midlimbag te Megbevayà is utew zekelà he menge isdà wey is langun he menge linimbag he egeǥehinawa wey ebpenlayewlayew wey ebpezumdumahà he utew medmezakel ziyà te wahig. Ne midlimbag din daan is minsan hengkey he kelasi te menge tagbis. Ne naahà te Megbevayà he meupiya zaan haazà. 
GEN.1.22	Ne midtuvazan heini te Megbevayà ne ke sikandin te, “Mengevuwad kew ne mebmahabet kew utew su wey mepenù is daǥat te menge linimbag ku. Ne mebmahabet kew zaan is menge tagbis diyan te tanà.” 
GEN.1.23	Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is ikelima he andew.
GEN.1.24	Ne migkaǥi en maan is Megbevayà te, “Melimbag he ebpuun diyà te tanà is mezakel he kelasi te menge linimbag he egeǥehinawa. Melimbag is menge langgam he menge ayam wey menge leew wey is menge keranapranap.” Ne nehimu haazà. 
GEN.1.25	Su midlimbag dutun te Megbevayà is menge langgam he leew wey ayam wey is menge keranapranap he ebpenanap wey edula zini te tanà, ne naahà dutun te Megbevayà he meupiya zaan haazà.
GEN.1.26	Ne zutun migkaǥi is Megbevayà te, “Edhimuwen tew is menusiyà he iring kenitew su wey zan meveyveyai is menge isdà diyà te zaǥat wey is menge tagbis diyà te hewhewanan wey is menge langgam he ayam wey leew wey is menge keranapranap he ebpenanap wey edula ziyà te tanà. Ebeyveyaan dan is tivuuk he tanà.” 
GEN.1.27	Ne midlimbag dutun te Megbevayà is menusiyà he iring kandin. Midhimu zin sikandan he mekeiring kandin te Megbevayà. Maama wey vahi is midlimbag din. 
GEN.1.28	Ne midtuvazan sikandan te Megbevayà ne migkeǥiyan din sikandan te, “Mevuwad kew ne mebmehabet kew su wey niw meeneb is kelibutan. Iyan kew mebayàbayà dini te tanà. Iyan kew mebayàbayà te menge isdà diyà te zaǥat wey te menge tagbis he ebpemenlayang diyà te hewhewanan wey te menge linimbag he egeǥehinawa he edhipanew zini te tanà.” 
GEN.1.29	Ne migkaǥi zutun is Megbevayà te, “Idtuǥut ku keniyu he egkeenen niw is minsan hengkey he sagbet he zuen din beǥas wey is minsan hengkey he veǥas te kayu he ebpemeǥas he zuen lisu ziyà te menge veǥas din. 
GEN.1.30	Ne haazà is menge langgam he ziyà te tanà, wey is menge tagbis he ebpemenlayang diyà te hewhewanan, wey is menge keranapranap he ebpenanap, wey is minsan hengkey he egeǥehinawa, idtuǥut ku kandan he egkeenen dan is minsan hengkey he menge meilem he sagbet.” Ne nehimu haazà. 
GEN.1.31	Ne zutun mid-ahà te Megbevayà is langun he nelimbag din, ne utew iyan haazà meupiya. Ne mibmezukilem dutun, ne hein nepawè en, ne nehimu is ikeenem he andew.
GEN.2.1	Ne zutun nepasad te Megbevayà is kedlimbaǥa te langit, te kelibutan, wey te langun he taǥù dutun.
GEN.2.2	Ne zutun te ikepitu he andew, geina te nepasad en te Megbevayà haazà is langun he menge vaal zin, midhimeley sikandin he ebaal. 
GEN.2.3	Ne midtuvazan te Megbevayà is ikepitu he andew ne migkaǥi zin daan he segradu haazà su midhimeley sikandin dutun te kedlimbaǥa zin te langun. 
GEN.2.4	Iyan heini sikan is keguǥuza te kedlimbaǥa zengan te langit wey kelibutan.
GEN.2.4	Dengan hein midlimbag te 
GEN.2.5	wazè pa pinemula kayi te kelibutan wey wazè pa zaan benì he nenuvù, su wazè din pa ipeuzan su wazà etew he ebpekaatur te tanà. 
GEN.2.6	Dutun he timpu zuen gapun he ebpuun te tanà ne pinaaǥi zutun egkahames is tivuuk he tanà.
GEN.2.7	Ne zutun midlimbag te 
GEN.2.8	Ne zutun mibeelan te 
GEN.2.9	Ne zuen menge kayu he impetuvù dutun te 
GEN.2.10	Ne zuen wahig diyà te Eden he ziyà ebayà te pemuleey su wey mevinyaǥi is menge pinemula zutun. Ne zutun nehimu haazà is wahig he ebpuunan duen te heepat he menge wahig. 
GEN.2.11	Is ngazan te nehuna he wahig ne Pishon. Iyan haazà sikan is wahig he ziyà edtudà te tivuuk he tanà he Havila he zutun duen egkaahà he vulawan. 
GEN.2.12	Lunsey he vulawan is ebpuun dutun, ne zuen daan dutun sikan is mahalen he pehemut he bidilyum wey zuen daan dutun menge mahalen he vatu he uniks. 
GEN.2.13	Is ngazan dutun te ikezuwa he wahig ne Gihon. Diyà heini edtudà te tivuuk he tanà he Cush. 
