MAT.1.1	Satu dit matuntunan dat ginnapuwan Jesu Kristu un kaganakan didit Ali David un ganak didit Abraham.
MAT.1.2	Sadit Abraham, aman dit Isaac. Sadit Isaac, aman dit Jacob un aman Juda kan sadadit sunud na. 
MAT.1.3	Sadit Juda, aman dadit Fares kan Zara ot sadit Tamar dit ina da. Sadit Fares, aman dit Esron un aman Aram. 
MAT.1.4	Sadit Aram, aman dit Aminadab. Sadit Aminadab, aman dit Naason un aman Salmon. 
MAT.1.5	Sadit Salmon, aman dit Boaz un sadit Rahab dit ina na. Sadit Boaz, aman dit Obed ot sadit Ruth dit ina na. Sadit Obed, aman dit Jesse. 
MAT.1.6	Sadit Jesse, aman dit Ali David.
MAT.1.6	Sadit David, aman dit Solomon un imputut na utdit siguda asawan dit Urias.
MAT.1.7	Sadit Solomon, aman dit Roboam. Sadit Roboam, aman dit Abias un aman Asa. 
MAT.1.8	Sadit Asa, aman dit Josafat. Sadit Josafat, aman dit Joram. Sadit Joram dit kapuunan Ozias.
MAT.1.9	Sadit Ozias, aman dit Joatam. Sadit Joatam, aman dit Acaz un aman Hezekias. 
MAT.1.10	Sadit Hezekias, aman dit Manases. Sadit Manases, aman dit Amon un aman Josias. 
MAT.1.11	Sadit Josias, kapuunan dit Jeconias kan sadadit susunud na. Siyatu dit timpu un namapilitan dat iBabilonia un nangaḻ-an sidat iyIsrael un pinambalin da dida’n baba-unon.
MAT.1.12	Utdit inggawan da ud Babilonia, naiyanak si Salatiel ot si Jeconias dit amana. Sadit Salatiel, apun didit Zorobabel.
MAT.1.13	Sadit Zorobabel, aman dit Abiud. Sadit Abiud, aman dit Eliakim un aman Azor. 
MAT.1.14	Sadit Azor, aman dit Sadoc. Sadit Sadoc, aman dit Akim un aman Eliud. 
MAT.1.15	Sadit Eliud, aman dit Eleazar. Sadit Eleazar, aman dit Matan un aman Jacob. 
MAT.1.16	Ot sadit Jacob, aman ud Jose un asawan Maria un nangiyanak kan Jesus un mauguda Kristu.
MAT.1.17	Ot manipud kan Abraham inggana kan David awad da ud kagwampuḻu’t opata lonap. Kagwampuḻu’t opata lonap uman manipud kan David inggana’t dit naidallayan da ud Babilonia ot kagwampuḻu’t opata lonap payyan manipud sit naidallayan da ud Babilonia ingganaon sit naiyabengan Kristu.
MAT.1.18	Kama’t tu dit kaugudan dit naiyabengan Jesu Kristu. Si Maria un inana naipaad kan Jose, yoong utdit daan da payyan man-asawa natigammuwan Maria un nabugiyon maipagapu’t dit pannakabalin Ispiritu Santu. 
