MAT.1.1	Salbacü Jesus Abrahampïtawan Davidpa milayninpïmi śhamun. Paypa awquilluncuna caycunam cala:
MAT.1.2	Abrahampa chulinmi Isaac.
MAT.1.2	Isaacpa chulinñatacmi Jacob. Jacobpa chulincunañatacmi Judäwan śhullcancuna.
MAT.1.3	Judäpa chulincunañatacmi Tamarćhu Fareswan, Zara. Farespa chulinñatacmi Esrom.
MAT.1.3	Esrompa chulinñatacmi Aram. 
MAT.1.4	Arampa chulinñatacmi Aminadab.
MAT.1.4	Aminadabpa chulinñatacmi Naason. Naasonpa chulinñatacmi Salmon.
MAT.1.5	Salmonpa walmin Rahabćhümi Booz chulin cala; Boozpañatacmi walmin Rutćhu Obed chulin.
MAT.1.5	Obedpa chulinñatacmi Isaí. 
MAT.1.6	Isaïpa chulinñatacmi Israelpa puydï mandänin David.
MAT.1.6	Mandacü Davidpa chulinñatacmi Salomon. Paypa mamanmi cañä Uriaspa walmin.
MAT.1.7	Salomonpa chulinñatacmi Roboam. Roboampa chulinñatacmi Abias.
MAT.1.7	Abiaspa chulinñatacmi Asa. 
MAT.1.8	Asap chulinñatacmi Josafat.
MAT.1.8	Josafatpa chulinñatacmi Joram. Jorampa chulinñatacmi Uzias.
MAT.1.9	Uziaspa chulinñatacmi Jotam. Jotampa chulinñatacmi Acaz.
MAT.1.9	Acazpa chulinñatacmi Ezequias. 
MAT.1.10	Ezequiaspa chulinñatacmi Manases.
MAT.1.10	Manasespa chulinñatacmi Amon. Amonpa chulinñatacmi Josias.
MAT.1.11	Josiaspa chulincunañatacmi Jeconiaswan lluy śhullcancuna. Chayćhümi Israel caśhtacunäta Babilonia malca prïsucta puśhaculcäla.
MAT.1.12	Chayćhüñam Jeconiaspa chulin Salatiel cala.
MAT.1.12	Salatielpa chulinñatacmi Zorobabel. 
MAT.1.13	Zorobabelpa chulinñatacmi Abiud.
MAT.1.13	Abiudpa chulinñatacmi Eliaquim. Eliaquimpa chulinñatacmi Azor.
