GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
GEN.1.2	Dugukolo labɛnnin tun tɛ, a lakolon tun lo. Yɔrɔ bɛɛ tun ye jii ye, min ka dun, ni dibi b'a sanfɛ. Ala Nii tun be munumunu jii sanfɛ.
GEN.1.4	Ala y'a ye ko yeelen ka ɲi. A ye yeelen ni dibi faran ka bɔ ɲɔgɔn na. 
GEN.1.5	Ala ye yeelen tɔgɔ la ko tile, ka dibi wele ko suu. Suu kora, dugu gwɛra. O kɛra loon fɔlɔ ye.
GEN.1.7	A kɛra ten, Ala y'a kɛ furancɛ bɔra sanfɛ jii ni duguma jii cɛ. 
GEN.1.8	Ala ye o furancɛ tɔgɔ la ko sankolo. Suu kora, dugu gwɛra. O kɛra loon filanan ye.
GEN.1.9	Ala ko: «Duguma jiiw ka lajɛn yɔrɔ kelen na, yɔrɔ janin ka bɔ.» A kɛra ten. 
GEN.1.10	A ye yɔrɔ janin tɔgɔ la ko dugukolo, ka jii lajɛnnin tɔgɔ la ko kɔgɔji. Ala y'a ye k'o ka ɲi.
GEN.1.11	Ala ko: «Dugukolo ka biin bɔ ka kisɛ kɛ ani yiri minw be den, o sifa bɛɛ ka falen.» A kɛra ten. 
GEN.1.12	Biin sifa bɛɛ falenna, kisɛ be minw na, ani yiri minw be den, o sifa bɛɛ, ka kɛɲɛ n'u cogo ye. Ala y'a ye k'o ka ɲi. 
GEN.1.13	Suu kora, dugu gwɛra. O kɛra loon sabanan ye.
GEN.1.14	Ala ko: «Yeelenbɔfɛnw ka kɛ sankolo la ka tile ni suu bɔ ɲɔgɔn na. U ka kɛ taamasiɲɛw ye ka ɲanagwɛw ni tilew ani saanw cogo yira. 
GEN.1.15	U ka kɛ yeelenbɔfɛnw ye sankolo la ka yeelen bɔ dugukolo kan.» A kɛra ten. 
GEN.1.16	Ala ye yeelenbɔfɛn belebele fila dan, u la belebeleba be yeelen bɔ tilefɛ, fitini be yeelen bɔ sufɛ. A ye lolow fana dan. 
GEN.1.17	A ye yeelenbɔfɛn nunu bila sankolo la, u ka yeelen bɔ dugukolo kan, 
GEN.1.18	k'a bɔ tilefɛ ani sufɛ, ani ka yeelen ni dibi bɔ ɲɔgɔn na. Ala y'a ye k'o ka ɲi. 
GEN.1.19	Suu kora, dugu gwɛra. O kɛra loon naaninan ye.
GEN.1.20	Ala ko: «Nimanfɛn ka kɛ jii kɔnɔ caaman yɔrɔ bɛɛ, ani kɔnɔw ka to ka van sanfɛ.» 
GEN.1.21	Ala ye jii kɔnɔ fɛnbabaw dan caaman, ani fɛɛn ɲanaman sifaw bɛɛ minw be yaala jii kɔnɔ. A ye kɔnɔ sifaw bɛɛ dan fana. Ala y'a ye k'o ka ɲi. 
GEN.1.22	Ala ye barika don u la k'a fɔ u ye ko u ka deenw wolo ka caya ka kɔgɔji fa, kɔnɔw fana ka caya dugukolo kan. 
GEN.1.23	Suu kora, dugu gwɛra. O kɛra loon duurunan ye.
GEN.1.24	Ala ko: «Dugukolo ka fɛɛn ɲanaman sifaw bɛɛ bɔ: begɛnw, fɛɛn minw be fofo, ani kongosogo sifaw bɛɛ.» A kɛra ten. 
GEN.1.25	Ala ye kongosogo sifaw bɛɛ dan, ni begɛn sifaw bɛɛ, ani fɛɛn minw be fofo dugukolo kan, olu sifaw bɛɛ. Ala y'a ye k'o ka ɲi. 
GEN.1.26	 Ala ko: «An ka mɔgɔ dan an yɛrɛ jaa la, a ka kɛ i n'a fɔ an yɛrɛ. A ka kɛ jigɛw, ni kɔnɔw, ni begɛnw, ni dugukolo kan fɛɛn bɛɛ kunna, ani fɛɛn minw bɛɛ be fofo dugukolo kan.»
GEN.1.27	a y'a dan k'a kɛ i n'a fɔ ale yɛrɛ.
GEN.1.27	A ye cɛɛ ni muso dan. 
GEN.1.28	Ala ye barika don u la k'a fɔ u ye ko: «Aw ka deenw wolo ka caya ka dugukolo fa k'a kolo. Aw ka kɛ jigɛw, ni kɔnɔw, ni fɛɛn ɲanamanw bɛɛ kunna, minw be yaala dugukolo kan.» 
GEN.1.29	Ala ko: «Ne be dugukolo kan biin bɛɛ di aw ma, ni yiri dentaw bɛɛ, kisɛ be minw deen kɔnɔ, aw k'o kɛ aw ka dumuni ye, 
GEN.1.30	Dugukolo kan seen naani fɛɛnw bɛɛ ni kɔnɔw bɛɛ ani fɛɛn minw bɛɛ be fofo dugukolo kan, ninakili be fɛɛn o fɛɛn na, ne be biin di olu ma u ka kɛ u ka dumuni ye.» A kɛra ten. 
GEN.1.31	Ala ye fɛɛn minw bɛɛ dan, a y'a ye k'o ɲɛna kosɔbɛ. Suu kora, dugu gwɛra. O kɛra loon wɔɔrɔnan ye.
GEN.2.1	Sankolo ni dugukolo n'u kɔnɔnafɛnw bɛɛ danni bana ten. 
GEN.2.3	Ala ye barika don tile wolonwulanan loon na k'o kɛ a yɛrɛ ta ye, bari a ye baara min bɛɛ kɛ ka diɲɛ dan, a lafiɲɛna o la o loon na.
GEN.2.4	O ye sankolo ni dugukolo daminɛcogo ye, u dantuma na.
GEN.2.4	Masa Ala ye dugukolo ni sankolo dan tuma min na, 
GEN.2.5	kongo kɔnɔ yiri si tun te dugukolo kan fɔlɔ, biin si tun ma falen fɔlɔ, bari Masa Ala tun ma sanji jigi dugukolo kan fɔlɔ. Mɔgɔ fana tun te yen ka dugukolo sɛnɛ. 
GEN.2.6	Nga jii tun be bɔ dugukolo le kɔnɔ ka yɔrɔ bɛɛ ɲigi.
GEN.2.8	Masa Ala tun ye yɔrɔɲuman dɔ labɛn kɔrɔn ɲafan fɛ, k'a tɔgɔ la ko Edɛn. A ye mɔgɔ min dan, a y'o bila o kɔnɔ. 
GEN.2.9	 Masa Ala y'a kɛ yiri ɲanaman sifa bɛɛ falenna dugukolo kan, minw ka ɲi dumuni na. A fana y'a kɛ yiri dɔ falenna yɔrɔɲuman nin cɛma, min be sii di mɔgɔ ma, ani k'a to mɔgɔ be koɲuman ni kojugu lɔn ka bɔ ɲɔgɔn na. 
GEN.2.10	Baji dɔ tun be bɔ Edɛn, ka yɔrɔɲuman nin ɲigi, a faranna ka kɛ bolo naani ye. 
GEN.2.11	Kelen tɔgɔ ko Pisɔn, ale be munumunu Awila jamana faan bɛɛ la, sanu be sɔrɔ yɔrɔ min na. 
GEN.2.12	O jamana nin sanu ye sanu yɛrɛ yɛrɛ ye. Yiri sifa dɔ be yen min jii kasa ka di, ani kabakuru kɔlɔbolaman sɔngɔgwɛlɛn sifa dɔ fana be o yɔrɔ la. 
GEN.2.13	A filanan tɔgɔ ko Giyɔn, o be munumunu Kusi jamana faan bɛɛ la. 
GEN.2.14	A sabanan tɔgɔ ko Tigiri, o be woyo ka tɛmɛ Asiri jamana kɔrɔn ɲafan na. Naaninan tɔgɔ ko Efarati.
GEN.2.15	Masa Ala ye mɔgɔ bila Edɛn, yɔrɔɲuman kɔnɔ, ko a k'a sɛnɛ k'a kɔlɔsi. 
GEN.2.16	A y'a fɔ mɔgɔ ye ko: «I be se ka yɔrɔ nin yiriw bɛɛ deen dumu 
GEN.2.17	fɔɔ yiri kelen dama, min b'a to mɔgɔ be koɲuman ni kojugu lɔn ka bɔ ɲɔgɔn na. N'i y'o deen dumu loon min na, i bena sa, siga t'a la.»
GEN.2.18	Masa Ala ko: «Cɛɛ ka to a kelen na, o ma ɲi. Ne bena dɛmɛbaga dan k'a d'a ma min y'a bɔɲɔgɔnko ye.» 
GEN.2.19	O y'a sɔrɔ Masa Ala tun ye kongosogow ni kɔnɔw bɛɛ lalaga ni bɔgɔ ye. A nana n'u ye cɛɛ fɛ janko a k'a filɛ a bena tɔgɔ min la u kan. Cɛɛ ye tɔgɔ min la fɛɛn ɲanaman nunu kelen kelen bɛɛ kan, o le kɛra u tɔgɔ ye. 
GEN.2.20	Cɛɛ ye begɛnw, ni kɔnɔw, ni kongosogow bɛɛ tɔgɔw la. Nga dɛmɛbaga ma sɔrɔ a fɛ olu cɛma min y'a bɔɲɔgɔnko ye. 
GEN.2.21	Masa Ala ye sinɔgɔba bila cɛɛ la. K'a to sinɔgɔ la, a y'a galagakolo kelen bɔ k'a farisogo kɛ a nɔɔ na yen. 
GEN.2.22	Masa Ala ye galagakolo min bɔ cɛɛ la, a ye o kɛ muso ye ka na n'a ye cɛɛ fɛ. 
GEN.2.23	Cɛɛ ko:
GEN.2.23	«Cɔ! A ɲana! Ne dɔ le ye nin ye, ne kolow dɔ lo!
GEN.2.23	A bena wele ko muso, bari a bɔra cɛɛ la.»
GEN.2.25	Cɛɛ n'a muso fari lakolon tun lo, maloya tun te yen.
GEN.3.2	Muso y'a jaabi ko: «An be se ka yɔrɔ nin yiriw deen dumu. 
GEN.3.3	Nga yiri min be yɔrɔ nin cɛmancɛ la, Ala ko an kana ale deenw dumu, ko an kana maga a la. Ko n'o tɛ, an bena sa.» 
GEN.3.4	Saa y'a fɔ muso ye ko: «Aw tena sa. 
GEN.3.5	Ala y'a lɔn ko ni aw y'o yiri nin deen dumu loon min na, aw ɲaa bena yɛlɛ, aw bena kɛ i n'a fɔ ale, ka koɲuman ni kojugu lɔn.»
GEN.3.6	Muso y'a ye k'o yiri nin deen ka di dumu na, ko a fana filɛ ka di, ani ko a be lɔnniya di mɔgɔ ma. A ye dɔ tigɛ k'a dumu ka dɔ di a cɛɛ ma a gɛrɛfɛ, ale fana y'a dumu.
GEN.3.7	O tuma na, u fila bɛɛ ɲaa yɛlɛla, u y'a lɔn ko u fari lakolon lo. O kosɔn, u ye torofuraburuw kalan ɲɔgɔn na k'u yɛrɛ sutara n'o ye. 
GEN.3.8	Wuladafɛ, tile sumana waati min na, u ye Masa Ala yaalayaalatɔ mankan mɛn yɔrɔɲuman nin kɔnɔ. U dogor'a ɲa yiriw cɛma.
