GEN.1.1	Nang pasimula ay nilikha ng Diyos ang langit at ang lupa;
GEN.1.2	ang lupa ay walang hugis o anyo. Dilim ang bumabalot sa kalaliman at kumikilos ang Espiritu ng Diyos
GEN.1.3	Sinabi
GEN.1.4	Nasiyahan ang Diyos nang ito'y mamasdan. Pinagbukod niya ang liwanag at ang dilim. 
GEN.1.5	Ang liwanag ay tinawag niyang Araw, at ang dilim naman ay tinawag na Gabi. Lumipas ang gabi, at sumapit ang umaga—iyon ang unang araw.
GEN.1.6	Sinabi
GEN.1.7	At nangyari ito. Ginawa ng Diyos na pumagitan ang kalawakan sa tubig na nasa itaas at sa tubig na nasa ibaba. 
GEN.1.8	Langit ang itinawag niya sa kalawakan. Lumipas ang gabi, at sumapit ang umaga—iyon ang ikalawang araw.
GEN.1.9	Sinabi ng Diyos: “Magsama-sama sa isang dako ang tubig sa silong ng langit upang lumitaw ang lupa.” At nangyari nga ito. 
GEN.1.10	Tinawag niyang Lupa ang tuyong bahagi at Dagat naman ang nagsama-samang tubig. Nasiyahan siya nang ito'y mamasdan. 
GEN.1.11	Pagkatapos, sinabi ng Diyos: “Magkaroon sa lupa ng lahat ng uri ng tumutubong halamang nagkakabinhi at mga punong namumunga.” At nangyari ito. 
GEN.1.12	Tumubo nga sa lupa ang gayong mga halaman. Nasiyahan siya nang ito'y mamasdan. 
GEN.1.13	Lumipas ang gabi, at sumapit ang umaga—iyon ang ikatlong araw.
GEN.1.14	Sinabi ng Diyos: “Magkaroon ng mga tanglaw sa langit upang mabukod ang araw sa gabi. Ito ang magiging batayan sa bilang ng mga araw, taon at kapistahan. 
GEN.1.15	Mula sa langit, ang mga ito'y magbibigay ng liwanag sa daigdig.” At gayon nga ang nangyari. 
GEN.1.16	Nilikha ng Diyos ang dalawang malalaking tanglaw: ang Araw, upang magbigay liwanag sa maghapon, at ang Buwan, upang tumanglaw kung gabi. Nilikha rin niya ang mga bituin. 
GEN.1.17	Inilagay niya sa langit ang mga tanglaw na ito upang magbigay ng liwanag sa daigdig, 
GEN.1.18	tumanglaw kung araw at gabi, at magbukod sa liwanag at dilim. Nasiyahan ang Diyos nang ito'y kanyang mamasdan. 
GEN.1.19	Lumipas ang gabi, at sumapit ang umaga—iyon ang ikaapat na araw.
