MAT.1.1	Tèntə diʼ təzhiʼ tə vətìʼ Yesò Klistò, wàyn Devìt yì a tìʼì wen ndiʼ Ablaham. 
MAT.1.2	Ablaham ndiʼ tìʼì Izìk diʼ tìʼì Jàkob, Jàkob ndiʼ tìʼì Judà wenə vəlèmə̀ və wen vunə lyʉmə vətsenəvə. 
MAT.1.3	Judà ndiʼ tìʼì Bèlès, be diʼ tìʼì Zelà. Ghə̀ nlù bwi vəwenə wenə Tamà. Bèlès ndiʼ tìʼì Heselòn, Heselòn diʼ tìʼì lam, 
MAT.1.4	Lam ndiʼ tìʼì Aminadàb, Aminadàb diʼ tìʼì Nashòn, Nashòn ndiʼ tìʼì Salmùn, 
MAT.1.5	Salmùn ndiʼ tìʼì Bowàs a ghə̀ mbwì wenə Lahàb, Bowàs ndiʼ tìʼì Obèd a ghə̀ mbwi wenə wì wen, Obèd ndiʼ tìʼì Jesì, 
MAT.1.6	Jesì ndiʼ tìʼì fòyn Devìt. Devìt ndiʼ tìʼì Sòlomùyn mu ghə̀ mbwi wen wenə wùwì yì a dìʼì wì Yùlayà a mbì, 
MAT.1.7	Sòlomùyn ndiʼ tìʼì Lèwobyàm, Lèwobyàm ndiʼ Abijà ndiʼ tìʼì Asà, 
MAT.1.8	Asà ndiʼ tìʼì Jèwoshafàt, Jèwoshafàt ndiʼ tìʼì Jolàm, Jolàm ndìʼ tìʼì Òzayà, 
MAT.1.9	Òzayà ndiʼ tìʼì Jotàm, Jotàm ndiʼ tìʼì Aghàs, Aghàs ndìʼ tìʼì Hèzèkaya, 
MAT.1.10	Hèzèkaya ndiʼ tìʼì Mànasè, Mànasè ndìʼ tìʼì Amòn, Amòn ndìʼ tìʼì Jòsayà, 
MAT.1.11	Jòsayà ndìʼ tìʼì Jèkònayà wenə vəlèmə̀ və wen lyʉmə vətsen və. Jòsayà nlù bwi vunə a venə a tʉʼ yi a və nlù zhɨ vunə Islel a ghòŋ tsen ghə̀ ə lyɨ̀ vəwenə ə dyʉ̀ nə̀ vəwenə a Babilòyn lì. 
MAT.1.12	A bè ndìʼ tò tʉʼ ayì a Jèkònayà mbwi Shètèl, Shètèl ndìʼ tìʼì Zèlubabèl, 
MAT.1.13	Zèlubabèl ndìʼ tìʼì Abìyùd, Abìyùd ndì tìʼì Eliyakìm, Eliyakìm ndìʼ tìʼì Asò, 
MAT.1.14	Asò ndìʼ tìʼì Zadok, Zadok ndìʼ tìʼì Akìm, Akìm ndìʼ tìʼì Elìyùd, 
MAT.1.15	Elìyùd ndìʼ tìʼì Elezà, Elezà ndìʼ tìʼì Matàn, Matàn ndìʼ tìʼì Jàkob, 
MAT.1.16	Jàkob ndìʼ tìʼì Josèf a ghə̀ lu lyɨ̀ Mèli a nə̀ wì wen. Mèli lu bwi Yesò yi a və dzàŋ nə̀ Klistò. 
MAT.1.17	Əzìtə̀ fa tʉʼ Ablaham əkuʼ zaʼa tʉʼ Devìt, vətìʼì tìʼ Yesò ndìʼ njʉ̀sə̀ kàʼ, be dìʼ tò njʉ̀sə̀ kàʼ əzaʼa a tʉʼ a və nlyɨ̀ vəwenə ə dyʉ̀ nə̀ vəwenə a Babilòyn, be dìʼ tò mu njʉ̀sə̀ kàʼ fa tʉʼ ayì əzaʼa a tʉʼ a nlù bwì Klistò.
MAT.1.18	Və bwi Yesò Klistò a ji ghèn. Lì wen Mèli ndìʼ mu və tisəli nyʉ̀ lam wen wenə Josèf mimbu vəwenə sə lam mu kəzhwì kəŋwoʼkə neli Mèli sə̀ gùfə̀. 
