GEN.1.1	A tîra Pathianin lei leh vân a siam khân 
GEN.1.2	khawvêl chuan mu leh mal a la nei lo va, tuithûkpui chung pawh a thim mup a, Pathian Thlarau chuan tui chung chu a vil reng a. 
GEN.1.3	Pathian chuan, “Êng lo awm rawh se,” a ti a, êng a lo awm ta mai a. 
GEN.1.4	Pathianin êng a hmuh chuan ṭha a ti hle a, êng leh thim chu a ṭhen hrang a. 
GEN.1.5	Pathianin êng chu ‘chhûn’ a vuah a, thim chu ‘zân’ a vuah a. Tlai a lo ni a, zîng a lo ni leh a: a ni khatna chu.
GEN.1.6	Pathian chuan, “Tui leh tui ṭhen tûrin boruak zau tak vân kumkulh awm rawh se,” a ti a. 
GEN.1.7	Pathian chuan vân kumkulh chu a siam a, kumkulh chunga tui awm leh a hnuaia tui chu a ṭhen ta a; chutiang chu a ni ta mai a. 
GEN.1.8	Pathianin kumkulh chu ‘vân’ a vuah a, tlai a lo ni a, zîng a lo ni leh a: a ni hnihna chu.
GEN.1.9	Pathian chuan, “Vân hnuaia tui chu hmun khatah tling khâwm sela, khawmual lo lang rawh se,” a ti a. Chutiang chu a ni ta mai a. 
GEN.1.10	Pathianin khawmual chu ‘lei’ a vuah a, tui tling khâwm chu ‘tuifinriat’ a vuah a. Pathianin a han en a, ṭha a ti hle a. 
GEN.1.11	Pathian chuan, “Leiah thlai, a fang neia rah chi tinrêng te, thei, a mu neia rah chi hrang hrang ṭo ṭeuh rawh se,” a ti a. Chutiang chu a ni ta mai a. 
GEN.1.12	Lei aṭang chuan thlai tinrêng, fang neia rah chi tinrêng te, thei, mu neia rah hrang hrang te a lo ṭo ta a. 
GEN.1.13	Pathianin a han en chian chuan ṭha a ti hle a. Tlai a lo ni a, zîng a lo ni leh a: a ni thumna chu.
GEN.1.14	Pathian chuan, “Chhûn leh zân awmtîr tûrin vân kumkulhah êntute awm teh se, chûng chu hun bi, ni te leh kum chhiar nân te ni sela, 
GEN.1.15	lei tiêng tûrin êntute chu vân kumkulhah chuan awm rawh se,” a ti a. Chutiang chu a ni ta mai a. 
GEN.1.16	Pathian chuan êntu lian pui pahnih leh arsite a siam a; êntu lian zâwk chu chhûna êng tûrin a ti a, a tê zâwk chu zâna êng tûrin. 
GEN.1.17	Lei ên tûr chuan Pathianin vân kumkulhah chuan êntute chu a dah a, 
GEN.1.18	thim leh êng ṭhena, chhûna êng tûr leh zâna êng tûrin. Pathian chuan a han en a, ṭha a ti hle a. 
GEN.1.19	Tlai a lo ni a, zîng a lo ni leh a: a ni lina chu.
GEN.1.20	Pathian chuan, “Tuiah nungcha awm noh noh sela, vân kumkulh hnuaia lei chungah sava thlâwk sup sup bawk rawh se,” a ti a. Chutiang chu a ni ta mai a. 
GEN.1.21	Pathian chuan tuifinriata sa hlauhawm pui pui te, a ruala lêng dûl dûl tinrêng te leh sava thla nei chi hrang hrangte chu a siam a. Pathianin a han en a, ṭha a ti hle a.
GEN.1.22	Pathian chuan mal a sâwm a, “Inthlah pung zêl ula, pung duah duah rawh u, tuifinriatah khat ula; leia savate pawh pung chiam rawh se,” a ti a. 
GEN.1.23	Tlai a lo ni a, zîng a lo ni leh a: a ni ngana chu.
GEN.1.24	“Leian thil nung tinrêng, ran te, ramsa te, leia vâk chi te lo awm noh noh rawh se,” a ti a. Chutiang chu a ni ta mai a. 
