MAT.1.1	Jijajiji palka-jarrija Tapiti-kirlangu-ngurlu manu Yipuruyamu-kurlangu-ngurlu turnu-warnu-ngurlu. 
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Nyampurrajulu yirdi-patu Jijaji-kirlangu nyurnunyurnu kujalpalu palka-jarrinja-yanu Yipuruyamu-ngurlu Tapiti-kirra: Yijaki, Jakupu, Juurda manu nyanungukupurdangka-patu; Juurda nyinajalpa-palangu kirda-nyanuju Piirijiki manu nyanungukupurdangkakuju kukurnu-nyanukuju Jiiraku. Tamuru nyinajalpa-palangu ngati-nyanu Piirijikiji manu Jiirakuju; Yijirunu, Raama, Yaminitapa, Naajana, Jalmana, Puwaja; Puwaja-kurlangu ngati-nyanuju nyinajalparla Raapa; Yuputu; Yuputu-kurlangu ngati-nyanuju nyinajalparla Ruurtu; manu Jiiji. Jiiji nyinajalparla kirda-nyanuju Kingi Tapitiki. 
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Nyampurrajulu yirdi-patu Jijaji-kirlangu nyurnunyurnu kujalpalu palka-jarrinja-yanu Tapiti-ngirli Yuwajini-kirra yangka kujalu-jana Papiluniya-wardingkirli warrmarlarlu pirijina-piya kangu panu-jarlu-yijala Yijirali-pinki yapa nguru-ngurlu nyanungurra-nyangu-ngurlu jinta-kari-kirralku kirri-kari-kirralku wurnturu Papilunu-kurra kakarrara: Julumunu, ngulaju Kingi Tapiti-kirlangu ngalapi-nyanu; Ngati-nyanu Julumunukujulparla nyinaja Pajipa; Riyupuma, Yapija, Yayaju, Jiyupaja, Jiruyama, Yujiya, Jutama, Yayaja, Yijikaya, Manaja, Yaamana, Jujiya, Yuwajini manu nyanungukupurdangka kukurnu-nyanu-patu.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Nyampurrajulu yirdi-patu Jijaji-kirlangu nyurnunyurnu kujalpalu palka-jarrinja-yanu Yuwajini-ngirli Jajupu-kurra: Yuwajini, Jiyaltilu, Jiripulpu, Yapiyu, Layikimi, Yaajuru, Jarduku, Yaajini, Yaliyurdu, Yaliyaja, Maatana, Jakupu manu Jajupu. Jajupu-kurlangu kali-nyanuju Miiri, ngulajurla ngati-nyanu Jijajiki. Jijaji yangka jinta kuja karlipa ngarrirni ‘Kiraji’.
MAT.1.17	Yuwayi, nyampuju 14-pala-kari turnu-warnu-kari ngulaju yangka kujalu Yipuruyamu-ngurlu palka-jarrinja-yanu Kingi Tapiti-kirra. Manu 14-pala-kari turnu-warnu-kari ngulaju yangka kujalu Kingi Tapiti-kirlangu-ngurlu palka-jarrinja-yanu yulyurrpu panu-puru Papilunu-wangurla-wiyi yangka kujalpalu Yijirali-pinki nyinaja pirijina-piya Papilunurla. Ngula-jangkaju, 14-pala-kari-jangkarlaju turnu-warnu-kari-jangkarlaju Jijaji Kirajilki palka-jarrija.
MAT.1.18	Miiri nyinajalpa Jijaji Kirajikipalangu ngati-nyanuju. Ngulajulparla nyurru-warnu-jala jangku-pinja-warnulku nyinaja Jajupukuju ngulaju murnma-juku jinta-jarrinja-wangu-wiyi-jiki. Miirirliji-nyanu purda-nyangu-ngarrarla kurdu marlaja mardarni Pirlirrpa Kaatu-kurlanguku. 
MAT.1.19	Miiri-kirlangurlu kali-nyanurlu Jajupurlu purda-nyangu ngula Miirilpa nyinaja miyalulku. Kula nyarrpa-jarriyarla. Kula nyiyaku marrararluju kurntaku ngurrju-mantarla yapa panungka. Kujarlaju, Jajupurlu-ngarra wurulyparlu kangkarlalku Miiri kuwurtu-kurra karlirr-mardarninja-ngarntirli.
MAT.1.20	Ngulalpa-nyanu manngu-nyangu Jajupurlu Miiri-warnu, Warlalja-Wiri-kirlangu marramarrarla yanurnu jukurrparla, manurla wangkaja Jajupuku, “Jajupu, nyuntujunpa Tapiti-kirlangu turnu-warnu-jangka. Kurnta-wangu nyinaya! Kutu kangka-nyanu Miiriji yungungku nyuntukulku kali-nyanuju nyina. Yali kurdu miyalurla, ngulaju kula wati-kari-kirlangu. Pirlirrpa Kaatu-kurlangurlurla yirrarnu miyalu-kurraju. 
MAT.1.21	Miirirli kapu wirriya mardarni. Nyuntulurlu kapunparla yirdiji yirrarni ‘Jijaji’. Yirdi-ka wangka kuja: ‘Kapi-jana muurl-mardarni yapa panuju maju-kujaku manu karlirr-yaninja-kujaku.’ ”
MAT.1.22	Yangka-juku jurrku-juku yimi junga kujarla yangka milki-yirrarnu jarukungarduyuku Yijayaku nyurru-wiyi, ngulaju yirrarnu Payipulurlalku:
MAT.1.23	“Kamina-warnu jinta kapu nyinami miyalu wati-kirli ngunanja-wangurla-wiyi. Nyanungurlu kapu mardarni kurdu wita wirriya. Manu kapurla yirdi yirrarni ‘Yimanyulu’.”
MAT.1.24	Junga-juku, Jajupu yakarra-pardijalku jukurrpa nyanja-warnuju. Yanu, manu Miirilki wungu-kurra-manu yangka kujarla marramarraju wangkaja jungarni-juku Jajupukuju jukurrparla maninjakuju Miirikiji. 
MAT.1.25	Ngula-warnuju, palka-jarrinja-wangurla-wiyi Jijajikiji, kulalpa-pala ngunaja ngurrangka jintangka, lawa. Ngula-warnurlaju, karrmulypa-jarrijalku Miiriji, ngulakuju-palarla yirdilki yirrarnu Jijaji.
MAT.2.1	Wati jinta yirdi Yarurdu nyinajalpa wiri kingi ngurungkaju yirdingka Jurdiyarla. Ngula-puru-juku Jijajiji palka-jarrija kirri witangka Pijilimirla. Nguru-karirla, pinangkalpa-patu ngulalpalu yanjilypiri yirri-puraja kankarlarra, yanurnulu nguru-kurraju Jurujulumu-kurra. Wurnturu-kari-jangka yanurnulu nguru nyanungu-nyangu-ngurlu kakarrara-ngurlu Jurujulumu-kurra. 
