GEN.1.1	Puꞌun-puꞌun it langit baw banwa, giyuna it Ampuꞌang Diyus. 
GEN.1.2	Giyuna ya nga banwa, ega pay itsura baw ega pay maski unu nga betang. Madlem pang madlem, baw danum paꞌ i palelkep. Iyan Espiritu Santo it Ampuꞌang Diyus, subuk magdedengdeng kanya kat sagpaw it mabakat paꞌ nga danum. 
GEN.1.3	Bawnga miyampang i Ampuꞌang Diyus nga maat ya, “Ireg ku may eyag na.” Egay beken, sakaling may eyag na. 
GEN.1.4	Naltegan it Ampuꞌang Diyus nga magayen i eyag ngayting giyuna ya. Egay beken, biyagiꞌ ya i timpu it madlem baw maꞌyag. 
GEN.1.5	Piyangaranat Ampuꞌang Diyus i maꞌyag ngayti, aldawun. Madlem ngayti, delemen. Egay beken, diminlem i uꞌnang aldaw.
GEN.1.6	Pagꞌeyag maat siꞌ it Ampuꞌang Diyus, “Ireg ku mabagiꞌ it lawang i danum ngayni. May kat salu. May duꞌut dibwat.” 
GEN.1.7	Ta, naꞌatkayti nga matuud. Giyuna ya i lawang nga miyagiꞌ it danum kat salu baw danum duꞌut dibwat. 
GEN.1.8	Pagkabwat siꞌ it Ampuꞌang Diyus it itiꞌen, piyangaranan ya it langit i lawang ngayti nga miyagiꞌ. Miyapu-apun baw diminlem i ikadwang aldaw.
GEN.1.8	Bawnga pagꞌeyag siꞌ, 
GEN.1.9	maat siꞌ it Ampuꞌang Diyus, “Ireg ku nga mabulun na i danum kat sinirungat langit kat sadili ya nga rugar isaꞌun may malbawan nga rugar.” Ta, miyatkayti nga matuud. 
GEN.1.10	Pagkaguna ya sit itiꞌen ngayti, lugtaꞌ i ipiyangaran yat nalbawan ngayting rugar. Danum ngayting nabulun, nga maglilibut it nalbawan ngayti nga rugar, dagat i ipiyangaran ya. Naltegan it Ampuꞌang Diyus nga magayen gasiꞌ i iting giyuna ya. 
GEN.1.11	Iyan naguna nat Ampuꞌang Diyus i lugtaꞌ, maat ya, “Ireg ku, tubuꞌan na i lugtaꞌ ngayni it kalasi-kalasing luwak nga magkabiꞌniyan baw muꞌsang kayu nga mamagbuwaꞌ it kanya-kanyang buwaꞌ nga alitan.” Ta, timnubuꞌ nga matuud i muꞌsa ngayting inaat ya nga tumubuꞌ. 
GEN.1.12	Tiyubuꞌan i lugtaꞌ it kalasi-kalasing luwak nga daꞌgay-daꞌga magkabiꞌniyan baw muꞌsang mga kayu nga mamagbuwaꞌ it kanya-kanyang buwaꞌ nga alitan. Naltegan it Ampuꞌang Diyus nga magayen gasiꞌ i iting giyuna ya. 
GEN.1.13	Diminlem nay ikatlung aldaw.
GEN.1.13	Bawnga pagꞌeyag siꞌ, 
GEN.1.14	inaat siꞌ it Ampuꞌang Diyus, “Ireg ku nga resaan it magꞌeyag i langit nga imandaꞌan it delemen baw aldawun, baw itu gasiꞌ i mga tandaꞌanan it timpu nga magsugid it mga aldaw baw mga bulan baw mga taꞌun. 
GEN.1.15	Ituꞌun ngaytuy mamagꞌeyag duꞌut langit isaꞌun abutun nagat eyag nira i banwa.” Ta, sakaling may mga iti na ngayting matuud. 
GEN.1.16	Giyuna it Ampuꞌang Diyus i duwa nga dakulang banar i eyag nira. Iyan piyakamaꞌyag i singkar ya, aldawun i kanyang ipagꞌeyag. Iyan sangbat, meyag ga in delemen, atnaga i mga bituꞌun. 
GEN.1.17	Iti ngayting mga magꞌeyag nga giyuna ya, purus duꞌut langit i bintangan ya, isaꞌun eyagan nira i banwa. 
GEN.1.18	May magꞌeyag nga magtaban it aldawun. Subung naga i delemen, nga itu nay imandaꞌan it delem na baw aldaw na, ka ipagpablag niray kaꞌyagan kat kadleman. Naltegan it Ampuꞌang Diyus nga magayen gasiꞌ i iting giyuna ya. 
GEN.1.19	Diminlem i ikaꞌpat nga aldaw.
GEN.1.19	Bawnga iyan miyaldaw siꞌ, 
