MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
MAT.1.2	Ибрайымнан Ысақ туўылды. Ысақтан Яқып туўылды. Яқыптан Яҳуда ҳәм оның аға-инилери туўылды. 
MAT.1.3	Яҳуда менен Тамарадан Парес ҳәм Зара туўылды. Парестен Ҳесрон туўылды. Ҳесроннан Рам туўылды. 
MAT.1.4	Рамнан Аминадаб туўылды. Аминадабтан Наҳшон туўылды. Наҳшоннан Салмон туўылды. 
MAT.1.5	Салмон менен Раҳабтан Боаз туўылды. Боаз бенен Руттан Обид туўылды. Обидтен Ишай туўылды. 
MAT.1.6	Ишайдан Даўыт патша туўылды.
MAT.1.6	Даўыт пенен бурын Урияның жубайы болған ҳаялдан Сулайман туўылды. 
MAT.1.7	Сулайманнан Реҳабам туўылды. Реҳабамнан Абия туўылды. Абиядан Аса туўылды. 
MAT.1.8	Асадан Ешофат туўылды. Ешофаттан Иорам туўылды. Иорамнан Узия туўылды. 
MAT.1.9	Узиядан Иоатам туўылды. Иоатамнан Аҳаз туўылды. Аҳаздан Езекия туўылды. 
MAT.1.10	Езекиядан Манасия туўылды. Манасиядан Амон туўылды. Амоннан Иосия туўылды. 
MAT.1.11	Бабилонға сүргин етилгенде, Иосиядан Ехония ҳәм оның инилери туўылды.
MAT.1.12	Бабилонға сүргин етилгеннен кейин, Ехониядан Шалтиел туўылды; Шалтиелден Зерубабел туўылды. 
MAT.1.13	Зерубабелден Абиҳуд туўылды; Абиҳудтан Елиаким туўылды; Елиакимнен Азор туўылды. 
MAT.1.14	Азордан Садоқ туўылды; Садоқтан Ахим туўылды; Ахимнен Елихуд туўылды. 
MAT.1.15	Елихудтан Елиазар туўылды; Елиазардан Маттан туўылды; Маттаннан Яқып туўылды. 
MAT.1.16	Яқыптан Мәриямның күйеўи Юсуп туўылды. Мәриямнан Масих деп аталған Ийса туўылды.
MAT.1.17	Солай етип, ҳәммеси болып: Ибрайымнан Даўытқа дейин он төрт урпақ, Даўыттан Бабилонға сүргин етилиўге дейин он төрт урпақ, Бабилонға сүргин етилгеннен Масихқа дейин он төрт урпақ.
MAT.1.18	Ийса Масихтың туўылыўы былай болды: Оның анасы Мәриям Юсупке атастырылғаннан кейин, олар қосылмастан бурын, Мәриямның Мухаддес Руўхтан
