GEN.1.1	Yakapde hikngä Anätutä kepkät yekäpkät yawän yiwikin. 
GEN.1.2	U yawän yiwikin gwenune, kewu moyo wom yiwikut. Tiwän kupilä täkngatä yanggä gwende enetängä yiwikut. Tiwän Anätule Wawunggä yanggä unggwende enetängä kungapgut.
GEN.1.3	Tixäwik Anätutä using yakut. “Kwakäpä täknga tingalayok,” yawän, kwakäpä täknga tingalakut. 
GEN.1.4	Tiwän kwakäpä uläknganin kake, täke natäpgut. Tikengä kwakäpä täkngaxät kupilä täkngaxät matäkut. 
GEN.1.5	Matäke, kwakäpätäne umanä “kwakäpä” yang inikut. Tikengä kupilätäne umanä “kupilä” yang inikut. Tiwän täpduxu yakawu unggwenu tukwake kwakakut.
GEN.1.6	Tiwänä Anätutä using yakut. “Yanggä matäwikge, wangga womdu yanggä bänäkängän tingalayok,” yawän, 
GEN.1.7	inä u yakut using tike, uwomdä yanggä bänäkängän matäwän, yanggä käwutdu uwomde enetängä yiwän, käwutdu kematde yiwikut. 
GEN.1.8	Tiwän wangga uwomu umanä “yekäp” yang inikut. Tiwän täpduxu 2 unggwenu tukwake kwakakut.
GEN.1.9	Tiwänä Anätutä using yakut. “Yanggä yekäp gepbine yiwixaxu womdunekän täku yiwän, womdu koxolä yiwiyok,” yawän, inä u yakut using tikut. 
GEN.1.10	Tiwän koxolä yiwikulu uwomu umanä “kep” yang inike, yanggä u päku yiwikulu umanä “yanggä gwen” yang inikut. Tikengä unin dayike, täke natäpgut.
GEN.1.11	Tikengä hipdu using yakut. “Kep däkänetä songäsongä, pa, äwä nak yang alätnong. Tike salinä inäinäne alätnong,” yawän, inä u yakut using alakin. 
GEN.1.12	Kep däkäne songäsongä, pa äwä nak yang doke, salinä inäinäne alakin. Tiwän unin dayike, täke natäpgut. 
GEN.1.13	Tiwän täpduxu 3 unggwenu tukwake kwakakut.
GEN.1.14	Tiwänä Anätutä using yakut. “Kwakäpä täknga äwä kupilä täknga yang tuwängutningge, kakalä gwenggwenu yekäwune alätnong. Tikengä hopä täpduk, gusit täpduk, äwä täpduxu inulung gwenggwen yangu tuwängutning. 
GEN.1.15	Itä yekäwune yiwike, kep däkäle kwakäpä imining,” yäwan, inä u yakut using alakin.
GEN.1.16	Anätutä kakalä inulungu gwenalä pahakut. Kakalänä inulung hikngä gwenu, kwakäpänele tahakut. Tikengä kakalänä mätekngä bimä gwenu, kupilänele tahake, kuminamkäyä pahakut. 
GEN.1.17+GEN.1.18	Tikengä kep däkäle kwakäpä imike, kupilä täknga kwakäpä täknga yang matäke daying yiwitningge, yekäwune pewän yiwikin. Tikengä unin dayike, täke natäpgut. 
GEN.1.19	Tiwän täpduxu 4 unggwenu tukwake kwakakut.
GEN.1.20	Tiwänä Anätutä using yakut. “Yanggä gwenkätanu pis, hängä ulung pahanangäsä yangu meya yiwitnong. Tixawän kwäwitkäyä alake, enetängä wepmähikunong,” yang yakut. 
GEN.1.21	Hängä inulung hikngä täpäläpä yanggä gwenkätan yiwixaying äwä hängä undä ulung tahake yanggä gwenkätanu meyä yiwixaying yangu, inäinäne pahakut. Tixäwik kwäwitkäyä inäinäne undä pahakut. Tikengä unin dayike, täke natäpgut.
GEN.1.22	Tikengä hängä u pahakulu, wam gwalängu using yämikut. “Pisu duksäng sakngälake, yanggä gwenu yiwä dopsok. Tixawän kwäwitkäyä kewune meyä sakngälätnong,” yakut. 
GEN.1.23	Tiwän täpduxu 5 unggwenu tukwake kwakakut.
GEN.1.24	Tiwänä Anätutä using yakut. “Kälawu kep däkäne nanä inäinäne alätnong. Kälawu songäne nanä, kälawu äminsak äwä gwakgwak yangu inäinäne alätnong,” yawän, hängä inä u yakut using alakin. 
GEN.1.25	Anätutä kälawu songäne nanä, kälawu äminsak, äwä gwakgwak yangu inäinäne pahake, unin dayike, täke natäpgut.
GEN.1.26	Tikengä using yakut. “Äminu nihä bimä pahanim. Tiwän itä hängäläpä yanggäne nanä, kwäwilu enetängä nanä, kälawu songäne nanä, kälawu äminsak, äwä hängäläpä undä kep däkäne nanä yang daying yiwitning,” yake, 
GEN.1.27	Anätutä äminu inä bimä pahakut. Wäwi mängälä yangu inä hikngä bimä pahakut.
GEN.1.28	Tikengä wam gwalängu using yämikut. “Engangu meyä dukngisol. Tiwän unetä sakngälake, kewune yiwitäke kuwä dopän, hänga undä daying yiwitnong. Tike pisu yanggäne nanä, äwä kwäwilu enetängä nanä, äwä kälawu kep däkäne nanä yangge kuhiläle yiwitnong,” yang yakut.
GEN.1.29	Tikengä hipdu using yänikut. “Kätak natäpsol. Nätä naxu tämbam salin bimä,
GEN.1.30	Tiwän songäsongä undä kälap, kwäwit yanggä näningge yäminggat,” yawän inä u yakut using tikin.
GEN.1.31	Tiwän Anätutä hängä undä u pahakulunin dayike, täke hikngä natäpgut. Tiwän täpduxu 6 unggwenu tukwake kwakakut.
GEN.2.1	Anätutä kepkät yekäpkät pahake, hängäläpä undä inäinäne nomän hikngä pepulukut.
GEN.2.2	Tiwänä täpduxu 7 gwendä kwakawänu, puyä awahapulukutde, moyo yiwikut. 
GEN.2.3	Tike täpduxu 7 gwenu wam gwaläng imike, tahawän takwän tikut, inale puyä awahapulukutde, täpduxu unggwenune, inä Anätu moyo yiwikut.
GEN.2.4	Wamu aläknga kepkät yekäpkät yawän yiwikindäne. Anätu Yawetä
