GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
GEN.1.2	У чағда йәр шари шәкилсиз вә қуп-қуруқ һаләттә болуп, суларни қараңғулуқ қаплиған еди. Худаниң Роһи су үстидә аста пәрваз қилип жүрәтти. 
GEN.1.3	Худа: «Йоруқлуқ болсун!» дегән еди, йоруқлуқ пәйда болди. 
GEN.1.4+GEN.1.5	Худа йоруқлуқниң яхши екәнлигини көрди. Шуниң билән У йоруқлуқни қараңғулуқтин айриди вә йоруқлуқни «күндүз», қараңғулуқни болса «кечә» дәп атиди. Кечә-күндүз өтүп, бу тунҗа күн болди. 
GEN.1.6	Андин Худа: «Суларниң жуқури-төвән иккигә айрилип туруши үчүн, уларниң арисида бир һава бошлуғи болсун!» дәп әмир қилди. 
GEN.1.7	Шуниң билән бир һава бошлуғи пәйда болуп, униң астидики суларни үстидики сулардин айриди. Худаниң әмри билән шундақ болди. 
GEN.1.8	Худа бу һава бошлуғини «асман» дәп атиди. Кечә-күндүз өтүп, бу иккинчи күн болди. 
GEN.1.9	Андин Худа: «Асманниң астидики сулар бир йәргә жиғилсун вә қуруқ топа көрүнсун!» деди. Худаниң әмри билән шундақ болди. 
GEN.1.10	Худа қуруқ топини «йәр», жиғилған суларни болса «деңиз» дәп атиди. Худа буларниң яхши екәнлигини көрди. 
GEN.1.11	Андин Худа йәнә: «Йәрдә һәр хил өсүмлүкләр; уруқлуқ вә мевилик болуп, өз түрлири бойичә үнүп чиқсун!» деди. Худаниң әмри билән шундақ болди. 
GEN.1.12	Шуниң билән йәр йүзидә һәр хил уруқлуқ вә мевилик өсүмлүкләр өз түрлири бойичә үнүп чиқти. Худа буларниң яхши екәнлигини көрди. 
GEN.1.13	Кечә-күндүз өтүп, бу үчинчи күн болди. 
GEN.1.14	Худа йәнә: «Асманда йоруқлуқ беридиған җисимлар болсун. Улар кечә билән күндүзни пәриқләндүрүп, күн, пәсил вә жилларни айрип турушта бәлгү болсун. 
GEN.1.15	Бу җисимлар нур чечип, йәр йүзини йорутуп турсун!» дәп әмир қилди. Худаниң әмри билән шундақ болди. 
GEN.1.16	Худа йоруқлуқ беридиған икки чоң җисимни яратти, қуяшни күндүзни башқуридиған, айни кечини башқуридиған қилди. Һәм Худа йәнә юлтузларниму яратти. 
GEN.1.17+GEN.1.18	Йәр йүзини йорутуш, күндүз билән кечини башқуридиған қилиш вә йоруқлуқни қараңғулуқтин айриш үчүн, Худа йоруқлуқ беридиған җисимларни асманға орунлаштурди вә уларниң яхши екәнлигини көрди. 
GEN.1.19	Кечә-күндүз өтүп, бу төртинчи күн болди. 
GEN.1.20	Худа йәнә: «Су һәр хил җанлиқлар билән толсун, асманда һәр хил учар қанатлар учсун!» дәп әмир қилди. 
GEN.1.21	Буниң билән Худа суда яшайдиған әҗайип-ғарайип җанлиқларни, һәр хил чоң-кичик белиқларни вә асмандики һәр хил учар қанатларни өз түрлири бойичә яратти. Худа бу җанлиқларниң яхши екәнлигини көрди. 
GEN.1.22	Худа бу җанлиқларға бәхит ата қилип: «Суда яшиғучи җанлиқлар көпийип, деңиз-муһитларни толтурсун, учар қанатлар йәр йүзидә көпәйсун!» деди. 
GEN.1.23	Кечә-күндүз өтүп, бу бәшинчи күн болди. 
GEN.1.24	Худа йәнә: «Йәр йүзидә һәр хил җаниварлар — өй һайванлири вә чоң-кичик явайи һайванатлар пәйда болсун!» деди. Худаниң әмри билән шундақ болди. 
GEN.1.25	Шуниң билән Худа йәр йүзидә һәр хил җаниварларни өз түрлири бойичә яратти вә уларниң яхши екәнли­гини көрди. 
GEN.1.26	Андин Худа: «Бизниң обризимиздәк, йәни роһий җәһәттин Бизгә охшайдиған инсанларни яритайли. Улар һәр хил җаниварларни —деңиз-муһиттики белиқлар, асмандики учар қанатлар, барлиқ өй һайванлири вә чоң-кичик явайи һайванатларни башқуридиған болсун!» дәп әмир қилди. 
GEN.1.27	Буниң билән Худа инсанни Өз обризидәк яратти, 
GEN.1.27	Уни Өзигә охшайдиған қилип яратти, 
GEN.1.27	Шундақла уларни әр вә аял қилип яратти. 
GEN.1.28	Худа уларға бәхит ата қилип мундақ деди: «Пәрзәнт көрүп көпийиң­лар, йәр йүзини қаплап, дунияни бойсундуруңлар. Шундақ­ла деңиз-муһиттики белиқлар, асмандики учар қанатлар, шуниңдәк пүтүн җаниварларни башқуруңлар. 
