GEN.1.1	Wattunna napahandu' Puang Allataala umpadadi langi' anna lino, 
GEN.1.2	inde lino tä'pi ma'lesoam anna lo'bäpi; malillim pättä ussamboi le'bo' kalua', anna Penaba Masehona Puang Allataala ma'leba-leba yabona le'bo'.
GEN.1.3	Iya ma'kadam Puang Allataala naua: “La dadi masiä!” Iya dadim masiä. 
GEN.1.4	Dadii indo masiä, iya mapia naita Puang Allataala. Napasibala'um indo malillim anna masiä. 
GEN.1.5	Indo masiä nasangai allo anna indo malillim nasangai bengi. Lessu' bengi sule mebengngi', iam too uhuna allo.
GEN.1.6	Puhai ia too ma'kada oom Puang Allataala naua: “La dadi pesapa'na uwai yabo anna uwai dio.” 
GEN.1.7	Iya napadadim indo pesapa' la ussapa' uwai yabo anna uwai dio. 
GEN.1.8	Indo pesapa' nasangai lawwa. Lessu' oom bengi sule mebengngi', iam too allo kaduanna.
GEN.1.9	Puhai ia too ma'kada oom Puang Allataala naua: “Ingganna uwai dio ibi'na langi' la ma'mesa lako mesa ongeam anna mala deem ongeam tää'na keuwai.” Iya dadim ia too. 
GEN.1.10	Nasangaim indo mabanginna galantangam anna indo keuwainna nasangai ia le'bo'. Iya mapia oom naita Puang Allataala.
GEN.1.11	Anna mane ma'kada Puang Allataala naua: “Galantangam la umpakende' ma'hupa-hupa tanangam susinna: tanangam ma'lise' anna kaju kembua ma'lise' anna mala dipopamulaam liu.” Iya dadim ia too. 
GEN.1.12	Indo galantangam umpakende'um ma'hupa-hupa tanangam: tanangam ma'lise' anna kaju kembua ma'lise' anna mala deem liu pamulaam. Iya mapia oom naita Puang Allataala. 
GEN.1.13	Lessu' oom bengi sule mebengngi', iam too allo katallunna.
GEN.1.14+GEN.1.15	Puhai ia too ma'kada oom Puang Allataala naua: “La deem yabo langi' to la ma'pomasiä', la umpasibala' allo anna bengi. Anna la dipangngissanni wattu anna allo sola taum, anna la umpomasiä' lino.” Iya dadim ia too. 
GEN.1.16	Napadadim Puang Allataala dua handam kasalle to la ma'pomasiä'. Indo kasallena isanga mata allo la umpahe' masiä anna isanga bulam la umpahe' bengi. Anna napadadii duka' ingganna bintä. 
GEN.1.17	Ingganna ia too napadadi asam yabo langi' anna malai umballoi lino 
GEN.1.18	anna umpahe' allo anna bengi anna la umpasibala' masiä anna malillim. Iya mapia oom naita Puang Allataala. 
GEN.1.19	Lessu' oom bengi sule mebengngi', iam too allo kaappa'na.
GEN.1.20	Puhai ia too ma'kada oom Puang Allataala naua: “Illaam le'bo' la naponnoi ma'hupa-hupa bau anna olo'-olo' senga', anna yabo lawwa la sikatia' ma'hupa-hupa dassi.” 
GEN.1.21	Iya napadadim ma'hupa-hupa olo'-olo' le'bo' mengkalao kasallena sule lako bahinni'na umponnoi le'bo', anna umpadadi ingganna hupanna dassi. Iya mapia oom naita Puang Allataala. 
GEN.1.22	Anna mane natamba' indo issinna le'bo' naua: “Pembea'koa' anna mala umponnoi liukoa' le'bo'.” Susi siam duka' untamba' indo ingganna mentia'na anna malai duka' membea' lako lino. 
GEN.1.23	Lessu' oom bengi sule mebengngi', iam too allo kalimanna.
GEN.1.24+GEN.1.25	Puhai ia too ma'kada oom Puang Allataala naua: “Inde lino la umpassubum ingganna olo'-olo' ma'bitti' appa'na anna tissollo'na, susi manahanna teem malaihanna.” Iya napadadim ingganna olo'-olo' ma'bitti' appa'na anna tissollo'na, susi manahanna teem malaihanna. Dadii ia too, iya mapia oom naita Puang Allataala.
GEN.1.26	Anna mane ma'kada Puang Allataala naua: “Tapapiaia' hupatau la susikia' anna la ia umpahe' ingganna bau dio le'bo', ingganna dassi yabo lawwa anna olo'-olo' manahanna anna tissollo'na sola ingganna issinna lino.”
GEN.1.27	Iya napapiam Puang Allataala hupatau susi hupanna. Natampa susi hupanna Puang Allataala. Muane anna baine napadadi.
GEN.1.28	Anna mane natamba' anna ma'kadai naua: “Pembea'koa' anna mala umponnoi lino pessubummu anna la ungkuasaia' ingganna issinna. La umpahe' ingganna bau dio le'bo', ingganna dassi yabo lawwa, anna ingganna olo'-olo' illaam inde lino.
GEN.1.29	Pehingngii! Kubeemmokoa' ingganna tanangam ma'lise' anna ingganna kaju kembua ma'lise' illaam inde lino la mendadi kinandemua'. 
GEN.1.30	Anna lako ia ingganna olo'-olo' illaam lino sola ingganna dassi yabo lawwa, battu diua ingganna menabanna, kubeem duka' ingganna tanangam la mendadi kinandena.” Iya dadim ia too.
GEN.1.31	Iya naitam Puang Allataala indo ingganna pa'padadinna tä' deem pada samapia. Lessu' oom bengi sule mebengngi', iam too allo kaannanna.
GEN.2.1	Susim too napapuha umpadadi langi' anna lino sola ingganna issinna Puang Allataala.
GEN.2.2	Tappana lambi' allo kapitunna puha asammi indo ingganna aka-aka napadadi Puang Allataala. Iya allo iam too naongei tohho Puang Allataala aka dadi asammi pa'padadinna. 
GEN.2.3	Natamba'um anna napasähä' allo kapitunna, aka allo iam too naongei Puang Allataala tohho aka dadi asammi pa'padadinna.
GEN.2.4	Susi inde tulasanna indo anna napadadi Puang Allataala langi' anna lino:
GEN.2.4	Wattunna anna napadadi Puang Allataala DEBATAnta langi' sola lino, 
GEN.2.5	tä'pi deem humpu' tubo dio mai litä' anna tä'pi deem tanangam mukku' dio mai bela', aka tä'pi deem napatuhum Puang Allataala DEBATAnta uham. Anna pa'depi duka' hupatau ungkähä litä'. 
GEN.2.6	Sapo' anggam deem susi langullo buttu dio mai litä' si umbossi'i ingganna aka-aka lako lino. 
GEN.2.7	Iya mualam sobä' Puang Allataala DEBATAnta anna natampai mesa tau, mane nasimbuhu'i tama illäna penaba mepatubo nasuhum tubo.
GEN.2.8	Tappana puha ia too, umpapiam bela' Puang Allataala DEBATAnta dio tandai mata allo illaam Eden, anna napatadongkonni indo tau puha napadadi illaam indo bela'. 
GEN.2.9	Iya napatubom Puang Allataala DEBATAnta ma'hupa-hupa kaju si mapi'dä' diita anna si mapia buana mala diande. Anna illaam tängäna indo bela' tubo satoo' kaju la mala mepatubo anna satoo' kaju la mala mepaissanni kamapiaam anna kakadakeam.
GEN.2.10	Deem mesa salu muola Eden si ullessä'i indo bela'. Umpellei indo bela', iya tibahe appa'um. 
GEN.2.11	Mesa disangai Salu Pison. Salu ia too muola lako lembäna Hawila, indo ongeam si dipangngalai bulabam. 
GEN.2.12	Bulabanna ongeam ia too mapia. Deem toi duka' dama' bubanau' anna batu masulli'.
GEN.2.13	Anna kaduanna disangai Salu Gihon. Salu ia too muola lako ia lembäna Kush. 
GEN.2.14	Anna katallunna disangai Salu Tigris, mangngola lako ia tandai mata allona Asyur. Anna kaappa'na disangai ia Salu Efrat.
GEN.2.15	Naeli' Puang Allataala DEBATAnta indo tau anna napatadongkonni illaam bela' Eden, aka la nakähä anna najagai. 
GEN.2.16	Mane napahentai Puang Allataala DEBATAnta naua: “Ingganna bua kaju illaam inde bela' mala asam muande. 
GEN.2.17	Anggam buana indo kaju mepaissanni kamapiaam anna kakadakeam, tä' si'da-si'da ia la mala muande. Aka maka' muande la mate eta siangko.”
GEN.2.18	Puhai ia too ma'kadam Puang Allataala DEBATAnta naua: “Tä' mapia ke anggam mesa-mesanna inde tau tubo. Dadi mapia ke dipapiaanni duka' solana, to la sihatam umpamoloi.”
GEN.2.19	Anna mane mualai litä' anna natampai ingganna hupanna olo'-olo' si diona galantangam sola ingganna hupanna dassi yabo lawwa. Puhai natampa, nababam lako olona Adam aka la pantam nasangai anna napehingngii Puang Allataala aka la nasangaiam. Iai too nasangaiam indo olo'-olo', ia lium too sanganna. 
GEN.2.20	Iya nasangaim indo ingganna olo'-olo', susi manahanna teem malaihanna sola ingganna dassi.
GEN.2.20	Sapo' tä'pi ia deem naita Adam la sihatanna nasi'dim la mala umpamoloi.
GEN.2.21	Iya napalimpe'um mamma' Puang Allataala DEBATAnta indo Adam. Mahassanni mamma' naäläim mesa usu'na, mane natampi'i sule indo pangngalaanna. 
