GEN.1.1	Blŭng-a Kră Yang 'Bok Kei-Dei pơjing plĕnh păng teh. 
GEN.1.2	Teh ưh kơ đei hơbŏ păng ưh kơ đei kiơ lăm noh, tơ jơ̆p-jang oei măng mu ngăl, Yang Bơhngol 'Lơ̆ng Kră Yang 'Bok Kei-Dei asơ̆ng kơpal đak.
GEN.1.3	Kră Yang 'Bok Kei-Dei khan thoi âu: “Athei đei hơdah,” na đei hloi hơdah;a 
GEN.1.4	Kră Yang 'Bok Kei-Dei 'bôh tơdrong hơdah noh 'lơ̆ng, na klah asong hơdah hăm măng mu. 
GEN.1.5	Kră Yang 'Bok Kei-Dei anăn hơdah noh “Kơ'năr”; măng mu noh “Kơmăng”. Thoi noh đei kơsơ̆ păng pơgê; noh jơ̆ năr mă mônh.
GEN.1.6	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Athei đei anê̆ rơwơ̆ng wă kơ klah asong đak hăm đak.” 
GEN.1.7	Kră Yang 'Bok Kei-Dei pơjing anê̆ rơwơ̆ng noh, klah asong đak tơ ala anê̆ rơwơ̆ng păng đak tơ kơpal anê̆ rơwơ̆ng; na đei hloi thoi noh. 
GEN.1.8	Kră Yang 'Bok Kei-Dei anăn anê̆ rơwơ̆ng noh “Plĕnh”. Thoi noh đei kơsơ̆ păng pơgê, noh jơ̆ năr mă 'bar.
GEN.1.9	Kră Yang 'Bok Kei-Dei khan thoi âu: “Lu đak tơ ala plĕnh athei akŭm minh anih păng athei đei anih hrĕng kro;” na đei hloi thoi noh. 
GEN.1.10	Kră Yang 'Bok Kei-Dei anăn anih hrĕng kro noh “Teh”, gah mă đak akŭm băl noh anăn đak “Dơsĭ”. Kră Yang 'Bok Kei-Dei 'bôh dôm tơdrong noh 'lơ̆ng. 
GEN.1.11	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Teh athei chăt 'long pơle, 'nhĕt 'nhot; đei găr adrĕch, 'long plei đei găr, kiơ̆ kơ adrĕch khŭl tơ kơpal teh âu.” Đei hloi thoi noh. 
GEN.1.12	Teh chăt 'nhĕt 'nhot; 'long đei găr kiơ̆ kơ adrĕch. Kră Yang 'Bok Kei-Dei 'bôh tơdrong noh 'lơ̆ng. 
GEN.1.13	Thoi noh đei kơsơ̆ păng pơgê; noh jơ̆ năr mă pêng.
