GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
GEN.1.2	I banwe ani landè fa too bawehan, du landè fa déén. Na di klamang i mahin too kmifu, na too mgal nus mdà di Tulus Dwata, mbal di tah i mahin ani.
GEN.1.3	Na di bang ani, mdek Dwata, manan, “Ani too nun lwa.” Na tamalwa nan. 
GEN.1.4	Di kite Dwata i lwa, lehew kenen. Kafnge én, santanin i lwa di kifu. 
GEN.1.5	Na dnagitan i lwa dunan “mduh”, na dnagitan i kifu dunan “butang”. Na mlius i butang na mlius i mduh, na tafnge i tnanin duh.
GEN.1.6	Kafnge én, mdek Dwata, manan, “Ani banlenggu di gutngà, fye nun yéél di tah i banwe, na nun di dungan.” 
GEN.1.7+GEN.1.8	Di kagmanan ani gasil mgimò. Na i bleng nimoan ani dnagitan “langit”. Na langit i samtani i yéél di tahan na i yéél di dunganan. Na mlius i butang, na mlius i mduh, na tafnge i galwen duh.
GEN.1.9	Kafnge én, mdek Dwata, manan, “Ani mastifun i yéél dungan i langit, du fye nun gukafagan.” Di kagmanan ani gasil mgimò. 
GEN.1.10	Na dnagitan i gukafag ani dunan, “tanà”, na dnagitan i yéél tamastifun dunan, “mahin”. Di kite Dwata i mgimoan, lehew kenen.
GEN.1.11	Kafnge én, mdek Dwata, manan, “Ani dee bung dad tmabò di tah tanà na dee bung kayu. Na kdee di dale munge fye lêman tmabò.” Di kagmanan ani gasil mgimò. 
GEN.1.12	Na dee bung tmabò na dee bung dad kayu nun bunge lamnok di tah tanà. Di kite Dwata i mgimoan, lehew kenen. 
GEN.1.13	Na mlius i butang, na mlius i mduh, na tafnge i gatlun duh.
GEN.1.14	Kafnge én, mdek Dwata, manan, “Ani nun dad mneng msut di langit, du fye samtani i mduh di butang. Én i mlé ilè gugmadè i dad duh, na i dad fali, na i dad bang mangamfù di Dwata. 
GEN.1.15	Na dad mneng ani i msut di langit, du mneng na mlé kalwa di tanà.” Di kagmanan ani gasil mgimò. 
GEN.1.16	Na nimoan lwe malbang too mneng. Nimoan i duh, du mneng di mduh na nimoan i bulen du mneng di butang. Na nimoan i dad blatik. 
GEN.1.17	Kdee ani fkah Dwata di langit du fye mlé kalwa di tanà. 
GEN.1.18	Én i gal mneng di mduh na butang, du fye mastani i lwa di kifu. Di kite Dwata i mgimoan, lehew kenen. 
GEN.1.19	Na mlius i butang, na mlius i mduh, na tafnge i gfatan duh.
GEN.1.20	Kafnge én, mdek Dwata, manan “Ani nun dee bung mnè di lam i mahin na di yéél, na nun dee bung dad anuk di bnas mayeng di tah i tanà.” 
GEN.1.21	Taman tamgimò Dwata i dad malbang, na dee dademe bung mnè di lam i mahin na di yéél, na dee bung dad anuk di bnas. Di kite Dwata i mgimoan, lehew kenen. 
GEN.1.22	Na nun kafye blén di kdee dad mgimoan ani, na manan di dad nalaf, “Mbel gamu, du fye mbaling gamu dee di klamang i mahin na yéél.” Na manan di dad anuk di bnas, “Mbel gamu di klamang tanà.” 
GEN.1.23	Na mlius i butang, na mlius i mduh, na tafnge i glimen duh.
GEN.1.24	Kafnge én, man Dwata, “Ani nun dee bung lmanaf mnè di tah tanà, i dad lmanaf mnalam, na nun mlayal, na dad malbang, na dad malnak lmanaf.” Di kagmanan ani gasil mgimò. 
GEN.1.25	Na tamgimò Dwata kdee dad lmanaf ani gine. Di kiten i mgimoan, lehew kenen.
GEN.1.26	Kafnge én, man Dwata, “Ani mimò agu i dad to salngad i deg kagkah. Na fdatahgu ale di dad nalaf di mahin, di dad anuk di bnas, di kdee dad lmanaf, dad mnalam na dad mlayal, dad malbang na dad malnak. Na i dad to ani i magot kadang i kdee tamgimògu.”
GEN.1.27	Taman tanimò Dwata i dad to. Nimoan ale salngad i kenen kagkah. Na tanimoan ale lagi na libun.
GEN.1.28	Kafnge én, nun kafye blén di dale, na manan, “Mbel gamu, du fye nun dad belyu mnè na mebe i klamang tanà. Gamu sa fagotgu i dad nalaf di mahin na yéél, na dad anuk di bnas gal mayeng, na i dad kdee dad lmanaf i mnè di tah i tanà, dad mnalam na dad mlayal.”
GEN.1.29	Lêman talù Dwata, manan, “Blégu gamu kdee dad tmabò di tanà, na i kdee dad kayu nun bunge, du fye nun knaanyu. 
GEN.1.30	Lêman blégu di dad lmanaf na di dad anuk di bnas, i dad sabat na i dad doon i dad kayu, du fye nun knaan i kdee dad mnè di tah i tanà.” Di kagmanan ani gasil mgimò.
GEN.1.31	Di kite Dwata i kdee mgimoan, too kenen lehew. Na mlius i butang, na mlius i mduh, na tafnge i gnaman duh.
GEN.2.1	Ani gine i kfagu Dwata di kgimoan i langit, i klamang banwe na i dad kdee i fkahan di mgimoan ani.
GEN.2.2	Na di kakel i gfitun duh, tatlag Dwata mimò, du tafnge i kdee mgimoan. 
GEN.2.3	Taman nun kafye gmanan gablà di gfitun duh, manan, “Nimògu duh ani too mabtas.” Gmanan ani, du i duh ani tatlag di kdee nimoan.
GEN.2.4	Én sa i santulen gablà di kgimò Dwata i langit na i banwe.
GEN.2.4	Di kimò Dwata i Amu, i langit na banwe, 
GEN.2.5	landè fa fule tmabò di tanà, du là fa fulen Dwata i Amu, na landè fa to mimò di tanà. 
GEN.2.6	Kabay balù landè ulen, tanun yéél tambul di lam i tanà du fye fafê i klamang tanà. 
GEN.2.7	Kafnge én, mwè Dwata i Amu tanà, du nimoan to mdà di tanà ani. Kafnge én, nyufan i ilung i to ani, na gasil lamnawa, na tamto.
GEN.2.8	Kafnge én, tanun tukay banwe i gunun dad kayu, i nimò Dwata i Amu, gsen di gusut i duh dnagit Idén. Na ditù gufnean i to tanimoan. 
GEN.2.9	Na falnok Dwata i Amu, dee bung kayu déén. Too fye baweh dad kayu ani na i dad bungela too fye knaan. Na di gutngà i dad fule, tafule Dwata lwe kayu, satu kayu én, mlé nawa landè sen, na i satu, mlé gnadè gablà ku tan i fye na tan i sasè.
GEN.2.10	Na nun satu yéél di Idén ani, maloh na myéél i dad fule déén. Mdà di Idén, yéél ani dee syatan, du masatngà di fat, na mbaling fat yéél. 
GEN.2.11	I tnanin yéél dnagit Fison, na maloh salu di klamang banwe Habila. 
GEN.2.12	Dini di banwe ani gumite i too glut blawen, na i fye bun litak di kayu, na dad batu mabtas. 
GEN.2.13	Dagit i galwe yéél dunan Gihon, na maloh di klamang banwe dnagit Kus. 
GEN.2.14	Na i gatlu yéél, dunan Tigris, maloh salu di gsen di gusut i duh di banwe dnagit Asirya. Na Yufratis i dagit i gfat yéél.
GEN.2.15	Na dini di tukay banwe gunun kayu nimò Dwata, dnagit Idén, gufnean i to tamgimoan, du fye mimò kenen di tanà na mifat i dad fule déén. 
GEN.2.16	Na flalò Dwata i Amu i to ani, manan, “Fakay ge kmaan i bunge kdee dad kayu di gumneam ani, 
GEN.2.17	bay nang ge kmaan i bunge i kayu mlé gnadé gablà ku tan i fye na tan i sasè. Du ku kmaan ge i bungen, too ge mati.”
GEN.2.18	Na lêman talù Dwata i Amu, manan, “Là sa fye ku i to aloan satu mnè. Taman mimò agu i demen salngad kenen, du fye nun tmabeng kenen.”
GEN.2.19	Kafnge én, nebe Dwata i Amu di to tamgimoan i kdee dad lmanaf, i kdee dad anuk di bnas, na i kdee dad tamgimoan mdà di tanà, du fimoan kenen dagitla. Na balù tan i dagitan i kat satu dad mto ani, én i dagitan. 
GEN.2.20	Na i to ani i mimò dagit i kdee bung lmanaf, na dad anuk di bnas.
GEN.2.20	Kabay landè di dale blà kenen du nimò demen. 
GEN.2.21	Taman fkudang Dwata i Amu, i to ani, na too fye kakudangan laan falus tamwan, na klon kudang nwè Dwata i satu lohokan. Na kafngen sansuléan i ungad di gumwean i lohok to ani. 
GEN.2.22	Na mdà di lohokan ani, nimò Dwata i Amu satu libun, na neben i libun ani di lagi. 
GEN.2.23	Na man i lagi,
GEN.2.23	“Kenen tagablà demegu du i tulanan fdu di deg tulan,
GEN.2.23	na i ungadan fdu di deg ungad,
GEN.2.23	dnagitgu kenen libun,
GEN.2.23	du mgimò mdà di lagi.”
GEN.2.24	Na ani i duen i lagi tmagak i maan na yéan, na mbaling satu di yaanan, na i lwe ani mgimò satu.
GEN.2.25	Balù flaweh i lagi na libun ani, là ale sa myà.
GEN.3.1	Na di kdee dad mlayal lmanaf mgimò Dwata i Amu, i ulad i too fulung mgaw. Taman satu duh man i ulad di libun, “Too glut kè, fnang gamu Dwata kmaan i balù tan bunge di dad kayu di dad fule ani?”
GEN.3.2	Na tmimel i libun di ulad, manan, “Fakay gami sa kmaan bunge i dad kayu ani. 
GEN.3.3	Kabay man Dwata nun satu kayu di gutngà i dad fule ani, i bungen làmi fakay knaan, na fnangan gami magot i bungen, du ku ani nimòmi mati gami.” 
GEN.3.4	Kabay man i ulad, “Bong là, là gamu sa mati. 
GEN.3.5	Én gman Dwata di gamu, du gadean ku kmaan gamu bunge i kayu atù, mbaling gamu fulung faldam, na mbaling gamu salngad kenen, du balù gamu gmadè ku tan i fye na ku tan i sasè.”
GEN.3.6	Kafnge én, di kite i libun i bunge i kayu én too gablà knaan, na too fye bawehan, na fandaman fye ku mbaling kenen fulung faldam, taman nlifoan bunge i kayu én na knaanan. Na blén i dademe di yaanan, na knaanan. 
GEN.3.7	Di kakaanla bunge i kayu én, mbaling ale fulung faldam, na dilèla ale flaweh. Taman mwè ale dad doon i kayu fig, na nilolla na labédla di lawehla.
GEN.3.8	Di fan kasdaf i duh lingela lduk i Amula Dwata magu di lam dad fule. Taman salbuni ale di lam i dad kayu. 
GEN.3.9	Kabay Amula Dwata, tlon i lagi, manan, “Tanè ge?”
GEN.3.10	Na tmimel i lagi, manan, “Lingegu i ldukam magu di lam i dad fule ani, na too agu likò, du flaweh agu, taman salbuni agu.”
GEN.3.11	Na snalek Dwata kenen, manan, “Simto kè mangman flaweh ge? Kmaan ge kè bunge i kayu fnangta ge?”
GEN.3.12	Na tmimel i lagi, manan, “I libun blém di deg, kenen sa mlé deg bunge i kayu én, na knaangu.”
GEN.3.13	Na Amula Dwata, snalekan i libun, manan, “Tan kè i duenam mimò ani?”
GEN.3.13	Tmimel i libun, manan, “Hae, du fangaw agu i ulad, taman gamkaan agu.”
GEN.3.14	Taman man Dwata i Amu di ulad,
GEN.3.14	“Fanlayamta ge du mdà di sasè nimoam ani.
GEN.3.14	Di kdee dad lmanaf, i dad mnalam, na i dad mlayal,
GEN.3.14	alò ge magu di kaflayam ani.
GEN.3.14	Mdà ani, fulu ge di tanà,
GEN.3.14	na too ge kmaan kfung di tanà kel di kfatim.
GEN.3.15	Sanduengu gamu,
GEN.3.15	ge na i libun, na i dad belan, na i dad belam,
GEN.3.15	na mbaling gamu snang nawa kel di atuan.
GEN.3.15	I belan ndakan kadang i ulum,
GEN.3.15	na nakétam i takadan.”
GEN.3.16	Na man Dwata di libun,
GEN.3.16	“Tananùgu i kaflayamam fagu di ksut i dad ngaam.
GEN.3.16	Di ksut i dad ngaam, too sasè katduk lyom.
GEN.3.16	Kabay balù fa ani i kaflayamam,
GEN.3.16	knean là mgili i knayeam di yaanam.
GEN.3.16	Na yaanam i mebe ge.”
GEN.3.17	Na manan di lagi dnagit ku Adam, “Du flinge ge di yaanam, kmaan ge bunge i kayu fnangta ge.
GEN.3.17	Taman i tanà ani fakufgu di kaflayam.
GEN.3.17	Kel di kfatim, too ge fgal mimò di tanà du fye nun gablà knaanyu.
GEN.3.18	Na dad samfinit na dademe sabat nun sual gal tmabò na lamnok di tanà.
GEN.3.18	Na toom fanngabal kadang dademe kakaanyu tmabò di bnas.
GEN.3.19	Too ge fadlug mimò kel di kaloh i tum,
GEN.3.19	du fye i dad fulem di tanà tmabò na lamnok.
GEN.3.19	Na ani i nimoam kel di kasfuléam di tanà gufdum.
GEN.3.19	Hae, du mgimò ge mdà di tanà,
GEN.3.19	na kadang satu duh lêman ge sa mbaling tanà.”
GEN.3.20	Di kagman Dwata kdee ani gine, dnagit Adam i yaanan, dunan Iba, du kenen mbaling yê di kdee dad to.
GEN.3.21	Na mimò Dwata i Amu klaweh ale Adam na Iba mdà di kindal i dad lmanaf na kanlawehan ale.
GEN.3.22	Na man Dwata i Amu, “I dad to ani tambaling ale salngad deg, du tagmadè ale i fye na i sasè. Taman là fakay ku nwèla i bunge i kayu mlé nawa landè sen, du ku gkaanla là ale mati kel di landè sen.” 
GEN.3.23	Taman falwà ale Dwata di banwe Idén i gunun fule, du fimoan di tanà, i tanà gumdàla.
