GEN.1.1	A tung in Pathian in lei leh van a siam.
GEN.1.2	Lei a sia a, a vuak kia ahi. Tui thukpi tung a mial in a mial hi. Pathian Kha in tui tungte a opkhum hi.
GEN.1.3	Pathian in, “Vak om hen” a chi a, huchi in vak a hong omta hi.
GEN.1.4	Pathian in vak a en a, hoih a sa hi. Huchi in Pathian in vak leh mial a khenta hi.
GEN.1.5	Pathian in vak, “Sun” a chi a, mial, “Zan” a chi hi. Huchi in a ni khatna ah nitaklam a om a, zinglam leng a om hi.
GEN.1.6	Pathian in, “Tuite kikal ah vansin om henla, huai in tuite leh tuite khen hen” a chi hi. 
GEN.1.7	Pathian in vansin a bawl a, vansin nuai a tui omte leh vansin tung a tui omte a khenta a; huchibang a hong hita hi. 
GEN.1.8	Pathian in vansin van, a chi hi. Huchi in a ni nihna ah nitaklam a om a, zinglam leng a om hi.
GEN.1.9	Pathian in, “Van nuai a tuite mun khat ah omkhawm henla, gamkeu hong dawk hen” a chi a; huchibang a hong hita hi. 
GEN.1.10	Pathian in gamkeu lei a chi a; tui omkhawmte tuipite a chi hi. Pathian in huai a en a, hoih a sa hi. 
GEN.1.11	Pathian in, “Lei in loupate, anteh chi neite, thei sing, lei a amau chi omdan ding bang a gah, a gah sung a chi omte omsak hen,” a chi a, huchibang a hong hita hi. 
GEN.1.12	Huchi in lei in loupate, anteh amau chi omdan ding bang a chi neite, sing amau chi omdan ding bang a gah, a gah sung a chi omte a omsakta hi. Pathian in huai a en a, hoih a sa hi. 
GEN.1.13	Huchi in, a ni thumna ah nitaklam a om a, zinglam leng a om hi.
GEN.1.14	Pathian in, “Sun leh zan khenna ding in vansin ah tanvakte om uhenla, huaite chiamtehnate, hunbite, nite leh kumte theihna hi uhen. 
GEN.1.15	Lei tanvak ding in van a vansin ah vakte om uhen” a chi a, huchibang a hong hita. 
GEN.1.16	Pathian in tanvak thupi nih a bawlta a; tanvak thupizaw pen sun a vaihawm ding in, tanvak thupi louzaw pen zan a vaihawm ding in a bawl hi. Aksite leng a bawl hi. 
GEN.1.17	Pathian in huaite lei tanvak ding in van a vansin ah a koihta hi. 
GEN.1.18	Sun tung leh zan tung a vaihawm ding leh vak leh mial khen ding in. Huchi in Pathian in huai a en a, hoih a sa hi. 
GEN.1.19	Huchi in a ni lina ah nitaklam a om a, zinglam leng a om hi,
GEN.1.20	Pathian in, “Tuite’n thilsiam tang thei hinna neite tampi pawtsak uhenla, vasate leng leitung a van vansin hawm heuhou ah leng uhen” a chi hi. 
GEN.1.21	Pathian in ngapi liante a siam a, ganhing tang thei chiteng tui in a pawtsak a, amaute chi omdan ding bang leh kha nei vasa chiteng amaute chi omdan ding bang in a siam hi. Pathian in huai a en a, hoih a sa hi. 
GEN.1.22	Pathian in, “Chi tampi suang in hong pung unla, tuipi tuite dim sak unla, vasate leng lei ah pung uhen” chi’n a vualzawl hi. 
GEN.1.23	Huchi in, a ni ngana ah nitaklam a om a, zinglam leng a om hi.
GEN.1.24	Pathian in, “Lei in ganhing amau chi omdan ding bang chiat in; gante, khupboh a pai ganhingte, gamsate, amau chi omdan ding bang chiat in pawtsak uhen,” a chi a; huchi in huchibang a hong hita hi. 
GEN.1.25	Pathian in gamsa amau chi omdan ding bang chiat in, gante amau chi omdan ding bang chiat in, lei a thil khupboh a paite tengteng amau chi omdan ding bang chiat in a bawl hi. Pathian in huai a en a, hoih a sa hi.
GEN.1.26	Pathian in, “I kibatpih in, eimah bang in, mi i bawl dia, tuipi a ngasate tung ah, tung a leng vasate tung ah, gante tung ah leh leitung tengteng tung ah thu i neisak ding” a chi hi.
GEN.1.27	Pathian in amah kibatpih in
GEN.1.27	mi a siam a, Pathian kibatpih
GEN.1.27	mah in ahi a siam;
GEN.1.27	pasal leh numei a siamta hi.
GEN.1.28	Pathian in amau a vualzawl hi. Pathian mah in a kiang uah, “Chi tampi suang ding in hong pung unla, lei luahdim unla, na thuthu un omsak un. Tuipi a ngasate tung ah, tung a leng vasate tung ah, thil hing leitung a khupboh a pai tengteng tung ah thunei un,” a chi hi. 
GEN.1.29	Pathian mah in, “Ngai un, leitung tengteng a anteh chinei omteng leh sing chiteng, sing chinei gah omnate, k’on pia hi; na an ding uh ahi. 
