MAT.1.1	Carte de generațiune a luĭ Iisusŭ Christosŭ hilĭlu alŭ Davidŭ hilĭlualŭ Avraamŭ.
MAT.1.2	Avraamŭ născu Isaac; iară Isaac născu Iacovŭ; Iacovŭ născu Iuda și frațĭlĭi a luĭ.
MAT.1.3	Iară Iuda născu pre Fares și Zara din Thamar; Fares născu Esromŭ, și Esromŭ născu Aramŭ.
MAT.1.4	Aramŭ născu Aminadabŭ: și Aminadabŭ născu pre Naasonŭ; iară Naasonŭ născu Salmonŭ.
MAT.1.5	Salmonŭ născu pre Boozŭ din Rahab; iară Boozŭ născu Obidŭ din Ruth; și Obidŭ născu Iesse.
MAT.1.6	Iară Iesse născu pre amirălu Davidŭ și Amirălu Davidŭ născu Solomonŭ din Mulĭérea a luĭ Uria.
MAT.1.7	Solomonŭ născu Roboamŭ; iară Roboamŭ născu Abia; și Abia născu pre Asa.
MAT.1.8	Iară Asa născu Iosafatŭ; Iosafatŭ născu Ioramŭ, și Ioramŭ născu pre Ozia.
MAT.1.9	Iară Ozia născu Ioathamŭ; Ioathamŭ născu Ahaz, și Ahaz născu pre Ezekia.
MAT.1.10	Ezekia născu Manaasi, Manaasi născu pre Amonŭ; și Amonŭ născu Iosia.
MAT.1.11	Iară Iosia născu pre Iehonia, și frațĭlĭi a luĭ în timpulŭ mutăreĭ la Babilonŭ.
MAT.1.12	Iară după mutarea la Babilonŭ, Iehonia născu pre Salathielŭ, și Salathielŭ născu pre Zorovavelŭ.
MAT.1.13	Iară Zorovavelŭ născu Abiudŭ; Abiudŭ născu Eliakimŭ, și Eliakimŭ născu pre Azorŭ.
MAT.1.14	Azorŭ născu Sadokŭ; Sadokŭ născu Akimŭ, șii Akimŭ născu pre Eliudŭ.
MAT.1.15	Iară Eliudŭ născu pre Eleazarŭ; Eleazarŭ născu Matthanŭ, și Matthanŭ născu pre Iacovŭ.
MAT.1.16	Iară Iacovŭ născu pre Iosifŭ bărbatŭlu a le Marie, din care s’ născu Iisusŭ çe s’ḑiçe Christosŭ.
MAT.1.17	Tute generațiunile de la Avraamŭ până la Davidŭ, sŭntu pas‐prĕ‐ḑéçe generațiunĭ; Și de la David până la mutarea în Babilonŭ sŭntu pas‐prĕ ḑéçe generațiunĭ: și de la mutarea în Babilonŭ până la Christosŭ sŭntu pas‐prĕ-ḑéçe generațiuni.
MAT.1.18	Iară nascerea luĭ Iisusŭ Christosŭ ași fu: După çe s’isusi muma a lui Maria cu Iosifŭ, înainte ca nĕșĭ să s’împreună, se află gréuă de Sântulŭ Duhŭ.
MAT.1.19	Și Iosifŭ bărbatŭlu a lĭeĭ, care era unŭ omŭ dreptu și nu vrea s’lĭ facă vĕr‐nŭ reŭ, s’mintui s’o alasă ascumta.
MAT.1.20	Ma cându elŭ avea aeste în mintea‐lĭ, écă anghelŭlu a Domnuluĭ’lĭ se spuse în v̄isŭ, și lĭ ḑisé: Iosife hilĭlu alŭ Davidŭ, s’ nu țĭ hibă frică s’ lĭéi pre Maria mulĭérea a ta; că açelŭ çe este tru nĕsă, este din Sântulŭ Duhŭ.
MAT.1.21	Și va s’ nască hilĭŭ, și va s’ ’lĭclĭemĭ numa a luĭ Iisusŭ; că elŭ va s’ ascapă popululŭ a luĭ de pecatele lorŭ.
MAT.1.22	Iară aeste tute s’ féçeră, tra să s’ împlinéscă açea çe s’ are ḑisă di Domnulŭ prin profetŭlu care ḑiçe:
MAT.1.23	Ecă virghina va s’ armână gréuă și va s’ nască hilĭŭ și va s’ lĭ clĭémă numa luĭ Emanuilŭ, care însemnéḑă Dumneḑeŭlu cu noĭ.
MAT.1.24	Și după çe se sculă Iosifŭ din somnu féçe cumŭ lĭ dimăndă anghelŭlu și ’șĭ luă mulĭérea sa.
MAT.1.25	Și nu o cunoscŭ până cândŭ născu hilĭlu a lĭeĭ açelŭ d’ întăn̄iu faptu, și îlĭ clĭemă numa Iisusŭ.
MAT.2.1	După çe s’ născu Iisusŭ în Bithleemŭ a Iudeilĭeĭ, în ḑilele a amirăluĭ Erodŭ, écă Maghĭ de la rĕsărîtŭ veniră la Ierusalimŭ, ḑicêndaluĭ:
MAT.2.2	Iu éste născutŭlu amiră a Iudeilorŭ? Că îlĭ veḑumŭ stéua la rĕsăritu, si vinemŭ s’ nĕ înclinămŭ a luĭ.
MAT.2.3	Ma cândŭ amirălu Erodŭ avḑi aeste, s’cutremură, și tutŭ Ierusalimŭlu cu nĕsŭ.
MAT.2.4	Și decara adună pre tuțĭ Arhiereilĭi și Cărturarĭlĭi a poporuluĭ, lĭ întrebă, iŭ éste să s’ nască Christolu.
MAT.2.5	Iară elĭ îlĭ ḑiseră: în Bithleemŭ a Iudeilĭeĭ; că așițe este scriată de câtrĕ profetŭlu.
MAT.2.6	Și tine Bithleeme locŭlu a luĭ Iuda di cu totŭ nu escĭ cama m̄ică tru domnitorĭlĭi a luĭ Iuda; că de tine va s’iasă unŭ conducĕtorŭ, care va s’ pască poporulŭ a m̄eu Israil.
MAT.2.7	Atunçea Erodŭ clĭemândaluĭ ascumta maghĭlĭ, s’înveță ghine di la nĕșĭ, timpulŭ cându s’ veḑu stéua.
MAT.2.8	Și cândŭ lĭ petrecu în Bithleemŭ lĕ ḑise: Duceți vĕ și întrebațĭ ghine tră natŭ; și decara s’lŭ aflațĭ, s’m̄ĭ dațĭ tru scire, tra s’me ducŭ și eŭ s’lĭ me înclĭnŭ a luĭ.
MAT.2.9	Iară açelĭ decara ascultară amirălu, s’duseră; și écă stéua, care veḑură la rĕsăritŭ, m̄iergea di ’naintea lorŭ, până çe vine și stătu de asupra locŭluĭiú era natŭlu.
MAT.2.10	Și cându veḑură stéua s’bucurară vĕrtosŭ, cu bucurie mare.
MAT.2.11	Și venindaluĭ în casă aflară natŭlu cu mă‐sa a luĭ Maria. Și caḑură și îlĭ se înclĭnară și desclĭseră thesaurire a lorŭ, și îlĭ déderă darurĭ, malamă livanŭ și smirnă.
MAT.2.12	Și după çe lĕ se spuse în v̄isŭ tra s’ nu s’ tórnă la Erodŭ, s’ duseră tru locŭlu a lorŭ pe tru altă cale.
MAT.2.13	Decara inșiră nĕșĭ, éca anghelŭ a Domnuluĭ se spune în v̄isŭ a luĭ Iosifŭ și îlĭ ḑiçe: Scólă‐te, lĭa feciorŭlu și muma luĭ și fugĭ în Egiptu, și arĕmâne acolo, până s’țĭ ḑicŭ eu; că Erodŭ va s’ caftă feciorŭlu tra s’lu chéră.
MAT.2.14	Iară 
MAT.2.15	Și arĕmase acolo până la mórtea luĭ Erodŭ, tra să se împlinéscă çe era ḑisă di Domnulŭ prin profetŭlu, care ḑiçe: Din Egiptu îm̄ĭ chemaĭ hilĭlu a m̄eu.
MAT.2.16	Atunçea Erodŭ cândŭ veḑu, că fu arĕsŭ de câtrĕ maghilĭi, s’nări vêrtosŭ, și petrecu de vătámară tutĭ feciorĭlĭi çe era în Bithleemŭ, și în tute locurĭle de avĕrliga luĭ, de la doi an̄ĭ și înghiosŭ, după timpulŭ çe luă tru scire de la maghĭ.
MAT.2.17	Atunçea s’implini açea çe s’ are ḑisă de câtrĕ profetulŭ Ieremia care ḑiçe:
MAT.2.18	Bóçe s’ avḑi în Rama, diperare, plângére și ohtare multă Rahila ’șĭ plânge pre hilĭi a lĭeĭ, și nu vrea să s’asbună, că nu sŭntu 
MAT.2.19	Iară după çe muri Erodŭ, écă anghelŭ a Domnuluĭ se spune în v̄isŭ a lui Iosifŭ în Egiptu,
MAT.2.20	Și ’ly ziçe; Șcólă‐te, lĭa feciorŭlu și muma luĭ, și du te tru locŭlu a luĭ Israil; că muriră açelĭ çe căfta bana a feciorŭluĭ.
MAT.2.21	Și elŭ se sculă, luă feciorŭlu și muma luĭ și vine tru locŭlu a luĭ Israil.
MAT.2.22	Ma cândŭ avḑi că Archelau domnește ĭn Iudea în locŭlu a tată‐sui Erodŭ, ’lĭ fu frică să se ducă acolo: și luândaluĭ scire în v̄isŭ, fugi în parțile a Galileilĭeĭ.
MAT.2.23	Și după çe vine, locui în çetatea care s’ ḑiçe Nazaretŭ, ca să se împlinească çe fu ḑisă prin profețĭ, că Nazarianŭ va să s’ clĭémă.
MAT.3.1	In açéle ḑile vine Ioanŭ Botezătorulu,
MAT.3.2	și predica în deșertulŭ a Iudeilĭeĭ și ḑiçea: Tunusițĭ‐vĕ, că s’ aprochie amirărilĭea din çerŭ.
