MAT.1.1	Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: 
MAT.1.2	Abiraham à yalà Isag, Isag à yay Yakɔɓ, Yakɔɓ à yay lɛ, rì Zyuda rì ɓɛ̀geni ɓii; 
MAT.1.3	Zyuda à yay lɛ rì Farɛs rì Zara ɓɛɛ̀ Tamaar, Farɛs à yay Ɛsirɔm, Ɛsirɔm à yay Aram; 
MAT.1.4	Aram à yay Aminadaɓ, Aminadaɓ à yay Naasɔn, Naasɔn à yay Salmɔn 
MAT.1.5	Salmɔn ɓɛɛ̀ Rahaɓ ɓɛ yay Boas, Boas ɓɛɛ̀ Rut ɓɛ yay Oɓɛɛɗ, Oɓɛɛɗ à yay Isayii. 
MAT.1.6	Isayii à yay rìfòm ɗi lɛ Davit; rìfòm ɗi lɛ Davit ɗi yay Salomɔŋ ɓɛɛ̀ gili Ùrì; 
MAT.1.7	Salomɔŋ à yay Roɓwam, Roɓwam à yay Aɓya, Aɓya à yay Asa; 
MAT.1.8	Asa à yay Yosafat, Yosafat à yay Zyoram, Zyoram à yay Ozyas; 
MAT.1.9	Ozyas à yay Zyoatam, Zyoatam à yay Akas, Akas à yay Ezekyas; 
MAT.1.10	Ezekyas à yay Manase, Manase à yay Amɔn, Amɔn à yay Yozyas. 
MAT.1.11	Yozyas à yay lɛ, rì Yekonyas rì ɓɛ̀geni ɓii, ɓi cààmɛ̀n ki ɓɛ kɛngà rì ɓɔn ɓɛ Isirayɛl a Baɓilon. 
MAT.1.12	Ajɛ̀m ì rìkɛ̀n ɗi rì Isirayɛl ɗiǹ a Baɓilon nnɛ Yekonyas à yali Salatyɛl; Salatyɛl à yay Zoroɓaɓɛl; 
MAT.1.13	Zoroɓaɓɛl à yay Aɓyud, Aɓyud à yay Elyakim, Elyakim à yay Azɔɔr; 
MAT.1.14	Azɔɔr à yay Saɗɔg, Saɗɔg à yay Akim, Akim à yay Elyud. 
MAT.1.15	Elyud à yay Eleyazaar, Eleyazaar à yay Mataŋ, Mataŋ à yay Yakɔɓ; 
MAT.1.16	Yakɔɓ à yay Yoosɛɓ à yii Marii ànɛ à yalà Yeesus ànɛ ɓɛɛ̀ regi lɛ Kiris. 
MAT.1.17	À tumɛ̀n ɓi Abiraham à kpaŋ ɓi Davit gbàà yi ɓum yi ri yɛɛlɔɔ ǹtɛ̀ɗ ɗì yiniǹ; à pɛ̀sɛ̀n ɓi Davit à kpaŋ ɓi rìkɛ̀n ɗi rì Isirayɛl a Baɓilon, gbàà yi ɓum ǹtɛ̀ɗ ɗì yiniǹ; à tumɛ̀n ɓi cààmɛ̀n kiǹ à kpaŋ ɓi rìyalɛ̀n ɗi Kiris, gbàà yi ɓum ǹtɛ̀ɗ ɗì yiniǹ.
MAT.1.18	Rìyalɛ̀n ɗi Yeesus Kiris ɗi ɓaghà fɛlɛ: Marii à jɛɛ à ɓaghà di à mɛ gherɛn Yoosɛɓ lɛ, ɓɛ ɓiì wɔlɛɛ. Yɛ̀ɛ ɓɛ ɓaghà di ɓɛ ka wɔlɛn ɓi, nni Marii, à tekà ɗyem rì ìtèɗ wu Kitɛntɛ̀ɛ̀n ki Nghay. 
MAT.1.19	Yoosɛɓ à kìlɔnì kii, à ɓaghà syeesyee à mum; nni yɛ̀ɛ à kɔngà ɓi lɛ a ghani Marii ɓidan, fɔɔnnɛ à fèkà lɛ a caɗ nyi lɛ ɗyɔ̀ɔ̀ŋ kɛ̀ɛ̀ gom. 
MAT.1.20	Yɛ̀ɛ à ɓaghà di à ti rì fèg ànɛn, innɛ Ŋwaàfìtom a Kan à rèsɛ̀ngà nyi a ɓìdɛ̀ndɛm̀, à kpaa nyi lɛ: Yoosɛɓ, man à Davit, kɔ̀ɔ risi riteɗ ɗi Marii à giɓ wɔɔ̀, ɓisuulɛ ìtèɗ wu Kitɛntɛ̀ɛ̀n Ki Nghay wɛɛ nkìi lɛ a teɗ ɗyem ɗi àrì rì ɗyɔ. 
MAT.1.21	À ɓiì yalì man à baŋì, ù ki ròò nyi ɗii lɛ Yeesus, lɛ nnyɛɛ ɓiì kòri kìlɔ̀ŋ kii ɓi ɓìɓe ɓyaa.
MAT.1.22	Ɓìɓan ɓiǹ ɓìcèm ɓi kilɛ̀ngà lɛ kɛɛ ɓa ɓi jɛ̀ɛ̀ ìnɛ Kan à kpaaghà ɓi ŋwɔm wu ǹkpaŋzì-ɓìɓan lɛ: 
MAT.1.23	Ghɛna! Gɔ̀n ì giɓ ìnɛ ì ka yi ɓi ɓɛbaŋì ì ɓiì terì ɗyem, ì yay man à baŋì, ɓɛ roò nyi ɗii lɛ Emanuɛl; ɗii ɗìn ɗi ri azi lɛ: Bɛ̀ll rì ɓìsi.
MAT.1.24	Yɛ̀ɛ Yoosɛɓ à ghèmɓɛ̀ngà ɓi fìlo, à kì loŋ yɛ̀ɛ ŋwaà-fìtom a Kan à kpaaghà nyi, à teɗ giy a mɛɛ mii. 
MAT.1.25	Kìɓan kifog, à yighà ɓi nyi kitòn zɛy à kpaŋ yɛ̀ɛ à yalà man à baŋì, Yoosɛɓ à ròò lɛ Yeesus.
MAT.2.1	Yɛ̀ɛ Yeesus à yalɛ̀ngà a Bɛtilɛhɛm ɓi ziì Zyude, ɓi cààmɛ̀n ki Eroodɛ à ɓaghà rìfòm, nni ɓɛ̀yiì-ɓìɓan ɓɛ Pɛsɛ̀ngày ɓi jàŋ ìnɛ ŋ̀wos a kpagii, ɓɛ yuiy a Yorisalɛm 
MAT.2.2	ɓɛ tɔg lɛ: Rìfòm ɗi Ɓɛ̀yudɛ̀n ɗi ɗi n-yalɛɛ fɛ ɗi ri fe? Tìi ǹghɛɛ fyɛy fi man ànɛ̀n a rìkpagìì ɗi ŋwos di fyɛɛ̀ lònlòm, fɔɔnnɛ tì yùu yì fɛ lɛ, ti ɓɔgsi nyi. 
MAT.2.3	Yɛ̀ɛ rìfòm ɗi lɛ Eroodɛ ɗi wokà kìɓan kiǹ, ki ɓuùsì nyi ǹto, ki ɓuùsì girig ɓum ɓɛ̀cèm ɓɛ a Yorisalɛm. 
