MAT.1.1	Hên né dɔ̀gɔ̀tì bɔ̀ nùàr Yeésò *Kristò. À né *ndùté ndùtù Davîd; Davîd né ndùté ndùtù Abrahâm.
MAT.1.2	Abrahâm né tele Isâk; Isâk né tele Jakɔ̂b; Jakɔ̂b né tele Júdà bɔ́ bɔ̀ bei mé bɔ̀ dìm seèn; 
MAT.1.3	Júdà né tele Farésà bɔ̂ Jará, meí bɔɔ̀n né Tàmár. Farésà né tele Eserɔ̂m; Eserɔ̂m né tele Àrâm; 
MAT.1.4	Àrâm né tele Aminádàb; Aminádàb né tele Násɔ̀ŋ; Násɔ̀ŋ né tele Salomɔ̂ŋ; 
MAT.1.5	Salomɔ̂ŋ né tele Boájà; meì Boájà né Rahâb; Boájà né tele Obêd; meì Obêd né Rût; Obêd né tele Jésè;
MAT.1.6	Jésè né tele mgbè Davîd. Davîd né tele Salomɔ̂ŋ; meì Salomɔ̂ŋ lé naâ veèh Yurî; 
MAT.1.7	Salomɔ̂ŋ né tele Roboâm; Roboâm né tele Abíà; Abíà né tele Àsâf; 
MAT.1.8	Àsáf né tele Jósáfà; Jósáfà né tele Jorâm; Jorâm né tele Osíà; 
MAT.1.9	Osíà né tele Joátàm; Joátàm né tele Àkásà; Àkásà né tele Èsékià; 
MAT.1.10	Èsékià né tele Manasê; Manasê né tele Amɔ̂ŋ; Amɔ̂ŋ né tele Josiâ; 
MAT.1.11	Josiâ né tele Jekoniâ bɔ́ bɔ̀ dìm seèn. Sâ né nàm mé bɔ́ lé sie njií naâ bɔ̀ *Iserálà bɔ̀ ké Babilɔ̂n teèn.
MAT.1.12	Bɔ́ yeé sie njií gi aá bɔ̀ Iserálà bɔ̀ ké Babilɔ̂n sâ, Jekoniâ ŋar Sabatiêl; Salatiêl né tele Sorobábèl; 
MAT.1.13	Sorobábèl né tele Abiúdà; Abiúdà né tele Elíákìm; Elíákìm né tele Asôr; 
MAT.1.14	Asôr né tele Sàdɔ̂g; Sàdɔ́g né tele Akìm; Akìm né tele Eliyúdà; 
MAT.1.15	Eliyúdà né tele Eleasâr; Eleasâr né tele Matám; Matám né tele Jakɔ̂b; 
MAT.1.16	Jakɔ̂b né tele Josêf siì Marî. Marî né meì Yeésò. Bɔ́ Yeésò yilá cu né *Nùà Cɔ̀ŋ ndɔ.
MAT.1.17	Yuoô ké jomo yoòr Abrahâm, nde ba mé Davîd né bɔ̀ mbei ŋaàr yulà cùɔ̀b nèà; yuo cuù mé Davîd, nde ba lè nàm mé bɔ́ lé sie njií naâ bɔ̀ huaán Iserálà ké Babilɔ̂n teèn sâ, né mbei ŋaàr yulà cùɔ̀b nèà; yuoò teèn sâ, nde wa mé ŋaàr Yeésò Nùà Cɔ̀ŋ, né cu mbei ŋaàr yulà cùɔ̀b nèà ndɔ.
