GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
GEN.1.2	Ang duta wala pa sing sulod kag porma. Ang mabalod nga kadagatan nga nagatabon sang tanan nalikupan sang bug-os nga kadudulman kag ang Espiritu sang Dios
GEN.1.3	Dayon
GEN.1.4	Kag ang Dios nanamian sang iya nakita. Dayon ginpain niya ang kapawa sa kadudulman 
GEN.1.5	kag gintawag niya ang kapawa nga “Adlaw,” kag ang kadudulman nga “Gab-i.” Nagligad ang gab-i, kag nag-aga,
GEN.1.6+GEN.1.7	Dayon
GEN.1.8	Gintawag niya ang kahawaan nga “Langit.” Nagligad ang gab-i kag nag-aga, amo yadto ang ikaduha nga adlaw.
GEN.1.9	Dayon ang Dios nagmando, “Magtingob ang tubig sa idalom sang langit sa isa ka lugar agod maggwa ang duta.” Kag nahimo ini. 
GEN.1.10	Ang mamala nga lugar gintawag niya nga “Duta,” kag ang tubig nga nagtingob gintawag niya nga “Kadagatan.” Kag ang Dios nanamian sang iya nakita. 
GEN.1.11	Dayon ang Dios nagmando, “Magpatubo ang duta sang tanan nga sahi sang mga tanom, ang mga nagapatubas sing uyas kag ang nagapamunga.” Kag nahimo ini. 
GEN.1.12	Gani ang duta nagpatubo sang tanan nga sahi sang mga tanom, ang nagapatubas sing uyas kag ang mga nagapamunga. Kag ang Dios nanamian sang iya nakita. 
GEN.1.13	Nagligad ang gab-i, kag nag-aga, amo yadto ang ikatlo nga adlaw.
GEN.1.14	Dayon ang Dios nagmando, “Magluntad ang mga suga sa langit sa pagseparar sang adlaw gikan sa gab-i, kag sa pagtanda sang pagsugod sang mga inadlaw, mga tinuig, kag mga kapistahan.
GEN.1.15	Magasiga sila sa langit sa paghatag kapawa sa duta.” Kag nahimo ini. 
GEN.1.16	Gani ang Dios naghimo sang duha ka dalagku nga mga suga, ang adlaw sa paggahom sa kaadlawon kag ang bulan sa paggahom sa kagab-ihon. Ginhimo man niya ang mga bituon. 
GEN.1.17	Ginbutang niya ang mga suga sa langit sa pag-iwag sa duta, 
GEN.1.18	sa paggahom sa kaadlawon kag sa kagab-ihon, kag sa pagseparar sang kapawa sa kadudulman. Kag ang Dios nanamian sang iya nakita. 
GEN.1.19	Nagligad ang gab-i kag nag-aga, amo yadto ang ikap-at nga adlaw.
GEN.1.20	Dayon ang Dios nagmando, “Mapun-an ang tubig sang madamo nga mga sahi sang buhi nga mga tinuga, kag mapuno ang kahanginan sang mga pispis.” 
GEN.1.21	Gani gintuga sang Dios ang dalagku nga mga sapat sa dagat, kag ang tanan nga sahi sang buhi nga mga tinuga nga nagaestar sa tubig, kag ang tanan nga sahi sang mga kapispisan. Kag ang Dios nanamian sang iya nakita. 
