GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
GEN.1.2	Ang kalibutan sadto wala pa sing porma kag mahawan pa. Ang tubig nga nagatabon sa kalibutan nalikupan sang kadulom. Kag ang Espiritu sang Dios
GEN.1.3	Dayon nagsiling ang Dios, “Magsanag!” Kag dayon may kasanag. 
GEN.1.4	Nanamian ang Dios sa kasanag nga iya nakita. Dayon ginseparar niya ang kasanag kag ang kadulom. 
GEN.1.5	Gintawag niya nga “adlaw” ang kasanag kag gintawag niya nga “gab-i” ang kadulom. Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang una nga adlaw.
GEN.1.6	Dayon nagsiling ang Dios, “Matuga ang ulot
GEN.1.7	Kag nahimo ini. Ginhimo sang Dios ang ulot nga nagaseparar sa tubig sa ibabaw kag sa tubig sa idalom. 
GEN.1.8	Ini nga ulot gintawag sang Dios nga “kahawaan.” Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaduha nga adlaw.
GEN.1.9	Dayon nagsiling ang Dios, “Magtingob sa isa ka lugar ang tubig sa kalibutan agod magguwa ang mamala nga lugar.” Kag nahimo ini. 
GEN.1.10	Gintawag niya nga “duta” ang mamala nga lugar kag gintawag niya nga “dagat” ang natingob nga tubig. Nanamian ang Dios sa iya nakita. 
GEN.1.11	Dayon nagsiling ang Dios, “Magtubo sa duta ang 
GEN.1.12	Nagtubo sa duta ang tanan nga klase sang tanom, kag nanamian ang Dios sa mga tanom nga iya nakita. 
GEN.1.13	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikatatlo nga adlaw.
GEN.1.14	Dayon nagsiling ang Dios, “Matuga sa kalangitan ang mga butang nga may kasanag sa pagseparar sang adlaw kag sang gab-i, kag bilang palatandaan sang pag-umpisa sang mga panahon,
GEN.1.15	Magsiga sila sa kalangitan sa paghatag kasanag sa kalibutan.” Kag nahimo ini. 
GEN.1.16	Gani nahimo ang duha ka dalagko nga mga butang nga may kasanag: ang mas dako 
GEN.1.17+GEN.1.18	Ginbutang sang Dios ang ini nga mga butang sa kalangitan sa paghatag kasanag sa kalibutan kon adlaw kag gab-i, kag sa pagseparar sang adlaw kag sang gab-i.
GEN.1.19	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaapat nga adlaw.
GEN.1.20	Dayon nagsiling ang Dios, “Magdamo ang nagkalain-lain nga mga sapat sa tubig, kag maglupad ang nagkalain-lain nga mga sapat
GEN.1.21	Gani ginhimo sang Dios ang dalagko nga mga sapat sa tubig, kag ang tanan nga klase sang mga sapat nga nagaestar sa tubig, kag ang tanan nga klase sang mga sapat nga nagalupad. Nanamian ang Dios sa iya nakita. 
GEN.1.22	Kag ginbendisyunan niya ini nga mga sapat. Siling niya, “Magmuad kamo kag magdamo, kamo nga mga sapat sa tubig kag mga sapat nga nagalupad.” 
GEN.1.23	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikalima nga adlaw.
GEN.1.24	Dayon nagsiling ang Dios, “Magkabuhi ang mga nagkalain-lain nga klase sang sapat sa duta: mga sapat nga mahagop kag maila, mga dalagko kag magagmay.” Kag nahimo ini. 
GEN.1.25	Ginhimo sang Dios ang ini nga mga sapat, kag nanamian ang Dios sa iya nakita.
GEN.1.26	Dayon nagsiling ang Dios, “Mahimo kita sang tawo nga kaanggid sa aton. Magagahom sila sa tanan nga klase sang mga sapat: ang nagalangoy, ang nagalupad, ang nagalakat, kag ang nagakamang.” 
GEN.1.27	Gani gintuga sang Dios ang tawo, lalaki kag babayi, nga kaanggid sa iya. 
GEN.1.28	Kag ginbendisyunan niya sila nga nagasiling, “Magmuad kamo kag magdamo agod ang inyo mga kaliwat magalapta kag magagahom sa kalibutan. Kag gamhan ninyo ang tanan nga sapat.” 
GEN.1.29	Dayon nagsiling ang Dios, “Ginahatag ko sa inyo ang mga tanom nga may mga liso kag ang mga kahoy nga nagapamunga agod inyo kaunon. 
GEN.1.30	Kag ginahatag ko sa tanan nga sapat ang tanan nga mga hilamon kag dahon-dahon bilang pagkaon nila.” Kag natuman ini. 
GEN.1.31	Gintan-aw sang Dios ang tanan niya nga ginpanghimo kag nanamian gid siya. Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaanom nga adlaw.
GEN.2.1	Gani natapos tuga sang Dios ang kalangitan, ang kalibutan, kag ang tanan nga ara sa ila. 
GEN.2.2	Natapos niya ini sa sulod sang anom ka adlaw, kag sa ikapito nga adlaw nagpahuway siya sa tanan niya nga obra. 
GEN.2.3	Ginbendisyunan niya ang ikapito nga adlaw kag ginkabig niya nga isa ka pinasahi nga adlaw, tungod kay sa sina nga adlaw nagpahuway siya matapos niya tuga ang tanan. 
GEN.2.4	Amo ini ang estorya parte sa pagtuga sang kalangitan kag sang kalibutan.
GEN.2.4	Sang paghimo sang 
GEN.2.5	wala pa sa kalibutan ang mga ginakultibar nga mga tanom sa latagon, kay wala pa niya pagpaulana kag wala sing tawo nga magaatipan sang duta. 
GEN.2.6	Pero bisan wala sing ulan, ang mga tuburan sa kalibutan amo ang nagapabasa sa duta.
GEN.2.7	Dayon ginhimo sang 
GEN.2.8	Dayon naghimo ang 
GEN.2.9	Kag ginpatubo sang 
GEN.2.10	Sa Eden may suba nga nagailig, nga amo ang nagahatag sang tubig sa katamnan. Nagsanga ini sa apat ka suba. 
GEN.2.11	Ang ngalan sang premiro nga suba amo ang Pishon. Nagailig ini sa bug-os nga duta sang Havila, nga sa diin may mga bulawan. 
GEN.2.12	Puro gid ang mga bulawan didto. Kag makita man didto ang 
GEN.2.13	Ang ngalan sang ikaduha nga suba amo ang Gihon. Nagailig ini sa bug-os nga duta sang Cush. 
GEN.2.14	Ang ngalan sang ikatatlo nga suba amo ang Tigris. Nagailig ini sa sidlangan sang Asiria. Kag ang ikaapat nga suba amo ang Eufrates.
GEN.2.15	Ginpaestar sang 
GEN.2.16	Kag ginsilingan niya siya, “Makakaon ka sang bunga sang bisan ano nga kahoy sa katamnan, 
GEN.2.17	luwas lang sang bunga sang kahoy nga nagahatag sang ihibalo kon ano ang maayo kag ang malain. Kay sa tion nga kaunon mo ini, sigurado gid nga mapatay ka.”
GEN.2.18	Dayon nagsiling ang 
GEN.2.19	Ginhimo sang 
