GEN.1.1	Tetenzük nung Tsüngremi anüng aser alima poktetdaktsü.
GEN.1.2	Alimaji kecha mekümtet aser tazüngla liasü. Ammang tzüyim manung liasü aser Tsüngrem tanela
GEN.1.3	 Aser Tsüngremi ashi, “Tesangwa adokang” aser tesangwa adok. 
GEN.1.4	Tsüngremi tesangwaji junger ta ajitet aser pai tesangwaji ammang nungi sadang. 
GEN.1.5	Tsüngremi tesangwa dang “Anogo” aser ammang dang “Aonung” ta aja. Aonung aser anepdang naji anogo mezüngbuba liasü.
GEN.1.7	Anungji Tsüngremi tzü temalen aser tzü telunglen ta sadanga yanglu aser yamaji liasü. 
GEN.1.8	Tsüngremi iba dangji “Anüng” ta aja. Aonung aser anepdang naji anogo tanabuba liasü.
GEN.1.9	Tsüngremi ashi, “Anüng kübok aliba tzü ajak tesem kati nungtenang, aser ali takong adokang,” aser yamaji liasü. 
GEN.1.10	Tsüngremi ali takong dang “Alima” aser tzü nungtenba dang “Tzüyim” ta aja. Aser Tsüngremi aji junger ta ajitet. 
GEN.1.11	Tsüngremi ashi, “Alimai rem lanu tapu ajak, metsüjang atangba süngdonglidong tapu ajak, aser tejang atangba süngdong tapu ajak adokdakjang.” Aser yamaji liasü. 
GEN.1.12	Ali jagi rem o metsü tapu shia atangba süngolio aser tejang atangba süngdong tapu ajak adokdaktsü aser Tsüngremi aji junger ta ajitet. 
GEN.1.13	Aonung aser anepdang naji anogo tasembuba liasü.
GEN.1.14	Tsüngremi ashi, “Anüngdang nungi aonung lemdangtsü asoshi anüng nung tesangwatem lidakjang aser itemji temaitsü asoshi, mapang, anogotem aser kümtem aser tsüngkhüm mongpu asoshi sang; 
GEN.1.15	Parnoki anüng nung tesangwa ayaba jagi alima nung tesangwa agüjang.” Aser yamaji liasü. 
GEN.1.16	Aser Tsüngremi tesangwa tulu ana yanglu; anüngdang asoshi anü, aonung asoshi ita; pai ano petinutema yanglu. 
GEN.1.17	Alima sangwadaktsütsü atema pai tesangwaji anüng nung yutsü, 
GEN.1.18	anüngdang aser aonung madak yimsü südaktsütsü, ammang nungi tesangwaji lemdangtsü asoshi liasü, aser Tsüngremi aji junger ta ajitet. 
GEN.1.19	Aonung aser anepdang naji anogo pezübuba liasü.
GEN.1.20	Tsüngremi ashi, “Tzüji taküm shiruru aika agi süngdakjang, aser ozütem ali temalen anüng tom nung yimzüdakjang.” 
GEN.1.21	Tsüngremi tzüyim shiruru tulutem, tzü nung arakzüba taküm shiruru ajak, aser ozü tapu ajak yanglu. Aser Tsüngremi aji junger ta ajitet. 
GEN.1.22	Pai item ajakji moaja ashi, “Tejang rena tangang aser tzüyim tzüji süngdakjang aser alima nung ozütem rendakjang.” 
GEN.1.23	Aonung aser anepdang naji anogo pungububa liasü.
GEN.1.24	Tsüngremi ashi, “Alima nung shiruru tapu ajak, kiset shiruru arem shiruru tulu aser tila ajak adokdakjang” aser yamaji liasü. 
GEN.1.25	Tsüngremi alima nung shiruru tapu ajak yanglu, aser Pai aji junger ta ajitet.
GEN.1.27	 Anungji Tsüngremi nisung pa mesükba nung tebur aser tetsür yanglu. 
GEN.1.28	Tsüngremi parnokji moatsü aser ashi, “Soyapokya-ang aser jenti rena alimaji süngdakjang aser aji azüokang. Tzüyim ango madak, anüng ozütem aser alima nung aliba kechisarena madak ketdang sang. 
GEN.1.29	Aser Tsüngremi ashi, alima nung aliba tejang atangba, süngo-lio ajak aser süngjang atangba süngdonglidong ajak ni nenok nem agütsür; nenok asoshi itemji chiyungtsü alitsü. 
GEN.1.30	Aser alima nung aliba shiruru ajak nem aser anüng ozütem ajak, ali nung ayazüba ajak nem ni süngo-lio tajem chiyungtsü asoshi agütsür aser yamaji liasü.” 
GEN.1.31	Tsüngremi pai yangluba ajak angu aser ajiang aji kanga tajung liasü. Aser aonung aser anepdang naji anogo trokbuba liasü.
GEN.2.1	Yamaji anüng-ali aser yangji aliba ajakji renem. 
GEN.2.2	Tenetnübuba nung Tsüngremi pai yangluba mapa atem aser pai yangluba mapa ajak nungi pai mungzük. 
GEN.2.3	Aser Tsüngremi anogo tenetnübubaji moaja meshitet, kechiaser iba anogo nung pai yangluba mapa ajak nungi anisüngzüka pai mungzük. 
GEN.2.4	Iba ya Tsüngremi anüng aser alima yangluba otsü, koba anogo nung Tsüngremi alima aser anüng poktetdaktsü.
GEN.2.4	Kodang 
GEN.2.5	alima nung süngdonglidong maliasü, aser süngolio ano memeyi, kechiaser 
GEN.2.6	saka tzüsü alima nungi tua alima nung tzünglu arudaktsü.
GEN.2.9	 Pai idakji tenük asoshi tobur tajung aser tachitsü süngjang atangba süngdongtem ali nungi meidaktsü. Atsüki tiyong nung taküm süngdong aser tajung o tamajung metetba süngdonga meidaktsü. 
GEN.2.10	Ayong ka atsüki nung tzü agüja ayimtsü asoshi Eden nungi adokdaktsü; idak nungjagi aji lemsa-a ayong pezü aküm. 
GEN.2.11	Mezüngbuba ayong tenüngji Pishon, iba yagi hon aliba Habila lima ajak meketa ayimer. 
GEN.2.12	Hon temeja teronem menemba aser senti lung iba lima nung lir. 
GEN.2.13	Tanabuba ayong tenüng Gihon; yagi Kush lima ajak meketa ayimer. 
GEN.2.14	Tasembuba ayongji Tigris, Asiria anüdoklen ayimer, aser pezübuba ayong tenüng Eufrata.
GEN.2.16	 Tsüngremi nisung nem ozüng agüja ashi, “Atsüki nung atangba süngjang ajak nai achitsü akok, 
GEN.2.17	saka tajung o tamajung metetba süngdong nungi nai machitsüla; kechiaser koba anogo nung nai aji chidir na asütsü.”
GEN.2.18	Aser 
GEN.2.19	Aser 
GEN.2.20	Aser nisung jagi shiruru ajak nem aser anüng ozü ajak nem tenüng agütsü, saka nisung asoshi tetemsü teyarir ka mangu.
GEN.2.21	Idangji 
GEN.2.22	Tesaret koba nisung nungi agitet, iba jagi pai tetsür ka yanglu aser la nisung dangi anir aru. 
GEN.2.23	Idangji nisung jagi ashi,
GEN.2.23	“Tang ibai kü teret nungi teret,
GEN.2.23	aser kü shi nungi shi.
GEN.2.23	La dang tetsür ta ajatsü,
GEN.2.23	kechiaser la tebur nungi agitet.”
GEN.2.25	Aser nisung aser pa kinungtsü naji mangsa liasü, saka parnok maktepi liasü.
GEN.3.2	Tetsürlai langzü, “Atsüki nung aliba süngjang ajak onoki chitet, 
GEN.3.3	saka süngdong koba atsü tiyong nung lir, iba süngjang techi aser tekongshi ta Tsüngremi ashi, aji mesüra ashiko nenok asütsü.” 
GEN.3.4	Peri tetsürla dang ashi, “Nenok atangji masütsü. 
GEN.3.5	Kechiaser koba anogo nung nenoki ibaji chidir nenok tenük lapoktsü aser nenok Tsüngrem ama tajung tamajung meteta akümtsü ta Tsüngremi metet.”
