LUK.1.1	Mullc ômënj ar llôtë pisuprë tas spunë aceli ci sënt fapti ku noj, 
LUK.1.2	ashë kum ni l'ar adusë acej ci l'ar vëxutë ku oqjë a llor, sh ar futë pistusic tu zborr di prota, 
LUK.1.3	sh'mini ci l'am vëxuti di aprôpja tuti di prota, nj'ari aspërutë lluk bun s'ti l'i skir ku sirai tënjësitu Teofil, 
LUK.1.4	tas l'i kënosht gjini shi s'nu ti zbac di aceli ci aj mvëcatë.
LUK.1.5	Tu acell qëro ci Herod ara vësëjë ali Judei, un preft ku numa Zakaria, di soja a Abiut, avja ti mujeri unë fjatë di soja a Aronu, ci o-kjëma Elisabeta. 
LUK.1.6	Dojë ara mullt ndrepc dininti a Dumëxë, sh'bëna fërë amartii pi dupi tuti mvëcëturili a Domnëlu. 
LUK.1.7	Nu avja çilëmanj, kë Elisabeta ara shterpë, sh'dojë ara aushac. 
LUK.1.8	Kënd Zakaria fëcja llukurru ka preft dininti a Domnëlu, kënd ara radha ali kasa a lluj, 
LUK.1.9	pi dupi zakoni, i'j gëxu shorta tas intrë tu ajodhimë tas ardë temjani. 
LUK.1.10	Tu aist qëro tutë miletja i'j fëcja duvai a Dumëxë. 
LUK.1.11	A Zakaria i'j si funusi ëngjëllu a Dumëxë, ci stëtja di na-ndrapta al altar ali temjani. 
LUK.1.12	Kënd u vëxu Zakaria s'ja spërë shi o-këcë frika. 
LUK.1.13	Ma ëngjëllu i'j xësi: “Nu t'i aspari, Zakaria, kë duvaja a ta esti avxatë, shi Elisabeta, mujera a ta us fakë un fiçor, shi tini us j'u bax numa Joan. 
LUK.1.14	Us ti hërësesht mullt, sh'mullc ômënj us s'i hërësjastë ti amëntara a llui. 
LUK.1.15	Ell us hjibë tinjisit dininti a Domnëlu, sh'nu us bja niki jin, niki cëva alltë, tas s'i mbjatë. Us hjibë umpllut ku Sëmtulu Duh, di tu pëndëku a mësa. 
LUK.1.16	Mullc hjij d'ja Izrael us i'j tôrrë kiti Domnëlu, Dumëxëllu a llor. 
LUK.1.17	Us jinë dininti a Domnëlu ku sufëlltu sh'fuqia a Elija, tas l'i tôrrë inëmli a përincëllu kiti evlatënj, sh'mintimarjë kiti mintimenj sh'ndrepc, tas fakë etëmë ti Domnëlu tuc ômënjjë.” 
LUK.1.18	Zakaria i'j xësi a ëngjëllu: “Kum us u jau di hëbari aist lluk? Kë mini shi mujera a mja hjim aush.” 
LUK.1.19	Ëngjëllu i'j xësi: “Mini est Gabriel, ci qindurest ningi Domnëlu, shi est pëtërkut tas zborr ku tini, shi si'c dau aistë hëbari bunë. 
LUK.1.20	Ja, tini us arrëmënj memec, shi nu us poc tas gresht pën tu xua ci us'i fakë aisti llukëri, kë nu aj pistusitë pi zbôrrëli a njeli, ci us'i fakë kënd s'jinë qërollu.” 
LUK.1.21	Miletja ashtëptja nafôrë Zakaria, ma ara çudusic këce s'amënë ahtënt mullt tu tempull. 
