MAT.1.1	耶穌基督——
MAT.1.2	生
MAT.1.2	生
MAT.1.2	生
MAT.1.3	與
MAT.1.3	生
MAT.1.3	生
MAT.1.4	生
MAT.1.4	生
MAT.1.4	生
MAT.1.5	與
MAT.1.5	與
MAT.1.5	生
MAT.1.6	生
MAT.1.6	與
MAT.1.7	生
MAT.1.7	生
MAT.1.7	生
MAT.1.8	生
MAT.1.8	生
MAT.1.8	生
MAT.1.9	生
MAT.1.9	生
MAT.1.9	生
MAT.1.10	生
MAT.1.10	生
MAT.1.10	生
MAT.1.11	在被迫遷徙
MAT.1.11	生
MAT.1.12	被迫遷徙
MAT.1.12	生
MAT.1.12	生
MAT.1.13	生
MAT.1.13	生
MAT.1.13	生
MAT.1.14	生
MAT.1.14	生
MAT.1.14	生
MAT.1.15	生
MAT.1.15	生
MAT.1.15	生
MAT.1.16	生
MAT.1.16	那稱為基督的耶穌是由
MAT.1.17	這樣，從
MAT.1.18	耶穌基督的誕生是這樣的：耶穌的母親
MAT.1.19	她的丈夫
MAT.1.20	思考這些事以後，忽然主的一位天使在
MAT.1.21	瑪麗亞將要生一個兒子，你要給他起名叫耶穌，因為他將要把自己的子民從他們的罪孽中拯救出來。」
MAT.1.22	不過這整個事的發生，是為要應驗主藉著先知所說的話：
MAT.1.23	「看哪，那童貞女要懷孕，她要生一個兒子，
MAT.1.23	人們將稱他的名為
MAT.1.23	「
MAT.1.24	從夢中醒過來，就依照主的天使所吩咐他的去做，把他的妻子迎娶過來，
MAT.1.25	只是在她生兒子
MAT.2.1	在
MAT.2.2	他們問：「生下來做
MAT.2.3	王聽說了，就驚慌不安，全
MAT.2.4	就召集了所有的祭司長和民間的經文士，向他們詢問基督誕生在哪裡。
MAT.2.5	他們對
MAT.2.6	『
MAT.2.6	你在
MAT.2.6	因為將來有一位領袖要從你那裡出來，
MAT.2.6	他要牧養我的子民
MAT.2.7	於是，
MAT.2.8	然後打發他們前往
MAT.2.9	他們聽了王的話就去了。看哪，他們在東方看見的那顆星在前面引導他們，直到那孩子所在的地方，就在上頭停住了。
MAT.2.10	他們看見那顆星，極其歡喜快樂。
MAT.2.11	他們進了屋子，看見那孩子與他的母親
