GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
GEN.1.2	Alomi ju tümü mükamkhitdü lang akeangkeang lakheah; tüsho amiting ju kekim mi kheak lakheah. Tüsho Thrünpuh me kebo kumung aphapde alakheah. 
GEN.1.3	Judüki Thrünpuhnü tha, “Ayin akhiukang,” tüsho ayin akhiuk. 
GEN.1.4	Thrünpuhnü ayin ju tsülah de kheah; tüsho apinü ayin ju amiting chingnü chamkhit. 
GEN.1.5	Thrünpuhnü ayin ki, “Animung” tüsho amiting ki “Azhing” de ji. Tüsho akhuhbe nimung arelim tüsho yapsu lakheah.
GEN.1.6	Tüsho Thrünpuhnü tha, “Kebo chingnü kebo chamnakde akhunung khülang kamang.” 
GEN.1.7	Junangde Thrünpuhnü akhunung khülang thsübah ke akube chingnü abobe büthsüjih; tüsho junangde kam. 
GEN.1.8	Apinü akhunung ki ju “Thüning” de ji. Tüsho ju mahnepü nimung arelim tüsho yapsu lakheah.
GEN.1.9	Thrünpuhnü tha, “Thüningbo bukkhüp lakhi ke alala dangpungkhüh kingmukhungang tüsho alo akung akhiukang”; tüsho junangde kam. 
GEN.1.10	Thrünpuhnü alo akung ki “Alomi” tüsho ke kingmukhungkhi ki “Kekim” de ji. Tüsho Thrünpuhnü ju tsülah de kheah. 
GEN.1.11	Thrünpuhnü tha, “Alonü rim, sangrungbo mungji alala akhiukshang, tüsho jurübo müjihphünü asobebo tüsho sangsolungso asobe thsüang”; tüsho junangde kam. 
GEN.1.12	Alonü rim, sangrung mungji alala, müjih asobe tüsho aso asobe sangdung alala akhiukshih. Tüsho Thrünpuhnü ju tsülah de kheah. 
GEN.1.13	Tüsho ju mahsam nimung arelim tüsho yapsu lakheah.
GEN.1.14	Thrünpuhnü tha, “Azhing kheaknü animung büthsüpü thüning ching ayinatrümbo lashang, tüsho jurübonü nimungbo, kambo, tüsho akheahmünchibo müchitpü thsüang; 
GEN.1.15	tüsho alomi kheak yinshihpü thüning ching ayinatrümbo lashang”; tüsho jude alakheah. 
GEN.1.16	Jumonü Thrünpuhnü ayinatrüm atobo mahne thrün; animung thsungkheak ani, tüsho azhing thsungkheak khinu. Apinü chiningbo she thrün. 
GEN.1.17	Thrünpuhnü jurübo alomi yinshihpü thüning ching zojih, 
GEN.1.18	tüsho animung le azhing kurungkheak yakzan shuhpü, tüsho amiting kheaknü ayin büthsüpü lashih. Tüsho Thrünpuhnü ju tsülah de kheah. 
GEN.1.19	Tüsho ju aphüyipü nimung arelim tüsho yapsu lakheah.
