MAT.1.1	Ecitabo co bwiburwa bwa Yesu Kristo, Omwana wa Daudi, Omwana wa Iburaimu.
MAT.1.2	Iburaimu e:buye Isaka. Isaka ne:bura Yakobo. Yakobo ne:bura Yuda na ba:na ba:bo. 
MAT.1.3	Yuda ne:bura Faresi na Zera mu Tamari. Faresi ne:bura Esromu. Esromu ne:bura Aramu. 
MAT.1.4	Aramu ne:bura Aminadabu. Aminadabu ne:bura Nasoni. Nasoni ne:bura Salimoni. 
MAT.1.5	Salimoni ne:bura Boaji mu Raabu. Boaji ne:bura Obedi mu Rusi. Obedi ne:bura Yese.
MAT.1.6	Yese ne:bura omukama Daudi. Daudi ne:bura Sulemani mu muka Uriya. 
MAT.1.7	Sulemani ne:bura Reoboamu. Reoboamu ne:bura Abiya. Abiya ne:bura Asa. 
MAT.1.8	Asa ne:bura Yeosafati. Yeosafati ne:bura Aaji. Aaji ne:bura Ejekiya. 
MAT.1.10	Ejekiya ne:bura Manase. Manase ne:bura Amoni. Amoni ne:bura Yosiya. 
MAT.1.11	Yosiya ne:bura Yekoniya na ba:na ba:bo, mu siku jo kusirwa Babuloni.
MAT.1.12	Wejire bamara okusirwa Babuloni, Yekonia ne:bura Searutieri. Searutieri ne:bura Jerubabeli. 
MAT.1.13	Jerubabeli ne:bura Abiudi. Abiudi ne:bura Eliakimu. Eliakimu ne:bura Ajori. 
MAT.1.14	Ajori ne:bura Sadoki. Sadoki ne:bura Akimu. Akimu ne:bura Eriudi. 
MAT.1.15	Eriudi ne:bura Eryasari. Eryasari ne:bura Matani. Matani ne:bura Yakobo. 
MAT.1.16	Yakobo ne:bura Yusufu omurume wa Maryamu unu e:buye Yesu unu katogwa Kristo.
MAT.1.17	Mbe amaimbo go:ne kuso:ka ku Iburaimu okutunga ku Daudi ni maimbo ekumi na gana. No kuso:ka ku Daudi okukinga anu basirirwe Ebabuloni ni maimbo ekumi na gana. No kuso:ka anu basirirwe Ebabuloni kukinga ku Kristo ni maimbo ekumi na gana.
MAT.1.18	Okwiburwa kwa Yesu Kristo kwariga kuri kutya. Maryamu nyiramwene, anu ariga acasandwa na Yusufu, bariga bacari kutwarana, nibamurora ajirire inda yo Mwoyo Omweru. 
MAT.1.19	Mbe Yusufu omurume wae kwo kuba ariga murengeresi atendere kumuswasya, neganirisya okumusiga bwitebe. 
MAT.1.20	Anu ariga ace:ganirisya ebyo mbe rora, Maraika wa Ratabugenyi namusoromokera mu ciro:to naika ati, Yusufu mwana wa Daudi, uto:baya okumugega Maryamu omugasi wao, kwo kuba inda yae ni ya Mwoyo Mweru. 
MAT.1.21	Ari:bura Omwana musambaya, na:we urimutoga risi:na ryae yesu, kwo kuba niwe aribakisya aba:nu bae mu bibi:bi byebwe. 
MAT.1.22	Ebyo byone byabeeo korereki bikumire binu byaikirwe na Ratabugenyi mu muragi ati,
MAT.1.23	Mbe rora, omuyarajuma arijira inda ari:bura omwana musambaya,
MAT.1.23	Barimutoga risi:na ryae Imanueli, obugajuro ati, Nyamuanga ari a:mwi neswe.
MAT.1.24	Yusufu wejire arafya mu ntiro nakora rwa kutyo maraika wa Ratabugenyi amuragiriye, nagega omugasi wae, 
MAT.1.25	Nawe atamutwae kukinga anu e:buriye Omwana wae wo bubere, namutoga risi:na ryae yesu.
